"","X.1","X","Race.Topic..Click.to.Sort.","Poll","Results","Spread","Date","Year","poll_grade"
"98",98,97,"President Obama Job Approval","Newsweek","Approve 48, Disapprove 46",2,"2010-10-01",2010,"unknown"
"99",99,98,"President Obama Job Approval","Gallup","Approve 46, Disapprove 48",-2,"2010-10-04",2010,"B"
"100",100,99,"President Obama Job Approval","Rasmussen Reports","Approve 48, Disapprove 51",-3,"2010-10-04",2010,"C+"
"101",101,100,"President Obama Job Approval","ABC News/Wash Post","Approve 50, Disapprove 47",3,"2010-10-05",2010,"A+"
"102",102,101,"President Obama Job Approval","Gallup","Approve 46, Disapprove 46",0,"2010-10-06",2010,"B"
"103",103,102,"President Obama Job Approval","Democracy Corps (D)","Approve 42, Disapprove 52",-10,"2010-10-06",2010,"B-"
"104",104,103,"President Obama Job Approval","Rasmussen Reports","Approve 49, Disapprove 50",-1,"2010-10-06",2010,"C+"
"105",105,104,"President Obama Job Approval","Gallup","Approve 46, Disapprove 48",-2,"2010-10-06",2010,"B"
"106",106,105,"President Obama Job Approval","Rasmussen Reports","Approve 47, Disapprove 52",-5,"2010-10-06",2010,"C+"
"107",107,106,"President Obama Job Approval","McClatchy/Marist","Approve 43, Disapprove 50",-7,"2010-10-07",2010,"A"
"108",108,107,"President Obama Job Approval","CBS News","Approve 44, Disapprove 45",-1,"2010-10-07",2010,"A-"
"109",109,108,"President Obama Job Approval","CNN/Opinion Research","Approve 45, Disapprove 52",-7,"2010-10-08",2010,"B+"
"110",110,109,"President Obama Job Approval","Bloomberg","Approve 47, Disapprove 48",-1,"2010-10-12",2010,"unknown"
"111",111,110,"President Obama Job Approval","Reuters/Ipsos","Approve 43, Disapprove 53",-10,"2010-10-13",2010,"B+"
"112",112,111,"President Obama Job Approval","FOX News","Approve 43, Disapprove 47",-4,"2010-10-14",2010,"A"
"113",113,112,"President Obama Job Approval","NBC News/Wall St. Jrnl","Approve 47, Disapprove 49",-2,"2010-10-19",2010,"A-"
"114",114,113,"President Obama Job Approval","Associated Press/GfK","Approve 49, Disapprove 50",-1,"2010-10-20",2010,"B"
"115",115,114,"President Obama Job Approval","Pew Research","Approve 46, Disapprove 45",1,"2010-10-21",2010,"B-"
"116",116,115,"President Obama Job Approval","Newsweek*","Approve 54, Disapprove 40",14,"2010-10-22",2010,"unknown"
"117",117,116,"President Obama Job Approval","Gallup","Approve 41, Disapprove 50",-9,"2010-10-24",2010,"B"
"118",118,117,"President Obama Job Approval","Rasmussen Reports","Approve 47, Disapprove 53",-6,"2010-10-24",2010,"C+"
"119",119,118,"President Obama Job Approval","Politico/GWU/Battleground","Approve 46, Disapprove 51",-5,"2010-10-25",2010,"B"
"120",120,119,"President Obama Job Approval","CBS News/NY Times","Approve 45, Disapprove 47",-2,"2010-10-27",2010,"A-"
"121",121,120,"President Obama Job Approval","Schoen","Approve 42, Disapprove 57",-15,"2010-10-27",2010,"B-"
"122",122,121,"President Obama Job Approval","McClatchy/Marist","Approve 48, Disapprove 43",5,"2010-10-27",2010,"A"
"123",123,122,"President Obama Job Approval","FOX News","Approve 41, Disapprove 50",-9,"2010-10-29",2010,"A"
"124",124,123,"President Obama Job Approval","ABC News/Wash Post","Approve 50, Disapprove 45",5,"2010-10-31",2010,"A+"
"125",125,124,"President Obama Job Approval","CNN/Opinion Research","Approve 46, Disapprove 51",-5,"2010-10-31",2010,"B+"
"126",126,125,"President Obama Job Approval","Reuters/Ipsos","Approve 45, Disapprove 51",-6,"2010-11-01",2010,"B+"
"127",127,126,"President Obama Job Approval","NBC News/Wall St. Jrnl","Approve 45, Disapprove 50",-5,"2010-11-01",2010,"A-"
"128",128,127,"President Obama Job Approval","Associated Press/GfK","Approve 47, Disapprove 51",-4,"2010-11-10",2010,"B"
"129",129,128,"President Obama Job Approval","Pew Research","Approve 44, Disapprove 44",0,"2010-11-11",2010,"B-"
"130",130,129,"President Obama Job Approval","CBS News","Approve 45, Disapprove 45",0,"2010-11-11",2010,"A-"
"131",131,130,"President Obama Job Approval","CNN/Opinion Research","Approve 48, Disapprove 50",-2,"2010-11-15",2010,"B+"
"132",132,131,"President Obama Job Approval","Quinnipiac","Approve 44, Disapprove 49",-5,"2010-11-17",2010,"A-"
"133",133,132,"President Obama Job Approval","NBC News/Wall St. Jrnl","Approve 47, Disapprove 47",0,"2010-11-18",2010,"A-"
"134",134,133,"President Obama Job Approval","McClatchy/Marist","Approve 45, Disapprove 48",-3,"2010-11-23",2010,"A"
"135",135,134,"President Obama Job Approval","USA Today/Gallup","Approve 42, Disapprove 54",-12,"2010-11-23",2010,"B"
"136",136,135,"President Obama Job Approval","Associated Press/CNBC","Approve 48, Disapprove 48",0,"2010-11-30",2010,"unknown"
"137",137,136,"President Obama Job Approval","Gallup","Approve 46, Disapprove 47",-1,"2010-12-01",2010,"B"
"138",138,137,"President Obama Job Approval","Rasmussen Reports","Approve 47, Disapprove 52",-5,"2010-12-02",2010,"C+"
"139",139,138,"President Obama Job Approval","CBS News","Approve 48, Disapprove 42",6,"2010-12-03",2010,"A-"
"140",140,139,"President Obama Job Approval","Gallup","Approve 47, Disapprove 44",3,"2010-12-04",2010,"B"
"141",141,140,"President Obama Job Approval","Rasmussen Reports","Approve 43, Disapprove 56",-13,"2010-12-04",2010,"C+"
"142",142,141,"President Obama Job Approval","Pew Research","Approve 45, Disapprove 43",2,"2010-12-07",2010,"B-"
"143",143,142,"President Obama Job Approval","Reuters/Ipsos","Approve 45, Disapprove 46",-1,"2010-12-07",2010,"B+"
"144",144,143,"President Obama Job Approval","National Journal/FD","Approve 48, Disapprove 46",2,"2010-12-08",2010,"A"
"145",145,144,"President Obama Job Approval","Bloomberg","Approve 47, Disapprove 48",-1,"2010-12-09",2010,"unknown"
"146",146,145,"President Obama Job Approval","McClatchy/Marist","Approve 42, Disapprove 50",-8,"2010-12-11",2010,"A"
"147",147,146,"President Obama Job Approval","ABC News/Wash Post","Approve 49, Disapprove 47",2,"2010-12-14",2010,"A+"
"148",148,147,"President Obama Job Approval","NBC News/Wall St. Jrnl","Approve 45, Disapprove 48",-3,"2010-12-15",2010,"A-"
"149",149,148,"President Obama Job Approval","FOX News","Approve 40, Disapprove 51",-11,"2010-12-16",2010,"A"
"150",150,149,"President Obama Job Approval","CNN/Opinion Research","Approve 48, Disapprove 48",0,"2010-12-20",2010,"B+"
"151",151,150,"President Obama Job Approval","Rasmussen Reports","Approve 48, Disapprove 50",-2,"2011-01-07",2011,"C+"
"152",152,151,"President Obama Job Approval","Gallup","Approve 46, Disapprove 48",-2,"2011-01-07",2011,"B"
"153",153,152,"President Obama Job Approval","Associated Press/GfK","Approve 53, Disapprove 46",7,"2011-01-12",2011,"B"
"154",154,153,"President Obama Job Approval","Reuters/Ipsos","Approve 50, Disapprove 47",3,"2011-01-12",2011,"B+"
"155",155,154,"President Obama Job Approval","Pew Research","Approve 46, Disapprove 44",2,"2011-01-13",2011,"B-"
"156",156,155,"President Obama Job Approval","Quinnipiac","Approve 48, Disapprove 44",4,"2011-01-13",2011,"A-"
"157",157,156,"President Obama Job Approval","McClatchy/Marist","Approve 48, Disapprove 43",5,"2011-01-14",2011,"A"
"158",158,157,"President Obama Job Approval","Gallup","Approve 48, Disapprove 52",-4,"2011-01-17",2011,"B"
"159",159,158,"President Obama Job Approval","Rasmussen Reports","Approve 46, Disapprove 53",-7,"2011-01-17",2011,"C+"
"160",160,159,"President Obama Job Approval","CNN/Opinion Research","Approve 53, Disapprove 45",8,"2011-01-18",2011,"B+"
"161",161,160,"President Obama Job Approval","ABC News/Wash Post","Approve 54, Disapprove 43",11,"2011-01-18",2011,"A+"
"162",162,161,"President Obama Job Approval","Democracy Corps (D)","Approve 47, Disapprove 47",0,"2011-01-18",2011,"B-"
"163",163,162,"President Obama Job Approval","NBC News/Wall St. Jrnl","Approve 53, Disapprove 41",12,"2011-01-19",2011,"A-"
"164",164,163,"President Obama Job Approval","Gallup","Approve 50, Disapprove 42",8,"2011-01-19",2011,"B"
"165",165,164,"President Obama Job Approval","FOX News","Approve 47, Disapprove 44",3,"2011-01-20",2011,"A"
"166",166,165,"President Obama Job Approval","CBS News/NY Times","Approve 49, Disapprove 39",10,"2011-01-20",2011,"A-"
"167",167,166,"President Trump Job Approval","ABC News/Wash Post","Approve 38, Disapprove 58",-20,"2011-01-21",2011,"A+"
"168",168,167,"President Trump Job Approval","Gallup","Approve 36, Disapprove 59",-23,"2011-01-22",2011,"B"
"169",169,168,"President Trump Job Approval","Reuters/Ipsos","Approve 37, Disapprove 59",-22,"2011-01-24",2011,"B+"
"170",170,169,"President Trump Job Approval","Harvard-Harris","Approve 44, Disapprove 56",-12,"2011-01-24",2011,"unknown"
"171",171,170,"President Trump Job Approval","Economist/YouGov","Approve 43, Disapprove 54",-11,"2011-01-24",2011,"B"
"172",172,171,"President Trump Job Approval","FOX News","Approve 45, Disapprove 53",-8,"2011-01-24",2011,"A"
"173",173,172,"President Obama Job Approval","Rasmussen Reports","Approve 52, Disapprove 47",5,"2011-01-24",2011,"C+"
"174",174,173,"President Obama Job Approval","CNN/Opinion Research","Approve 55, Disapprove 44",11,"2011-01-24",2011,"B+"
"175",175,174,"President Trump Job Approval","Quinnipiac","Approve 36, Disapprove 58",-22,"2011-01-25",2011,"A-"
"176",176,175,"President Trump Job Approval","Gallup","Approve 38, Disapprove 58",-20,"2011-01-29",2011,"B"
"177",177,176,"President Trump Job Approval","Monmouth","Approve 44, Disapprove 48",-4,"2011-01-31",2011,"A+"
"178",178,177,"President Trump Job Approval","Reuters/Ipsos","Approve 41, Disapprove 53",-12,"2011-01-31",2011,"B+"
"179",179,178,"President Trump Job Approval","Economist/YouGov","Approve 44, Disapprove 53",-9,"2011-01-31",2011,"B"
"180",180,179,"President Trump Job Approval","Gallup","Approve 40, Disapprove 57",-17,"2011-02-05",2011,"B"
"181",181,180,"President Trump Job Approval","IBD/TIPP","Approve 35, Disapprove 58",-23,"2011-02-06",2011,"A-"
"182",182,181,"President Trump Job Approval","Quinnipiac","Approve 40, Disapprove 55",-15,"2011-02-07",2011,"A-"
"183",183,182,"President Trump Job Approval","Reuters/Ipsos","Approve 40, Disapprove 54",-14,"2011-02-07",2011,"B+"
"184",184,183,"President Trump Job Approval","Economist/YouGov","Approve 45, Disapprove 53",-8,"2011-02-07",2011,"B"
"185",185,184,"President Trump Job Approval","Marist","Approve 39, Disapprove 56",-17,"2011-02-09",2011,"A"
"186",186,185,"President Trump Job Approval","Gallup","Approve 40, Disapprove 57",-17,"2011-02-12",2011,"B"
"187",187,186,"President Trump Job Approval","Economist/YouGov","Approve 45, Disapprove 50",-5,"2011-02-14",2011,"B"
"188",188,187,"President Trump Job Approval","Reuters/Ipsos","Approve 39, Disapprove 54",-15,"2011-02-14",2011,"B+"
"189",189,188,"President Trump Job Approval","PPP (D)","Approve 44, Disapprove 50",-6,"2011-02-14",2011,"B"
"190",190,189,"President Trump Job Approval","FOX News","Approve 43, Disapprove 53",-10,"2011-02-14",2011,"A"
"191",191,190,"President Trump Job Approval","Gallup","Approve 37, Disapprove 59",-22,"2011-02-19",2011,"B"
"192",192,191,"President Trump Job Approval","Harvard-Harris","Approve 45, Disapprove 55",-10,"2011-02-21",2011,"unknown"
"193",193,192,"President Trump Job Approval","Reuters/Ipsos","Approve 40, Disapprove 55",-15,"2011-02-21",2011,"B+"
"194",194,193,"President Trump Job Approval","Quinnipiac","Approve 37, Disapprove 58",-21,"2011-02-21",2011,"A-"
"195",195,194,"President Trump Job Approval","Economist/YouGov","Approve 44, Disapprove 51",-7,"2011-02-21",2011,"B"
"196",196,195,"President Trump Job Approval","Marist","Approve 40, Disapprove 53",-13,"2011-02-23",2011,"A"
"197",197,196,"President Trump Job Approval","CNN","Approve 39, Disapprove 56",-17,"2011-02-25",2011,"B+"
"198",198,197,"President Trump Job Approval","USA Today/Suffolk","Approve 38, Disapprove 60",-22,"2011-02-25",2011,"B+"
"199",199,198,"President Trump Job Approval","Gallup","Approve 39, Disapprove 56",-17,"2011-02-26",2011,"B"
"200",200,199,"President Trump Job Approval","Economist/YouGov","Approve 44, Disapprove 53",-9,"2011-02-28",2011,"B"
"201",201,200,"President Trump Job Approval","Reuters/Ipsos","Approve 40, Disapprove 56",-16,"2011-02-28",2011,"B+"
"202",202,201,"President Trump Job Approval","Gallup","Approve 39, Disapprove 55",-16,"2011-03-05",2011,"B"
"203",203,202,"President Trump Job Approval","IBD/TIPP","Approve 37, Disapprove 58",-21,"2011-03-05",2011,"A-"
"204",204,203,"President Trump Job Approval","Economist/YouGov","Approve 41, Disapprove 54",-13,"2011-03-07",2011,"B"
"205",205,204,"President Trump Job Approval","Monmouth","Approve 40, Disapprove 54",-14,"2011-03-07",2011,"A+"
"206",206,205,"President Trump Job Approval","Quinnipiac","Approve 38, Disapprove 56",-18,"2011-03-07",2011,"A-"
"207",207,206,"President Trump Job Approval","Reuters/Ipsos","Approve 40, Disapprove 54",-14,"2011-03-08",2011,"B+"
"208",208,207,"President Trump Job Approval","Marist","Approve 44, Disapprove 49",-5,"2011-03-08",2011,"A"
"209",209,208,"President Obama Job Approval","Reuters/Ipsos","Approve 49, Disapprove 47",2,"2011-03-09",2011,"B+"
"210",210,209,"President Trump Job Approval","Rasmussen Reports","Approve 44, Disapprove 54",-10,"2011-03-09",2011,"C+"
"211",211,210,"President Obama Job Approval","Bloomberg","Approve 51, Disapprove 43",8,"2011-03-10",2011,"unknown"
"212",212,211,"President Obama Job Approval","Gallup","Approve 46, Disapprove 44",2,"2011-03-14",2011,"B"
"213",213,212,"President Obama Job Approval","Rasmussen Reports","Approve 44, Disapprove 56",-12,"2011-03-14",2011,"C+"
"214",214,213,"President Obama Job Approval","ABC News/Wash Post","Approve 51, Disapprove 45",6,"2011-03-15",2011,"A+"
"215",215,214,"President Obama Job Approval","CNN","Approve 50, Disapprove 47",3,"2011-03-15",2011,"B+"
"216",216,215,"President Obama Job Approval","National Journal/FD","Approve 49, Disapprove 44",5,"2011-03-18",2011,"A"
"217",217,216,"President Obama Job Approval","FOX News","Approve 49, Disapprove 44",5,"2011-03-18",2011,"A"
"218",218,217,"President Obama Job Approval","CNN","Approve 51, Disapprove 47",4,"2011-03-21",2011,"B+"
"219",219,218,"President Obama Job Approval","CBS News","Approve 49, Disapprove 41",8,"2011-03-22",2011,"A-"
"220",220,219,"President Obama Job Approval","Quinnipiac","Approve 42, Disapprove 48",-6,"2011-03-30",2011,"A-"
"221",221,220,"President Obama Job Approval","Associated Press/GfK","Approve 53, Disapprove 45",8,"2011-03-31",2011,"B"
"222",222,221,"President Obama Job Approval","FDU/Public Mind","Approve 44, Disapprove 48",-4,"2011-03-31",2011,"unknown"
"223",223,222,"President Obama Job Approval","FOX News","Approve 49, Disapprove 47",2,"2011-04-06",2011,"A"
"224",224,223,"President Obama Job Approval","NBC News/Wall St. Jrnl","Approve 49, Disapprove 45",4,"2011-04-06",2011,"A-"
"225",225,224,"President Obama Job Approval","Pew Research","Approve 47, Disapprove 45",2,"2011-04-07",2011,"B-"
"226",226,225,"President Obama Job Approval","CNN/Opinion Research","Approve 48, Disapprove 50",-2,"2011-04-11",2011,"B+"
"227",227,226,"President Obama Job Approval","Reuters/Ipsos","Approve 46, Disapprove 49",-3,"2011-04-13",2011,"B+"
"228",228,227,"President Obama Job Approval","Democracy Corps (D)","Approve 44, Disapprove 50",-6,"2011-04-15",2011,"B-"
"229",229,228,"President Obama Job Approval","Gallup","Approve 41, Disapprove 49",-8,"2011-04-16",2011,"B"
"230",230,229,"President Obama Job Approval","Rasmussen Reports","Approve 46, Disapprove 53",-7,"2011-04-16",2011,"C+"
"231",231,230,"President Obama Job Approval","McClatchy/Marist","Approve 44, Disapprove 49",-5,"2011-04-19",2011,"A"
"232",232,231,"President Obama Job Approval","ABC News/Wash Post","Approve 47, Disapprove 50",-3,"2011-04-19",2011,"A+"
"233",233,232,"President Obama Job Approval","Rasmussen Reports","Approve 48, Disapprove 51",-3,"2011-04-19",2011,"C+"
"234",234,233,"President Obama Job Approval","Gallup","Approve 44, Disapprove 48",-4,"2011-04-19",2011,"B"
"235",235,234,"President Obama Job Approval","CBS News/NY Times","Approve 46, Disapprove 45",1,"2011-04-21",2011,"A-"
"236",236,235,"President Obama Job Approval","FOX News","Approve 47, Disapprove 47",0,"2011-04-28",2011,"A"
