"","X.1","X","Race.Topic..Click.to.Sort.","Poll","Results","Spread","Date","Year","poll_grade"
"47",47,46,"President Obama Job Approval","CBS News/NY Times","Approve 47, Disapprove 43",4,"2010-06-21",2010,"A-"
"48",48,47,"President Obama Job Approval","NBC News/Wall St. Jrnl","Approve 45, Disapprove 48",-3,"2010-06-23",2010,"A-"
"49",49,48,"Congressional Job Approval","NBC News/Wall St. Jrnl","Approve 22, Disapprove 73",-51,"2010-06-23",2010,"A-"
"50",50,49,"President Obama Job Approval","Gallup","Approve 45, Disapprove 46",-1,"2010-06-23",2010,"B"
"51",51,50,"President Obama Job Approval","Rasmussen Reports","Approve 48, Disapprove 51",-3,"2010-06-23",2010,"C+"
"52",52,51,"Congressional Job Approval","Gallup","Approve 20, Disapprove 74",-54,"2010-06-24",2010,"B"
"53",53,52,"President Obama Job Approval","Pew Research","Approve 48, Disapprove 43",5,"2010-06-24",2010,"B-"
"54",54,53,"President Obama Job Approval","Newsweek","Approve 48, Disapprove 46",2,"2010-06-25",2010,"unknown"
"55",55,54,"President Obama Job Approval","Marist","Approve 44, Disapprove 45",-1,"2010-06-30",2010,"A"
"56",56,55,"Congressional Job Approval","FOX News","Approve 24, Disapprove 66",-42,"2010-07-01",2010,"A"
"57",57,56,"President Obama Job Approval","FOX News","Approve 47, Disapprove 45",2,"2010-07-01",2010,"A"
"58",58,57,"President Obama Job Approval","Resurgent Republic (R)","Approve 49, Disapprove 48",1,"2010-07-06",2010,"unknown"
"59",59,58,"President Obama Job Approval","Democracy Corps (D)","Approve 46, Disapprove 50",-4,"2010-07-08",2010,"B-"
"60",60,59,"President Obama Job Approval","CBS News","Approve 44, Disapprove 44",0,"2010-07-13",2010,"A-"
"61",61,60,"President Obama Job Approval","ABC News/Wash Post","Approve 50, Disapprove 47",3,"2010-07-13",2010,"A+"
"62",62,61,"President Obama Job Approval","Bloomberg","Approve 52, Disapprove 44",8,"2010-07-14",2010,"unknown"
"63",63,62,"President Obama Job Approval","Gallup","Approve 46, Disapprove 47",-1,"2010-07-15",2010,"B"
"64",64,63,"President Obama Job Approval","Rasmussen Reports","Approve 46, Disapprove 53",-7,"2010-07-15",2010,"C+"
"65",65,64,"President Obama Job Approval","Time","Approve 49, Disapprove 45",4,"2010-07-15",2010,"A-"
"66",66,65,"President Obama Job Approval","FOX News","Approve 43, Disapprove 48",-5,"2010-07-15",2010,"A"
"67",67,66,"President Obama Job Approval","Quinnipiac","Approve 44, Disapprove 48",-4,"2010-07-21",2010,"A-"
"68",68,67,"Congressional Job Approval","Gallup","Approve 20, Disapprove 73",-53,"2010-07-22",2010,"B"
"69",69,68,"President Obama Job Approval","CNN/Opinion Research","Approve 47, Disapprove 50",-3,"2010-07-22",2010,"B+"
"70",70,69,"President Obama Job Approval","Rasmussen Reports","Approve 44, Disapprove 56",-12,"2010-07-27",2010,"C+"
"71",71,70,"President Obama Job Approval","Gallup","Approve 45, Disapprove 48",-3,"2010-07-27",2010,"B"
"72",72,71,"President Obama Job Approval","Reuters/Ipsos","Approve 48, Disapprove 48",0,"2010-07-27",2010,"B+"
"73",73,72,"President Obama Job Approval","FOX News","Approve 43, Disapprove 50",-7,"2010-07-29",2010,"A"
"74",74,73,"Congressional Job Approval","FOX News","Approve 21, Disapprove 71",-50,"2010-07-29",2010,"A"
"75",75,74,"President Obama Job Approval","USA Today/Gallup","Approve 41, Disapprove 53",-12,"2010-08-03",2010,"B"
"76",76,75,"President Obama Job Approval","NBC News/Wall St. Jrnl","Approve 47, Disapprove 48",-1,"2010-08-11",2010,"A-"
"77",77,76,"President Obama Job Approval","Pew Research","Approve 47, Disapprove 41",6,"2010-08-11",2010,"B-"
"78",78,77,"Congressional Job Approval","NBC News/Wall St. Jrnl","Approve 21, Disapprove 72",-51,"2010-08-11",2010,"A-"
"79",79,78,"Congressional Job Approval","Gallup","Approve 19, Disapprove 75",-56,"2010-08-11",2010,"B"
"80",80,79,"President Obama Job Approval","FOX News","Approve 43, Disapprove 49",-6,"2010-08-12",2010,"A"
"81",81,80,"President Obama Job Approval","CNN/Opinion Research","Approve 47, Disapprove 51",-4,"2010-08-12",2010,"B+"
"82",82,81,"President Obama Job Approval","Democracy Corps (D)","Approve 45, Disapprove 51",-6,"2010-08-12",2010,"B-"
"83",83,82,"President Obama Job Approval","Rasmussen Reports","Approve 47, Disapprove 52",-5,"2010-08-16",2010,"C+"
"84",84,83,"President Obama Job Approval","Gallup","Approve 42, Disapprove 51",-9,"2010-08-16",2010,"B"
"85",85,84,"President Obama Job Approval","Rasmussen Reports","Approve 44, Disapprove 55",-11,"2010-08-16",2010,"C+"
"86",86,85,"President Obama Job Approval","Gallup","Approve 47, Disapprove 46",1,"2010-08-17",2010,"B"
"87",87,86,"President Obama Job Approval","Associated Press/GfK","Approve 49, Disapprove 50",-1,"2010-08-18",2010,"B"
"88",88,87,"Congressional Job Approval","Associated Press/GfK","Approve 24, Disapprove 74",-50,"2010-08-18",2010,"B"
"89",89,88,"President Obama Job Approval","Time","Approve 46, Disapprove 45",1,"2010-08-19",2010,"A-"
"90",90,89,"President Obama Job Approval","Reuters/Ipsos","Approve 45, Disapprove 52",-7,"2010-08-25",2010,"B+"
"91",91,90,"President Obama Job Approval","CBS News","Approve 48, Disapprove 44",4,"2010-08-26",2010,"A-"
"92",92,91,"Congressional Job Approval","CBS News","Approve 22, Disapprove 71",-49,"2010-08-26",2010,"A-"
"93",93,92,"President Obama Job Approval","Newsweek","Approve 47, Disapprove 45",2,"2010-08-27",2010,"unknown"
"94",94,93,"President Obama Job Approval","Gallup","Approve 43, Disapprove 49",-6,"2010-08-30",2010,"B"
"95",95,94,"President Obama Job Approval","Rasmussen Reports","Approve 46, Disapprove 52",-6,"2010-08-30",2010,"C+"
"96",96,95,"President Obama Job Approval","CNN/Opinion Research","Approve 50, Disapprove 49",1,"2010-09-03",2010,"B+"
"97",97,96,"President Obama Job Approval","FOX News","Approve 46, Disapprove 48",-2,"2010-09-03",2010,"A"
"98",98,97,"President Obama Job Approval","USA Today/Gallup","Approve 43, Disapprove 53",-10,"2010-09-03",2010,"B"
"99",99,98,"Congressional Job Approval","ABC News/Wash Post","Approve 25, Disapprove 72",-47,"2010-09-07",2010,"A+"
"100",100,99,"President Obama Job Approval","ABC News/Wash Post","Approve 46, Disapprove 52",-6,"2010-09-07",2010,"A+"
"101",101,100,"Congressional Job Approval","NBC News/Wall St. Jrnl","Approve 21, Disapprove 71",-50,"2010-09-07",2010,"A-"
"102",102,101,"President Obama Job Approval","National Journal/FD","Approve 46, Disapprove 49",-3,"2010-09-07",2010,"A"
"103",103,102,"President Obama Job Approval","NBC News/Wall St. Jrnl","Approve 45, Disapprove 49",-4,"2010-09-07",2010,"A-"
"104",104,103,"President Obama Job Approval","Democracy Corps (D)","Approve 46, Disapprove 50",-4,"2010-09-08",2010,"B-"
"105",105,104,"President Obama Job Approval","Quinnipiac","Approve 44, Disapprove 47",-3,"2010-09-09",2010,"A-"
"106",106,105,"President Obama Job Approval","Democracy Corps (D)","Approve 49, Disapprove 47",2,"2010-09-15",2010,"B-"
"107",107,106,"President Obama Job Approval","Associated Press/GfK","Approve 49, Disapprove 50",-1,"2010-09-15",2010,"B"
"108",108,107,"Congressional Job Approval","CBS News/NY Times","Approve 21, Disapprove 70",-49,"2010-09-15",2010,"A-"
"109",109,108,"President Obama Job Approval","CBS News/NY Times","Approve 45, Disapprove 47",-2,"2010-09-15",2010,"A-"
"110",110,109,"President Obama Job Approval","Politico/GWU/Battleground","Approve 45, Disapprove 48",-3,"2010-09-16",2010,"B"
"111",111,110,"Congressional Job Approval","Politico/GWU/Battleground","Approve 25, Disapprove 64",-39,"2010-09-16",2010,"B"
"112",112,111,"Congressional Job Approval","Associated Press/GfK","Approve 26, Disapprove 73",-47,"2010-09-16",2010,"B"
"113",113,112,"President Obama Job Approval","FOX News","Approve 42, Disapprove 52",-10,"2010-09-18",2010,"A"
"114",114,113,"President Obama Job Approval","Gallup","Approve 47, Disapprove 46",1,"2010-09-19",2010,"B"
"115",115,114,"President Obama Job Approval","Rasmussen Reports","Approve 45, Disapprove 55",-10,"2010-09-19",2010,"C+"
"116",116,115,"Congressional Job Approval","Gallup","Approve 18, Disapprove 77",-59,"2010-09-20",2010,"B"
"117",117,116,"President Obama Job Approval","Reuters/Ipsos","Approve 47, Disapprove 50",-3,"2010-09-21",2010,"B+"
"118",118,117,"President Obama Job Approval","McClatchy/Marist","Approve 45, Disapprove 50",-5,"2010-09-22",2010,"A"
"119",119,118,"President Obama Job Approval","Pew Research","Approve 47, Disapprove 44",3,"2010-09-23",2010,"B-"
"120",120,119,"President Obama Job Approval","CNN/Opinion Research","Approve 42, Disapprove 54",-12,"2010-09-24",2010,"B+"
"121",121,120,"Congressional Job Approval","Politico/GWU/Battleground","Approve 27, Disapprove 63",-36,"2010-09-27",2010,"B"
"122",122,121,"President Obama Job Approval","Politico/GWU/Battleground","Approve 46, Disapprove 51",-5,"2010-09-27",2010,"B"
"123",123,122,"Congressional Job Approval","NBC News/Wall St. Jrnl","Approve 20, Disapprove 73",-53,"2010-09-28",2010,"A-"
"124",124,123,"President Obama Job Approval","NBC News/Wall St. Jrnl","Approve 46, Disapprove 49",-3,"2010-09-28",2010,"A-"
"125",125,124,"Congressional Job Approval","FOX News","Approve 17, Disapprove 72",-55,"2010-09-30",2010,"A"
"126",126,125,"President Obama Job Approval","FOX News","Approve 42, Disapprove 49",-7,"2010-09-30",2010,"A"
"127",127,126,"President Obama Job Approval","Newsweek","Approve 48, Disapprove 46",2,"2010-10-01",2010,"unknown"
"128",128,127,"President Obama Job Approval","Gallup","Approve 46, Disapprove 48",-2,"2010-10-04",2010,"B"
"129",129,128,"President Obama Job Approval","Rasmussen Reports","Approve 48, Disapprove 51",-3,"2010-10-04",2010,"C+"
"130",130,129,"President Obama Job Approval","ABC News/Wash Post","Approve 50, Disapprove 47",3,"2010-10-05",2010,"A+"
"131",131,130,"Congressional Job Approval","ABC News/Wash Post","Approve 24, Disapprove 73",-49,"2010-10-05",2010,"A+"
"132",132,131,"President Obama Job Approval","Gallup","Approve 46, Disapprove 46",0,"2010-10-06",2010,"B"
"133",133,132,"President Obama Job Approval","Democracy Corps (D)","Approve 42, Disapprove 52",-10,"2010-10-06",2010,"B-"
"134",134,133,"President Obama Job Approval","Rasmussen Reports","Approve 49, Disapprove 50",-1,"2010-10-06",2010,"C+"
"135",135,134,"President Obama Job Approval","Gallup","Approve 46, Disapprove 48",-2,"2010-10-06",2010,"B"
"136",136,135,"President Obama Job Approval","Rasmussen Reports","Approve 47, Disapprove 52",-5,"2010-10-06",2010,"C+"
"137",137,136,"President Obama Job Approval","McClatchy/Marist","Approve 43, Disapprove 50",-7,"2010-10-07",2010,"A"
"138",138,137,"President Obama Job Approval","CBS News","Approve 44, Disapprove 45",-1,"2010-10-07",2010,"A-"
"139",139,138,"President Obama Job Approval","CNN/Opinion Research","Approve 45, Disapprove 52",-7,"2010-10-08",2010,"B+"
"140",140,139,"President Obama Job Approval","Bloomberg","Approve 47, Disapprove 48",-1,"2010-10-12",2010,"unknown"
"141",141,140,"President Obama Job Approval","Reuters/Ipsos","Approve 43, Disapprove 53",-10,"2010-10-13",2010,"B+"
"142",142,141,"President Obama Job Approval","FOX News","Approve 43, Disapprove 47",-4,"2010-10-14",2010,"A"
"143",143,142,"President Obama Job Approval","NBC News/Wall St. Jrnl","Approve 47, Disapprove 49",-2,"2010-10-19",2010,"A-"
"144",144,143,"Congressional Job Approval","Associated Press/GfK","Approve 23, Disapprove 75",-52,"2010-10-20",2010,"B"
"145",145,144,"President Obama Job Approval","Associated Press/GfK","Approve 49, Disapprove 50",-1,"2010-10-20",2010,"B"
"146",146,145,"President Obama Job Approval","Pew Research","Approve 46, Disapprove 45",1,"2010-10-21",2010,"B-"
"147",147,146,"President Obama Job Approval","Newsweek*","Approve 54, Disapprove 40",14,"2010-10-22",2010,"unknown"
"148",148,147,"President Obama Job Approval","Gallup","Approve 41, Disapprove 50",-9,"2010-10-24",2010,"B"
"149",149,148,"President Obama Job Approval","Rasmussen Reports","Approve 47, Disapprove 53",-6,"2010-10-24",2010,"C+"
"150",150,149,"President Obama Job Approval","Politico/GWU/Battleground","Approve 46, Disapprove 51",-5,"2010-10-25",2010,"B"
"151",151,150,"President Obama Job Approval","CBS News/NY Times","Approve 45, Disapprove 47",-2,"2010-10-27",2010,"A-"
"152",152,151,"President Obama Job Approval","Schoen","Approve 42, Disapprove 57",-15,"2010-10-27",2010,"B-"
"153",153,152,"President Obama Job Approval","McClatchy/Marist","Approve 48, Disapprove 43",5,"2010-10-27",2010,"A"
"154",154,153,"Congressional Job Approval","CBS News/NY Times","Approve 14, Disapprove 76",-62,"2010-10-27",2010,"A-"
"155",155,154,"Congressional Job Approval","FOX News","Approve 19, Disapprove 70",-51,"2010-10-29",2010,"A"
"156",156,155,"President Obama Job Approval","FOX News","Approve 41, Disapprove 50",-9,"2010-10-29",2010,"A"
"157",157,156,"Congressional Job Approval","ABC News/Wash Post","Approve 23, Disapprove 74",-51,"2010-10-31",2010,"A+"
"158",158,157,"President Obama Job Approval","ABC News/Wash Post","Approve 50, Disapprove 45",5,"2010-10-31",2010,"A+"
"159",159,158,"President Obama Job Approval","CNN/Opinion Research","Approve 46, Disapprove 51",-5,"2010-10-31",2010,"B+"
"160",160,159,"President Obama Job Approval","Reuters/Ipsos","Approve 45, Disapprove 51",-6,"2010-11-01",2010,"B+"
"161",161,160,"President Obama Job Approval","NBC News/Wall St. Jrnl","Approve 45, Disapprove 50",-5,"2010-11-01",2010,"A-"
"162",162,161,"Congressional Job Approval","Associated Press/GfK","Approve 26, Disapprove 71",-45,"2010-11-10",2010,"B"
"163",163,162,"President Obama Job Approval","Associated Press/GfK","Approve 47, Disapprove 51",-4,"2010-11-10",2010,"B"
"164",164,163,"President Obama Job Approval","Pew Research","Approve 44, Disapprove 44",0,"2010-11-11",2010,"B-"
"165",165,164,"Congressional Job Approval","Gallup","Approve 17, Disapprove 77",-60,"2010-11-11",2010,"B"
"166",166,165,"President Obama Job Approval","CBS News","Approve 45, Disapprove 45",0,"2010-11-11",2010,"A-"
"167",167,166,"President Obama Job Approval","CNN/Opinion Research","Approve 48, Disapprove 50",-2,"2010-11-15",2010,"B+"
"168",168,167,"President Obama Job Approval","Quinnipiac","Approve 44, Disapprove 49",-5,"2010-11-17",2010,"A-"
"169",169,168,"President Obama Job Approval","NBC News/Wall St. Jrnl","Approve 47, Disapprove 47",0,"2010-11-18",2010,"A-"
"170",170,169,"President Obama Job Approval","McClatchy/Marist","Approve 45, Disapprove 48",-3,"2010-11-23",2010,"A"
"171",171,170,"President Obama Job Approval","USA Today/Gallup","Approve 42, Disapprove 54",-12,"2010-11-23",2010,"B"
"172",172,171,"President Obama Job Approval","Associated Press/CNBC","Approve 48, Disapprove 48",0,"2010-11-30",2010,"unknown"
"173",173,172,"President Obama Job Approval","Gallup","Approve 46, Disapprove 47",-1,"2010-12-01",2010,"B"
"174",174,173,"President Obama Job Approval","Rasmussen Reports","Approve 47, Disapprove 52",-5,"2010-12-02",2010,"C+"
"175",175,174,"President Obama Job Approval","CBS News","Approve 48, Disapprove 42",6,"2010-12-03",2010,"A-"
"176",176,175,"Congressional Job Approval","CBS News","Approve 17, Disapprove 72",-55,"2010-12-03",2010,"A-"
"177",177,176,"President Obama Job Approval","Gallup","Approve 47, Disapprove 44",3,"2010-12-04",2010,"B"
"178",178,177,"President Obama Job Approval","Rasmussen Reports","Approve 43, Disapprove 56",-13,"2010-12-04",2010,"C+"
"179",179,178,"President Obama Job Approval","Pew Research","Approve 45, Disapprove 43",2,"2010-12-07",2010,"B-"
"180",180,179,"President Obama Job Approval","Reuters/Ipsos","Approve 45, Disapprove 46",-1,"2010-12-07",2010,"B+"
"181",181,180,"President Obama Job Approval","National Journal/FD","Approve 48, Disapprove 46",2,"2010-12-08",2010,"A"
"182",182,181,"President Obama Job Approval","Bloomberg","Approve 47, Disapprove 48",-1,"2010-12-09",2010,"unknown"
"183",183,182,"President Obama Job Approval","McClatchy/Marist","Approve 42, Disapprove 50",-8,"2010-12-11",2010,"A"
"184",184,183,"President Obama Job Approval","ABC News/Wash Post","Approve 49, Disapprove 47",2,"2010-12-14",2010,"A+"
"185",185,184,"Congressional Job Approval","Gallup","Approve 13, Disapprove 83",-70,"2010-12-15",2010,"B"
"186",186,185,"President Obama Job Approval","NBC News/Wall St. Jrnl","Approve 45, Disapprove 48",-3,"2010-12-15",2010,"A-"
"187",187,186,"President Obama Job Approval","FOX News","Approve 40, Disapprove 51",-11,"2010-12-16",2010,"A"
"188",188,187,"President Obama Job Approval","CNN/Opinion Research","Approve 48, Disapprove 48",0,"2010-12-20",2010,"B+"
"189",189,188,"President Obama Job Approval","Rasmussen Reports","Approve 48, Disapprove 50",-2,"2011-01-07",2011,"C+"
"190",190,189,"President Obama Job Approval","Gallup","Approve 46, Disapprove 48",-2,"2011-01-07",2011,"B"
"191",191,190,"Congressional Job Approval","Associated Press/GfK","Approve 26, Disapprove 69",-43,"2011-01-12",2011,"B"
"192",192,191,"President Obama Job Approval","Associated Press/GfK","Approve 53, Disapprove 46",7,"2011-01-12",2011,"B"
"193",193,192,"Congressional Job Approval","Gallup","Approve 20, Disapprove 73",-53,"2011-01-12",2011,"B"
"194",194,193,"President Obama Job Approval","Reuters/Ipsos","Approve 50, Disapprove 47",3,"2011-01-12",2011,"B+"
"195",195,194,"President Obama Job Approval","Pew Research","Approve 46, Disapprove 44",2,"2011-01-13",2011,"B-"
"196",196,195,"President Obama Job Approval","Quinnipiac","Approve 48, Disapprove 44",4,"2011-01-13",2011,"A-"
"197",197,196,"President Obama Job Approval","McClatchy/Marist","Approve 48, Disapprove 43",5,"2011-01-14",2011,"A"
"198",198,197,"President Obama Job Approval","Gallup","Approve 48, Disapprove 52",-4,"2011-01-17",2011,"B"
"199",199,198,"President Obama Job Approval","Rasmussen Reports","Approve 46, Disapprove 53",-7,"2011-01-17",2011,"C+"
"200",200,199,"Congressional Job Approval","ABC News/Wash Post","Approve 28, Disapprove 66",-38,"2011-01-18",2011,"A+"
"201",201,200,"President Obama Job Approval","CNN/Opinion Research","Approve 53, Disapprove 45",8,"2011-01-18",2011,"B+"
"202",202,201,"President Obama Job Approval","ABC News/Wash Post","Approve 54, Disapprove 43",11,"2011-01-18",2011,"A+"
"203",203,202,"President Obama Job Approval","Democracy Corps (D)","Approve 47, Disapprove 47",0,"2011-01-18",2011,"B-"
"204",204,203,"President Obama Job Approval","NBC News/Wall St. Jrnl","Approve 53, Disapprove 41",12,"2011-01-19",2011,"A-"
"205",205,204,"President Obama Job Approval","Gallup","Approve 50, Disapprove 42",8,"2011-01-19",2011,"B"
"206",206,205,"President Obama Job Approval","FOX News","Approve 47, Disapprove 44",3,"2011-01-20",2011,"A"
"207",207,206,"Congressional Job Approval","FOX News","Approve 22, Disapprove 65",-43,"2011-01-20",2011,"A"
"208",208,207,"President Obama Job Approval","CBS News/NY Times","Approve 49, Disapprove 39",10,"2011-01-20",2011,"A-"
"209",209,208,"President Trump Job Approval","ABC News/Wash Post","Approve 38, Disapprove 58",-20,"2011-01-21",2011,"A+"
"210",210,209,"President Trump Job Approval","Gallup","Approve 36, Disapprove 59",-23,"2011-01-22",2011,"B"
"211",211,210,"Congressional Job Approval","FOX News","Approve 15, Disapprove 70",-55,"2011-01-24",2011,"A"
"212",212,211,"Congressional Job Approval","Reuters/Ipsos","Approve 18, Disapprove 72",-54,"2011-01-24",2011,"B+"
"213",213,212,"Congressional Job Approval","Economist/YouGov","Approve 9, Disapprove 76",-67,"2011-01-24",2011,"B"
"214",214,213,"President Trump Job Approval","Reuters/Ipsos","Approve 37, Disapprove 59",-22,"2011-01-24",2011,"B+"
"215",215,214,"President Trump Job Approval","Harvard-Harris","Approve 44, Disapprove 56",-12,"2011-01-24",2011,"unknown"
"216",216,215,"President Trump Job Approval","Economist/YouGov","Approve 43, Disapprove 54",-11,"2011-01-24",2011,"B"
"217",217,216,"President Trump Job Approval","FOX News","Approve 45, Disapprove 53",-8,"2011-01-24",2011,"A"
"218",218,217,"President Obama Job Approval","Rasmussen Reports","Approve 52, Disapprove 47",5,"2011-01-24",2011,"C+"
"219",219,218,"President Obama Job Approval","CNN/Opinion Research","Approve 55, Disapprove 44",11,"2011-01-24",2011,"B+"
"220",220,219,"Congressional Job Approval","CNN/Opinion Research","Approve 26, Disapprove 72",-46,"2011-01-24",2011,"B+"
"221",221,220,"President Trump Job Approval","Quinnipiac","Approve 36, Disapprove 58",-22,"2011-01-25",2011,"A-"
"222",222,221,"President Trump Job Approval","Gallup","Approve 38, Disapprove 58",-20,"2011-01-29",2011,"B"
"223",223,222,"President Trump Job Approval","Monmouth","Approve 44, Disapprove 48",-4,"2011-01-31",2011,"A+"
"224",224,223,"President Trump Job Approval","Reuters/Ipsos","Approve 41, Disapprove 53",-12,"2011-01-31",2011,"B+"
"225",225,224,"President Trump Job Approval","Economist/YouGov","Approve 44, Disapprove 53",-9,"2011-01-31",2011,"B"
"226",226,225,"Congressional Job Approval","Economist/YouGov","Approve 9, Disapprove 74",-65,"2011-01-31",2011,"B"
"227",227,226,"Congressional Job Approval","Reuters/Ipsos","Approve 25, Disapprove 66",-41,"2011-01-31",2011,"B+"
"228",228,227,"Congressional Job Approval","Monmouth","Approve 20, Disapprove 69",-49,"2011-01-31",2011,"A+"
"229",229,228,"President Trump Job Approval","Gallup","Approve 40, Disapprove 57",-17,"2011-02-05",2011,"B"
"230",230,229,"President Trump Job Approval","IBD/TIPP","Approve 35, Disapprove 58",-23,"2011-02-06",2011,"A-"
"231",231,230,"President Trump Job Approval","Quinnipiac","Approve 40, Disapprove 55",-15,"2011-02-07",2011,"A-"
"232",232,231,"President Trump Job Approval","Reuters/Ipsos","Approve 40, Disapprove 54",-14,"2011-02-07",2011,"B+"
"233",233,232,"President Trump Job Approval","Economist/YouGov","Approve 45, Disapprove 53",-8,"2011-02-07",2011,"B"
"234",234,233,"Congressional Job Approval","Economist/YouGov","Approve 11, Disapprove 70",-59,"2011-02-07",2011,"B"
"235",235,234,"Congressional Job Approval","Quinnipiac","Approve 15, Disapprove 77",-62,"2011-02-07",2011,"A-"
