"","X.1","X","Race.Topic..Click.to.Sort.","Poll","Results","Spread","Date","Year","poll_grade"
"22",22,21,"Congressional Job Approval","NBC News/Wall St. Jrnl","Approve 21, Disapprove 71",-50,"2010-09-07",2010,"A-"
"23",23,22,"Congressional Job Approval","CBS News/NY Times","Approve 21, Disapprove 70",-49,"2010-09-15",2010,"A-"
"24",24,23,"Congressional Job Approval","Politico/GWU/Battleground","Approve 25, Disapprove 64",-39,"2010-09-16",2010,"B"
"25",25,24,"Congressional Job Approval","Associated Press/GfK","Approve 26, Disapprove 73",-47,"2010-09-16",2010,"B"
"26",26,25,"Congressional Job Approval","Gallup","Approve 18, Disapprove 77",-59,"2010-09-20",2010,"B"
"27",27,26,"Congressional Job Approval","Politico/GWU/Battleground","Approve 27, Disapprove 63",-36,"2010-09-27",2010,"B"
"28",28,27,"Congressional Job Approval","NBC News/Wall St. Jrnl","Approve 20, Disapprove 73",-53,"2010-09-28",2010,"A-"
"29",29,28,"Congressional Job Approval","FOX News","Approve 17, Disapprove 72",-55,"2010-09-30",2010,"A"
"30",30,29,"Congressional Job Approval","ABC News/Wash Post","Approve 24, Disapprove 73",-49,"2010-10-05",2010,"A+"
"31",31,30,"Congressional Job Approval","Associated Press/GfK","Approve 23, Disapprove 75",-52,"2010-10-20",2010,"B"
"32",32,31,"Congressional Job Approval","CBS News/NY Times","Approve 14, Disapprove 76",-62,"2010-10-27",2010,"A-"
"33",33,32,"Congressional Job Approval","FOX News","Approve 19, Disapprove 70",-51,"2010-10-29",2010,"A"
"34",34,33,"Congressional Job Approval","ABC News/Wash Post","Approve 23, Disapprove 74",-51,"2010-10-31",2010,"A+"
"35",35,34,"Congressional Job Approval","Associated Press/GfK","Approve 26, Disapprove 71",-45,"2010-11-10",2010,"B"
"36",36,35,"Congressional Job Approval","Gallup","Approve 17, Disapprove 77",-60,"2010-11-11",2010,"B"
"37",37,36,"Congressional Job Approval","CBS News","Approve 17, Disapprove 72",-55,"2010-12-03",2010,"A-"
"38",38,37,"Congressional Job Approval","Gallup","Approve 13, Disapprove 83",-70,"2010-12-15",2010,"B"
"39",39,38,"Congressional Job Approval","Associated Press/GfK","Approve 26, Disapprove 69",-43,"2011-01-12",2011,"B"
"40",40,39,"Congressional Job Approval","Gallup","Approve 20, Disapprove 73",-53,"2011-01-12",2011,"B"
"41",41,40,"Congressional Job Approval","ABC News/Wash Post","Approve 28, Disapprove 66",-38,"2011-01-18",2011,"A+"
"42",42,41,"Congressional Job Approval","FOX News","Approve 22, Disapprove 65",-43,"2011-01-20",2011,"A"
"43",43,42,"Congressional Job Approval","FOX News","Approve 15, Disapprove 70",-55,"2011-01-24",2011,"A"
"44",44,43,"Congressional Job Approval","Reuters/Ipsos","Approve 18, Disapprove 72",-54,"2011-01-24",2011,"B+"
"45",45,44,"Congressional Job Approval","Economist/YouGov","Approve 9, Disapprove 76",-67,"2011-01-24",2011,"B"
"46",46,45,"Congressional Job Approval","CNN/Opinion Research","Approve 26, Disapprove 72",-46,"2011-01-24",2011,"B+"
"47",47,46,"Congressional Job Approval","Economist/YouGov","Approve 9, Disapprove 74",-65,"2011-01-31",2011,"B"
"48",48,47,"Congressional Job Approval","Reuters/Ipsos","Approve 25, Disapprove 66",-41,"2011-01-31",2011,"B+"
"49",49,48,"Congressional Job Approval","Monmouth","Approve 20, Disapprove 69",-49,"2011-01-31",2011,"A+"
"50",50,49,"Congressional Job Approval","Economist/YouGov","Approve 11, Disapprove 70",-59,"2011-02-07",2011,"B"
"51",51,50,"Congressional Job Approval","Quinnipiac","Approve 15, Disapprove 77",-62,"2011-02-07",2011,"A-"
"52",52,51,"Congressional Job Approval","Reuters/Ipsos","Approve 21, Disapprove 68",-47,"2011-02-07",2011,"B+"
"53",53,52,"Congressional Job Approval","PPP (D)","Approve 10, Disapprove 73",-63,"2011-02-14",2011,"B"
"54",54,53,"Congressional Job Approval","Gallup","Approve 15, Disapprove 81",-66,"2011-02-14",2011,"B"
"55",55,54,"Congressional Job Approval","Reuters/Ipsos","Approve 23, Disapprove 66",-43,"2011-02-14",2011,"B+"
"56",56,55,"Congressional Job Approval","Economist/YouGov","Approve 12, Disapprove 68",-56,"2011-02-14",2011,"B"
"57",57,56,"Congressional Job Approval","Reuters/Ipsos","Approve 19, Disapprove 66",-47,"2011-02-21",2011,"B+"
"58",58,57,"Congressional Job Approval","Economist/YouGov","Approve 10, Disapprove 70",-60,"2011-02-21",2011,"B"
"59",59,58,"Congressional Job Approval","Economist/YouGov","Approve 13, Disapprove 70",-57,"2011-02-28",2011,"B"
"60",60,59,"Congressional Job Approval","Reuters/Ipsos","Approve 23, Disapprove 66",-43,"2011-02-28",2011,"B+"
"61",61,60,"Congressional Job Approval","USA Today/Suffolk","Approve 15, Disapprove 75",-60,"2011-03-01",2011,"B+"
"62",62,61,"Congressional Job Approval","Economist/YouGov","Approve 11, Disapprove 67",-56,"2011-03-07",2011,"B"
"63",63,62,"Congressional Job Approval","Monmouth","Approve 17, Disapprove 75",-58,"2011-03-07",2011,"A+"
"64",64,63,"Congressional Job Approval","Quinnipiac","Approve 13, Disapprove 80",-67,"2011-03-07",2011,"A-"
"65",65,64,"Congressional Job Approval","Reuters/Ipsos","Approve 24, Disapprove 65",-41,"2011-03-07",2011,"B+"
"66",66,65,"Congressional Job Approval","Gallup","Approve 18, Disapprove 74",-56,"2011-03-11",2011,"B"
"67",67,66,"Congressional Job Approval","ABC News/Wash Post","Approve 27, Disapprove 69",-42,"2011-03-15",2011,"A+"
"68",68,67,"Congressional Job Approval","FOX News","Approve 24, Disapprove 65",-41,"2011-03-18",2011,"A"
"69",69,68,"Congressional Job Approval","Associated Press/GfK","Approve 27, Disapprove 71",-44,"2011-03-31",2011,"B"
"70",70,69,"Congressional Job Approval","NBC News/Wall St. Jrnl","Approve 20, Disapprove 73",-53,"2011-04-06",2011,"A-"
"71",71,70,"Congressional Job Approval","CBS News/NY Times","Approve 16, Disapprove 75",-59,"2011-04-21",2011,"A-"
"72",72,71,"Congressional Job Approval","FOX News","Approve 18, Disapprove 75",-57,"2011-04-28",2011,"A"
"73",73,72,"Congressional Job Approval","NBC News","Approve 22, Disapprove 70",-48,"2011-05-09",2011,"A-"
"74",74,73,"Congressional Job Approval","Associated Press/GfK","Approve 30, Disapprove 68",-38,"2011-05-11",2011,"B"
"75",75,74,"Congressional Job Approval","FOX News","Approve 24, Disapprove 69",-45,"2011-05-18",2011,"A"
"76",76,75,"Congressional Job Approval","CBS News","Approve 18, Disapprove 72",-54,"2011-06-09",2011,"A-"
"77",77,76,"Congressional Job Approval","NBC News/Wall St. Jrnl","Approve 18, Disapprove 74",-56,"2011-06-15",2011,"A-"
"78",78,77,"Congressional Job Approval","Gallup","Approve 17, Disapprove 76",-59,"2011-06-17",2011,"B"
"79",79,78,"Congressional Job Approval","Associated Press/GfK","Approve 21, Disapprove 76",-55,"2011-06-22",2011,"B"
"80",80,79,"Congressional Job Approval","CBS News/NY Times","Approve 20, Disapprove 70",-50,"2011-06-29",2011,"A-"
"81",81,80,"Congressional Job Approval","FOX News","Approve 20, Disapprove 71",-51,"2011-06-30",2011,"A"
"82",82,81,"Congressional Job Approval","Gallup","Approve 18, Disapprove 77",-59,"2011-07-11",2011,"B"
"83",83,82,"Congressional Job Approval","CNN/Opinion Research","Approve 14, Disapprove 84",-70,"2011-08-02",2011,"B+"
"84",84,83,"Congressional Job Approval","FOX News","Approve 10, Disapprove 81",-71,"2011-08-11",2011,"A"
"85",85,84,"Congressional Job Approval","Gallup","Approve 13, Disapprove 84",-71,"2011-08-16",2011,"B"
"86",86,85,"Congressional Job Approval","Associated Press/GfK","Approve 12, Disapprove 87",-75,"2011-08-26",2011,"B"
"87",87,86,"Congressional Job Approval","Gallup","Approve 15, Disapprove 82",-67,"2011-09-12",2011,"B"
"88",88,87,"Congressional Job Approval","CNN/Opinion Research","Approve 15, Disapprove 84",-69,"2011-09-14",2011,"B+"
"89",89,88,"Congressional Job Approval","CBS News/NY Times","Approve 12, Disapprove 80",-68,"2011-09-16",2011,"A-"
"90",90,89,"Congressional Job Approval","FOX News","Approve 11, Disapprove 83",-72,"2011-09-29",2011,"A"
"91",91,90,"Congressional Job Approval","CBS News","Approve 11, Disapprove 80",-69,"2011-10-03",2011,"A-"
"92",92,91,"Congressional Job Approval","Gallup","Approve 13, Disapprove 81",-68,"2011-10-12",2011,"B"
"93",93,92,"Congressional Job Approval","Associated Press/GfK","Approve 16, Disapprove 82",-66,"2011-10-20",2011,"B"
"94",94,93,"Congressional Job Approval","CBS News/NY Times","Approve 9, Disapprove 84",-75,"2011-10-25",2011,"A-"
"95",95,94,"Congressional Job Approval","Politico/GWU/Battleground","Approve 12, Disapprove 83",-71,"2011-11-14",2011,"B"
"96",96,95,"Congressional Job Approval","Gallup","Approve 13, Disapprove 82",-69,"2011-11-14",2011,"B"
"97",97,96,"Congressional Job Approval","FOX News","Approve 12, Disapprove 80",-68,"2011-11-17",2011,"A"
"98",98,97,"Congressional Job Approval","FOX News","Approve 12, Disapprove 83",-71,"2011-12-09",2011,"A"
"99",99,98,"Congressional Job Approval","CBS News","Approve 11, Disapprove 82",-71,"2011-12-09",2011,"A-"
"100",100,99,"Congressional Job Approval","Gallup","Approve 11, Disapprove 86",-75,"2011-12-20",2011,"B"
"101",101,100,"Congressional Job Approval","CNN/Opinion Research","Approve 16, Disapprove 83",-67,"2011-12-20",2011,"B+"
"102",102,101,"Congressional Job Approval","CBS News","Approve 11, Disapprove 83",-72,"2011-12-21",2011,"A-"
"103",103,102,"Congressional Job Approval","CBS News","Approve 12, Disapprove 80",-68,"2012-01-10",2012,"A-"
"104",104,103,"Congressional Job Approval","Gallup","Approve 14, Disapprove 81",-67,"2012-01-12",2012,"B"
"105",105,104,"Congressional Job Approval","ABC News/Wash Post","Approve 13, Disapprove 84",-71,"2012-01-16",2012,"A+"
"106",106,105,"Congressional Job Approval","CBS News/NY Times","Approve 13, Disapprove 79",-66,"2012-01-18",2012,"A-"
"107",107,106,"Congressional Job Approval","NBC News/Wall St. Jrnl","Approve 13, Disapprove 80",-67,"2012-01-25",2012,"A-"
"108",108,107,"Congressional Job Approval","Gallup","Approve 10, Disapprove 86",-76,"2012-02-08",2012,"B"
"109",109,108,"Congressional Job Approval","FOX News","Approve 13, Disapprove 79",-66,"2012-02-10",2012,"A"
"110",110,109,"Congressional Job Approval","CBS News/NY Times","Approve 10, Disapprove 82",-72,"2012-02-14",2012,"A-"
"111",111,110,"Congressional Job Approval","Politico/GWU/Battleground","Approve 12, Disapprove 83",-71,"2012-02-27",2012,"B"
"112",112,111,"Congressional Job Approval","Gallup","Approve 12, Disapprove 82",-70,"2012-03-21",2012,"B"
"113",113,112,"Congressional Job Approval","Reason-Rupe","Approve 15, Disapprove 78",-63,"2012-03-26",2012,"unknown"
"114",114,113,"Congressional Job Approval","FOX News","Approve 12, Disapprove 78",-66,"2012-04-13",2012,"A"
"115",115,114,"Congressional Job Approval","Gallup","Approve 17, Disapprove 79",-62,"2012-04-19",2012,"B"
"116",116,115,"Congressional Job Approval","CBS News/NY Times","Approve 13, Disapprove 77",-64,"2012-04-19",2012,"A-"
"117",117,116,"Congressional Job Approval","Politico/GWU/Battleground","Approve 13, Disapprove 80",-67,"2012-05-07",2012,"B"
"118",118,117,"Congressional Job Approval","Associated Press/GfK","Approve 18, Disapprove 78",-60,"2012-05-11",2012,"B"
"119",119,118,"Congressional Job Approval","CBS News/NY Times","Approve 15, Disapprove 77",-62,"2012-06-07",2012,"A-"
"120",120,119,"Congressional Job Approval","FOX News","Approve 17, Disapprove 75",-58,"2012-06-08",2012,"A"
"121",121,120,"Congressional Job Approval","Gallup","Approve 17, Disapprove 79",-62,"2012-06-11",2012,"B"
"122",122,121,"Congressional Job Approval","Associated Press/GfK","Approve 22, Disapprove 75",-53,"2012-06-21",2012,"B"
"123",123,122,"Congressional Job Approval","Gallup","Approve 16, Disapprove 78",-62,"2012-07-13",2012,"B"
"124",124,123,"Congressional Job Approval","CBS News/NY Times","Approve 12, Disapprove 79",-67,"2012-07-19",2012,"A-"
"125",125,124,"Congressional Job Approval","NPR","Approve 19, Disapprove 74",-55,"2012-07-19",2012,"B-"
"126",126,125,"Congressional Job Approval","Politico/GWU/Battleground","Approve 16, Disapprove 78",-62,"2012-08-13",2012,"B"
"127",127,126,"Congressional Job Approval","Gallup","Approve 10, Disapprove 83",-73,"2012-08-14",2012,"B"
"128",128,127,"Congressional Job Approval","NBC News/Wall St. Jrnl","Approve 12, Disapprove 82",-70,"2012-08-21",2012,"A-"
"129",129,128,"Congressional Job Approval","CBS News/NY Times","Approve 12, Disapprove 78",-66,"2012-09-14",2012,"A-"
"130",130,129,"Congressional Job Approval","Gallup","Approve 13, Disapprove 83",-70,"2012-09-14",2012,"B"
"131",131,130,"Congressional Job Approval","Reason-Rupe","Approve 16, Disapprove 77",-61,"2012-09-21",2012,"unknown"
"132",132,131,"Congressional Job Approval","Gallup","Approve 21, Disapprove 69",-48,"2012-10-24",2012,"B"
"133",133,132,"Congressional Job Approval","CBS News/NY Times","Approve 15, Disapprove 75",-60,"2012-10-30",2012,"A-"
"134",134,133,"Congressional Job Approval","NPR","Approve 16, Disapprove 79",-63,"2012-10-30",2012,"B-"
"135",135,134,"Congressional Job Approval","CNN/Opinion Research","Approve 17, Disapprove 76",-59,"2012-11-04",2012,"B+"
"136",136,135,"Congressional Job Approval","Gallup","Approve 18, Disapprove 75",-57,"2012-11-27",2012,"B"
"137",137,136,"Congressional Job Approval","Associated Press/GfK","Approve 23, Disapprove 74",-51,"2012-12-07",2012,"B"
"138",138,137,"Congressional Job Approval","National Journal","Approve 21, Disapprove 72",-51,"2012-12-07",2012,"A"
"139",139,138,"Congressional Job Approval","FOX News","Approve 17, Disapprove 74",-57,"2012-12-13",2012,"A"
"140",140,139,"Congressional Job Approval","USA Today/Gallup","Approve 18, Disapprove 76",-58,"2012-12-19",2012,"B"
"141",141,140,"Congressional Job Approval","CBS News","Approve 11, Disapprove 81",-70,"2012-12-19",2012,"A-"
"142",142,141,"Congressional Job Approval","Gallup","Approve 14, Disapprove 81",-67,"2013-01-12",2013,"B"
"143",143,142,"Congressional Job Approval","ABC News/Wash Post","Approve 18, Disapprove 79",-61,"2013-01-16",2013,"A+"
"144",144,143,"Congressional Job Approval","Associated Press/GfK","Approve 17, Disapprove 77",-60,"2013-01-17",2013,"B"
"145",145,144,"Congressional Job Approval","NBC News/Wall St. Jrnl","Approve 14, Disapprove 81",-67,"2013-01-17",2013,"A-"
"146",146,145,"Congressional Job Approval","CBS News/NY Times","Approve 12, Disapprove 82",-70,"2013-01-18",2013,"A-"
"147",147,146,"Congressional Job Approval","FOX News","Approve 16, Disapprove 76",-60,"2013-01-18",2013,"A"
"148",148,147,"Congressional Job Approval","Reason-Rupe/PSRAI","Approve 17, Disapprove 74",-57,"2013-01-30",2013,"unknown"
"149",149,148,"Congressional Job Approval","FOX News","Approve 17, Disapprove 77",-60,"2013-02-08",2013,"A"
"150",150,149,"Congressional Job Approval","CBS News","Approve 14, Disapprove 77",-63,"2013-02-12",2013,"A-"
"151",151,150,"Congressional Job Approval","Gallup","Approve 15, Disapprove 81",-66,"2013-02-19",2013,"B"
"152",152,151,"Congressional Job Approval","FOX News","Approve 16, Disapprove 77",-61,"2013-02-28",2013,"A"
"153",153,152,"Congressional Job Approval","Reason-Rupe/PSRAI","Approve 14, Disapprove 77",-63,"2013-03-01",2013,"unknown"
"154",154,153,"Congressional Job Approval","Gallup","Approve 13, Disapprove 83",-70,"2013-03-12",2013,"B"
"155",155,154,"Congressional Job Approval","ABC News/Wash Post","Approve 14, Disapprove 82",-68,"2013-03-13",2013,"A+"
"156",156,155,"Congressional Job Approval","FOX News","Approve 14, Disapprove 79",-65,"2013-03-20",2013,"A"
"157",157,156,"Congressional Job Approval","CBS News","Approve 11, Disapprove 81",-70,"2013-03-27",2013,"A-"
"158",158,157,"Congressional Job Approval","Gallup","Approve 15, Disapprove 79",-64,"2013-04-12",2013,"B"
"159",159,158,"Congressional Job Approval","FOX News","Approve 17, Disapprove 74",-57,"2013-04-23",2013,"A"
"160",160,159,"Congressional Job Approval","National Journal","Approve 17, Disapprove 76",-59,"2013-04-25",2013,"A"
"161",161,160,"Congressional Job Approval","CBS News/NY Times","Approve 17, Disapprove 75",-58,"2013-05-02",2013,"A-"
"162",162,161,"Congressional Job Approval","Gallup","Approve 16, Disapprove 79",-63,"2013-05-10",2013,"B"
"163",163,162,"Congressional Job Approval","Reason-Rupe/PSRAI","Approve 16, Disapprove 75",-59,"2013-05-17",2013,"unknown"
"164",164,163,"Congressional Job Approval","FOX News","Approve 16, Disapprove 76",-60,"2013-05-21",2013,"A"
"165",165,164,"Congressional Job Approval","The Economist/YouGov","Approve 9, Disapprove 71",-62,"2013-05-22",2013,"B"
"166",166,165,"Congressional Job Approval","The Economist/YouGov","Approve 10, Disapprove 68",-58,"2013-05-29",2013,"B"
"167",167,166,"Congressional Job Approval","The Economist/YouGov","Approve 11, Disapprove 69",-58,"2013-06-05",2013,"B"
"168",168,167,"Congressional Job Approval","CBS News/NY Times","Approve 13, Disapprove 80",-67,"2013-06-06",2013,"A-"
"169",169,168,"Congressional Job Approval","The Economist/YouGov","Approve 10, Disapprove 71",-61,"2013-06-12",2013,"B"
"170",170,169,"Congressional Job Approval","Gallup","Approve 17, Disapprove 78",-61,"2013-06-12",2013,"B"
"171",171,170,"Congressional Job Approval","CNN/Opinion Research","Approve 16, Disapprove 83",-67,"2013-06-19",2013,"B+"
"172",172,171,"Congressional Job Approval","The Economist/YouGov","Approve 10, Disapprove 71",-61,"2013-06-19",2013,"B"
"173",173,172,"Congressional Job Approval","FOX News","Approve 15, Disapprove 77",-62,"2013-06-25",2013,"A"
"174",174,173,"Congressional Job Approval","The Economist/YouGov","Approve 11, Disapprove 73",-62,"2013-06-26",2013,"B"
"175",175,174,"Congressional Job Approval","The Economist/YouGov","Approve 9, Disapprove 72",-63,"2013-07-03",2013,"B"
"176",176,175,"Congressional Job Approval","The Economist/YouGov","Approve 7, Disapprove 71",-64,"2013-07-10",2013,"B"
"177",177,176,"Congressional Job Approval","Gallup","Approve 15, Disapprove 78",-63,"2013-07-17",2013,"B"
"178",178,177,"Congressional Job Approval","The Economist/YouGov","Approve 9, Disapprove 72",-63,"2013-07-17",2013,"B"
"179",179,178,"Congressional Job Approval","ABC News/Wash Post","Approve 21, Disapprove 73",-52,"2013-07-23",2013,"A+"
"180",180,179,"Congressional Job Approval","FOX News","Approve 18, Disapprove 74",-56,"2013-07-24",2013,"A"
"181",181,180,"Congressional Job Approval","NBC News/Wall St. Jrnl","Approve 12, Disapprove 83",-71,"2013-07-24",2013,"A-"
"182",182,181,"Congressional Job Approval","CBS News","Approve 17, Disapprove 76",-59,"2013-07-24",2013,"A-"
"183",183,182,"Congressional Job Approval","The Economist/YouGov","Approve 12, Disapprove 73",-61,"2013-07-24",2013,"B"
"184",184,183,"Congressional Job Approval","The Economist/YouGov","Approve 6, Disapprove 71",-65,"2013-07-31",2013,"B"
"185",185,184,"Congressional Job Approval","The Economist/YouGov","Approve 11, Disapprove 71",-60,"2013-08-08",2013,"B"
"186",186,185,"Congressional Job Approval","Gallup","Approve 14, Disapprove 81",-67,"2013-08-13",2013,"B"
"187",187,186,"Congressional Job Approval","The Economist/YouGov","Approve 7, Disapprove 74",-67,"2013-08-15",2013,"B"
"188",188,187,"Congressional Job Approval","The Economist/YouGov","Approve 9, Disapprove 75",-66,"2013-08-22",2013,"B"
"189",189,188,"Congressional Job Approval","The Economist/YouGov","Approve 8, Disapprove 73",-65,"2013-08-29",2013,"B"
"190",190,189,"Congressional Job Approval","The Economist/YouGov","Approve 11, Disapprove 69",-58,"2013-09-04",2013,"B"
"191",191,190,"Congressional Job Approval","FOX News","Approve 17, Disapprove 75",-58,"2013-09-09",2013,"A"
"192",192,191,"Congressional Job Approval","CBS News/NY Times","Approve 24, Disapprove 68",-44,"2013-09-09",2013,"A-"
"193",193,192,"Congressional Job Approval","CNN/Opinion Research","Approve 20, Disapprove 78",-58,"2013-09-09",2013,"B+"
"194",194,193,"Congressional Job Approval","Reason-Rupe/PSRAI","Approve 22, Disapprove 72",-50,"2013-09-10",2013,"unknown"
"195",195,194,"Congressional Job Approval","Gallup","Approve 19, Disapprove 76",-57,"2013-09-11",2013,"B"
"196",196,195,"Congressional Job Approval","The Economist/YouGov","Approve 11, Disapprove 70",-59,"2013-09-11",2013,"B"
"197",197,196,"Congressional Job Approval","The Economist/YouGov","Approve 9, Disapprove 76",-67,"2013-09-18",2013,"B"
"198",198,197,"Congressional Job Approval","The Economist/YouGov","Approve 9, Disapprove 72",-63,"2013-09-25",2013,"B"
"199",199,198,"Congressional Job Approval","CBS News/NY Times","Approve 14, Disapprove 80",-66,"2013-09-26",2013,"A-"
"200",200,199,"Congressional Job Approval","CNN/Opinion Research","Approve 10, Disapprove 87",-77,"2013-09-30",2013,"B+"
"201",201,200,"Congressional Job Approval","The Economist/YouGov","Approve 7, Disapprove 74",-67,"2013-10-02",2013,"B"
"202",202,201,"Congressional Job Approval","FOX News","Approve 13, Disapprove 81",-68,"2013-10-03",2013,"A"
"203",203,202,"Congressional Job Approval","Gallup","Approve 11, Disapprove 85",-74,"2013-10-07",2013,"B"
"204",204,203,"Congressional Job Approval","The Economist/YouGov","Approve 10, Disapprove 76",-66,"2013-10-09",2013,"B"
"205",205,204,"Congressional Job Approval","Associated Press/GfK","Approve 5, Disapprove 83",-78,"2013-10-09",2013,"B"
"206",206,205,"Congressional Job Approval","The Economist/YouGov","Approve 7, Disapprove 79",-72,"2013-10-16",2013,"B"
"207",207,206,"Congressional Job Approval","CNN/Opinion Research","Approve 10, Disapprove 88",-78,"2013-10-21",2013,"B+"
"208",208,207,"Congressional Job Approval","CBS News","Approve 9, Disapprove 85",-76,"2013-10-22",2013,"A-"
"209",209,208,"Congressional Job Approval","ABC News/Wash Post","Approve 9, Disapprove 89",-80,"2013-10-22",2013,"A+"
"210",210,209,"Congressional Job Approval","The Economist/YouGov","Approve 6, Disapprove 78",-72,"2013-10-23",2013,"B"
"211",211,210,"Congressional Job Approval","FOX News","Approve 9, Disapprove 85",-76,"2013-10-23",2013,"A"
"212",212,211,"Congressional Job Approval","The Economist/YouGov","Approve 9, Disapprove 76",-67,"2013-10-30",2013,"B"
"213",213,212,"Congressional Job Approval","GWU/Battleground","Approve 9, Disapprove 87",-78,"2013-11-04",2013,"B"
"214",214,213,"Congressional Job Approval","The Economist/YouGov","Approve 8, Disapprove 73",-65,"2013-11-06",2013,"B"
"215",215,214,"Congressional Job Approval","Gallup","Approve 9, Disapprove 86",-77,"2013-11-12",2013,"B"
"216",216,215,"Congressional Job Approval","FOX News","Approve 10, Disapprove 85",-75,"2013-11-13",2013,"A"
"217",217,216,"Congressional Job Approval","The Economist/YouGov","Approve 7, Disapprove 77",-70,"2013-11-13",2013,"B"
"218",218,217,"Congressional Job Approval","National Journal","Approve 9, Disapprove 84",-75,"2013-11-18",2013,"A"
"219",219,218,"Congressional Job Approval","The Economist/YouGov","Approve 6, Disapprove 77",-71,"2013-11-19",2013,"B"
"220",220,219,"Congressional Job Approval","CBS News","Approve 11, Disapprove 85",-74,"2013-11-21",2013,"A-"
"221",221,220,"Congressional Job Approval","The Economist/YouGov","Approve 6, Disapprove 72",-66,"2013-11-27",2013,"B"
"222",222,221,"Congressional Job Approval","The Economist/YouGov","Approve 6, Disapprove 73",-67,"2013-12-04",2013,"B"
"223",223,222,"Congressional Job Approval","Gallup","Approve 12, Disapprove 85",-73,"2013-12-10",2013,"B"
"224",224,223,"Congressional Job Approval","CBS News/NY Times","Approve 10, Disapprove 83",-73,"2013-12-10",2013,"A-"
"225",225,224,"Congressional Job Approval","Reason-Rupe/PSRAI","Approve 20, Disapprove 74",-54,"2013-12-11",2013,"unknown"
"226",226,225,"Congressional Job Approval","The Economist/YouGov","Approve 7, Disapprove 73",-66,"2013-12-11",2013,"B"
"227",227,226,"Congressional Job Approval","Associated Press/GfK","Approve 13, Disapprove 86",-73,"2013-12-11",2013,"B"
"228",228,227,"Congressional Job Approval","FOX News","Approve 16, Disapprove 79",-63,"2013-12-19",2013,"A"
"229",229,228,"Congressional Job Approval","The Economist/YouGov","Approve 12, Disapprove 70",-58,"2013-12-24",2013,"B"
"230",230,229,"Congressional Job Approval","The Economist/YouGov","Approve 7, Disapprove 77",-70,"2013-12-31",2013,"B"
"231",231,230,"Congressional Job Approval","The Economist/YouGov","Approve 7, Disapprove 77",-70,"2014-01-07",2014,"B"
"232",232,231,"Congressional Job Approval","Gallup","Approve 13, Disapprove 82",-69,"2014-01-14",2014,"B"
"233",233,232,"Congressional Job Approval","The Economist/YouGov","Approve 8, Disapprove 77",-69,"2014-01-14",2014,"B"
"234",234,233,"Congressional Job Approval","FOX News","Approve 13, Disapprove 81",-68,"2014-01-22",2014,"A"
"235",235,234,"Congressional Job Approval","GWU/Battleground","Approve 14, Disapprove 81",-67,"2014-01-22",2014,"B"
"236",236,235,"Congressional Job Approval","The Economist/YouGov","Approve 10, Disapprove 71",-61,"2014-01-22",2014,"B"
