"","X.1","X","Race.Topic..Click.to.Sort.","Poll","Results","Spread","Date","Year","poll_grade"
"16",16,15,"New Hampshire Senate - Republican Primary","PPP (D)","Ayotte 43, Binnie 19, Bender 11, Lamontagne 5",24,"2010-04-21",2010,"B"
"17",17,16,"Florida Senate - Rubio vs. Meek vs. Crist","Rasmussen Reports","Crist 30, Rubio 37, Meek 22",7,"2010-04-22",2010,"C+"
"18",18,17,"Wisconsin Senate - Feingold vs. Wall","Rasmussen Reports","Feingold 49, Wall 43",6,"2010-04-22",2010,"C+"
"19",19,18,"Wisconsin Senate - Feingold vs. Westlake","Rasmussen Reports","Feingold 49, Westlake 38",11,"2010-04-22",2010,"C+"
"20",20,19,"California Senate - Republican Primary","SurveyUSA","Campbell 34, Fiorina 27, DeVore 14",7,"2010-04-22",2010,"A"
"21",21,20,"California Senate - Republican Primary","Capitol Weekly/Probolsky (R)","Campbell 31, Fiorina 17, DeVore 14",14,"2010-04-22",2010,"B"
"22",22,21,"Georgia Senate - Isakson vs. Thurmond","Rasmussen Reports","Isakson 51, Thurmond 35",16,"2010-04-23",2010,"C+"
"23",23,22,"Washington Senate - Widener vs. Murray","SurveyUSA","Murray 45, Widener 43",2,"2010-04-24",2010,"A"
"24",24,23,"Washington Senate - Didier vs. Murray","SurveyUSA","Murray 46, Didier 44",2,"2010-04-24",2010,"A"
"25",25,24,"Washington Senate - Benton vs. Murray","SurveyUSA","Murray 46, Benton 44",2,"2010-04-24",2010,"A"
"26",26,25,"Washington Senate - Rossi vs. Murray","SurveyUSA","Murray 42, Rossi 52",10,"2010-04-24",2010,"A"
"27",27,26,"North Dakota Senate - Hoeven vs. Potter","Rasmussen Reports","Hoeven 69, Potter 24",45,"2010-04-27",2010,"C+"
"28",28,27,"North Carolina Senate - Democratic Primary","SurveyUSA","Marshall 23, Cunningham 19, Lewis 10",4,"2010-04-27",2010,"A"
"29",29,28,"North Carolina Senate - Democratic Primary","PPP (D)","Marshall 26, Cunningham 23, Lewis 7",3,"2010-04-27",2010,"B"
"30",30,29,"Arizona Senate - Hayworth vs. Glassman","Behavior Research Center","Hayworth 37, Glassman 30",7,"2010-04-28",2010,"A-"
"31",31,30,"Arizona Senate - McCain vs. Glassman","Behavior Research Center","McCain 46, Glassman 24",22,"2010-04-28",2010,"A-"
"32",32,31,"Arizona Senate - Republican Primary","Behavior Research Center","McCain 54, Hayworth 28",26,"2010-04-28",2010,"A-"
"33",33,32,"Arizona Senate - Hayworth vs. Glassman","PPP (D)","Hayworth 39, Glassman 42",3,"2010-04-28",2010,"B"
"34",34,33,"Arizona Senate - McCain vs. Glassman","PPP (D)","McCain 49, Glassman 33",16,"2010-04-28",2010,"B"
"35",35,34,"Ohio Senate - Democratic Primary","Quinnipiac","Fisher 41, Brunner 24",17,"2010-04-28",2010,"A-"
"36",36,35,"Nevada Senate - Lowden vs. Reid","Rasmussen Reports","Lowden 52, Reid 39",13,"2010-04-29",2010,"C+"
"37",37,36,"Indiana Senate - Republican Primary","Downs Center/SUSA","Coats 36, Hostettler 24, Stutzman 18",12,"2010-04-29",2010,"unknown"
"38",38,37,"Indiana Senate - Coats vs. Ellsworth","Downs Center/SUSA","Coats 47, Ellsworth 31",16,"2010-04-29",2010,"unknown"
"39",39,38,"Indiana Senate - Hostettler vs. Ellsworth","Downs Center/SUSA","Hostettler 45, Ellsworth 32",13,"2010-04-29",2010,"unknown"
"40",40,39,"Arkansas Senate - Boozman vs. Lincoln","Rasmussen Reports","Boozman 57, Lincoln 29",28,"2010-04-29",2010,"C+"
"41",41,40,"Arkansas Senate - Boozman vs. Halter","Rasmussen Reports","Boozman 56, Halter 31",25,"2010-04-29",2010,"C+"
"42",42,41,"Ohio Senate - Portman vs. Fisher","Quinnipiac","Fisher 40, Portman 37",3,"2010-04-29",2010,"A-"
"43",43,42,"Ohio Senate - Portman vs. Brunner","Quinnipiac","Portman 36, Brunner 40",4,"2010-04-29",2010,"A-"
"44",44,43,"Arizona Senate - Republican Primary","PPP (D)","McCain 46, Hayworth 35",11,"2010-04-29",2010,"B"
"45",45,44,"Arkansas Senate - Democratic Primary","R2000/Daily Kos (D)","Lincoln 43, Halter 35",8,"2010-04-29",2010,"unknown"
"46",46,45,"Arkansas Senate - Boozman vs. Lincoln","R2000/Daily Kos (D)","Boozman 52, Lincoln 42",10,"2010-04-29",2010,"unknown"
"47",47,46,"Arkansas Senate - Boozman vs. Halter","R2000/Daily Kos (D)","Boozman 47, Halter 42",5,"2010-04-29",2010,"unknown"
"48",48,47,"Nevada Senate - Republican Primary","R2000/Daily Kos (D)","Lowden 38, Angle 13, Tarkanian 28",10,"2010-04-29",2010,"unknown"
"49",49,48,"Nevada Senate - Tarkanian vs. Reid","Rasmussen Reports","Tarkanian 51, Reid 41",10,"2010-04-29",2010,"C+"
"50",50,49,"New Hampshire Senate - Ayotte vs. Hodes","WMUR/UNH","Ayotte 47, Hodes 32",15,"2010-04-30",2010,"unknown"
"51",51,50,"Illinois Senate - Giannoulias vs. Kirk","Rasmussen Reports","Kirk 46, Giannoulias 38",8,"2010-04-30",2010,"C+"
"52",52,51,"Ohio Senate - Democratic Primary","Suffolk University","Fisher 55, Brunner 27",28,"2010-04-30",2010,"B+"
"53",53,52,"Delaware Senate - Castle vs. Coons","Rasmussen Reports","Castle 55, Coons 32",23,"2010-04-30",2010,"C+"
"54",54,53,"North Carolina Senate - Democratic Primary","PPP (D)","Marshall 28, Cunningham 21, Lewis 9",7,"2010-05-02",2010,"B"
"55",55,54,"Pennsylvania Senate - Democratic Primary","Morning Call Tracking","Sestak 42, Specter 48",6,"2010-05-03",2010,"unknown"
"56",56,55,"Ohio Senate - Democratic Primary","Quinnipiac","Fisher 43, Brunner 23",20,"2010-05-03",2010,"A-"
"57",57,56,"Iowa Senate - Grassley vs. Conlin","Rasmussen Reports","Grassley 53, Conlin 40",13,"2010-05-03",2010,"C+"
"58",58,57,"Kentucky Senate - Paul vs. Conway","Rasmussen Reports","Paul 47, Conway 38",9,"2010-05-03",2010,"C+"
"59",59,58,"Kentucky Senate - Grayson vs. Conway","Rasmussen Reports","Grayson 43, Conway 38",5,"2010-05-03",2010,"C+"
"60",60,59,"Kentucky Senate - Paul vs. Mongiardo","Rasmussen Reports","Paul 48, Mongiardo 32",16,"2010-05-03",2010,"C+"
"61",61,60,"Kentucky Senate - Grayson vs. Mongiardo","Rasmussen Reports","Grayson 45, Mongiardo 31",14,"2010-05-03",2010,"C+"
"62",62,61,"Florida Senate - Rubio vs. Meek vs. Crist","Rasmussen Reports","Crist 38, Rubio 34, Meek 17",4,"2010-05-04",2010,"C+"
"63",63,62,"Missouri Senate - Blunt vs. Carnahan","Rasmussen Reports","Blunt 50, Carnahan 42",8,"2010-05-04",2010,"C+"
"64",64,63,"Pennsylvania Senate - Democratic Primary","Quinnipiac","Sestak 39, Specter 47",8,"2010-05-04",2010,"A-"
"65",65,64,"Kentucky Senate - Democratic Primary","PPP (D)","Conway 27, Mongiardo 36",9,"2010-05-04",2010,"B"
"66",66,65,"Kentucky Senate - Republican Primary","PPP (D)","Paul 46, Grayson 28",18,"2010-05-04",2010,"B"
"67",67,66,"Louisiana Senate - Vitter vs. Melancon","SMOR/Grigsby (R)","Vitter 49, Melancon 31",18,"2010-05-04",2010,"unknown"
"68",68,67,"Kentucky Senate - Democratic Primary","PPP (D)","Mongiardo 36, Conway 27",9,"2010-05-04",2010,"B"
"69",69,68,"Kentucky Senate - Paul vs. Mongiardo","PPP (D)","Paul 42, Mongiardo 38",4,"2010-05-05",2010,"B"
"70",70,69,"Kentucky Senate - Grayson vs. Conway","PPP (D)","Grayson 42, Conway 34",8,"2010-05-05",2010,"B"
"71",71,70,"Kentucky Senate - Paul vs. Conway","PPP (D)","Paul 41, Conway 40",1,"2010-05-05",2010,"B"
"72",72,71,"Colorado Senate - Norton vs. Romanoff","Rasmussen Reports","Norton 46, Romanoff 39",7,"2010-05-05",2010,"C+"
"73",73,72,"Colorado Senate - Norton vs. Bennet","Rasmussen Reports","Norton 48, Bennet 41",7,"2010-05-05",2010,"C+"
"74",74,73,"Colorado Senate - Buck vs. Bennet","Rasmussen Reports","Bennet 41, Buck 48",7,"2010-05-05",2010,"C+"
"75",75,74,"Washington Senate - Didier vs. Murray","Rasmussen Reports","Murray 51, Didier 36",15,"2010-05-05",2010,"C+"
"76",76,75,"Washington Senate - Benton vs. Murray","Rasmussen Reports","Murray 52, Benton 38",14,"2010-05-05",2010,"C+"
"77",77,76,"Washington Senate - Rossi vs. Murray","Rasmussen Reports","Murray 48, Rossi 46",2,"2010-05-05",2010,"C+"
"78",78,77,"Kentucky Senate - Grayson vs. Mongiardo","PPP (D)","Grayson 43, Mongiardo 35",8,"2010-05-05",2010,"B"
"79",79,78,"Washington Senate - Rossi vs. Murray","Elway Poll","Murray 51, Rossi 34",17,"2010-05-05",2010,"unknown"
"80",80,79,"Colorado Senate - Buck vs. Romanoff","Rasmussen Reports","Buck 45, Romanoff 40",5,"2010-05-05",2010,"C+"
"81",81,80,"Washington Senate - Didier vs. Murray","Elway Poll","Murray 50, Didier 24",26,"2010-05-05",2010,"unknown"
"82",82,81,"Washington Senate - Benton vs. Murray","Elway Poll","Murray 51, Benton 27",24,"2010-05-05",2010,"unknown"
"83",83,82,"Connecticut Senate - McMahon vs. Blumenthal","Rasmussen Reports","Blumenthal 52, McMahon 39",13,"2010-05-06",2010,"C+"
"84",84,83,"Kentucky Senate - Republican Primary","Kentucky Poll","Paul 44, Grayson 32",12,"2010-05-06",2010,"unknown"
"85",85,84,"Kentucky Senate - Democratic Primary","Kentucky Poll","Conway 32, Mongiardo 39",7,"2010-05-06",2010,"unknown"
"86",86,85,"Arizona Senate - Republican Primary","R2000/Daily Kos (D)","McCain 48, Hayworth 36",12,"2010-05-06",2010,"unknown"
"87",87,86,"Arizona Senate - McCain vs. Glassman","R2000/Daily Kos (D)","McCain 48, Glassman 35",13,"2010-05-06",2010,"unknown"
"88",88,87,"North Carolina Senate - Burr vs. Cunningham","Rasmussen Reports","Burr 50, Cunningham 37",13,"2010-05-06",2010,"C+"
"89",89,88,"North Carolina Senate - Burr vs. Marshall","Rasmussen Reports","Burr 48, Marshall 40",8,"2010-05-06",2010,"C+"
"90",90,89,"Florida Senate - Rubio vs. Meek vs. Crist","Mason-Dixon","Crist 38, Rubio 32, Meek 19",6,"2010-05-06",2010,"B+"
"91",91,90,"North Carolina Senate - Dem Runoff (6/22)","Rasmussen Reports","Marshall 42, Cunningham 37",5,"2010-05-06",2010,"C+"
"92",92,91,"Arizona Senate - Hayworth vs. Glassman","R2000/Daily Kos (D)","Hayworth 43, Glassman 42",1,"2010-05-06",2010,"unknown"
"93",93,92,"Connecticut Senate - Schiff vs. Blumenthal","Rasmussen Reports","Blumenthal 54, Schiff 29",25,"2010-05-06",2010,"C+"
"94",94,93,"Connecticut Senate - Simmons vs. Blumenthal","Rasmussen Reports","Blumenthal 55, Simmons 32",23,"2010-05-06",2010,"C+"
"95",95,94,"Kentucky Senate - Democratic Primary","Kentucky Poll","Mongiardo 39, Conway 32",7,"2010-05-06",2010,"unknown"
"96",96,95,"Ohio Senate - Portman vs. Fisher","Rasmussen Reports","Fisher 43, Portman 42",1,"2010-05-07",2010,"C+"
"97",97,96,"Illinois Senate - Giannoulias vs. Kirk","R2000/Daily Kos (D)","Kirk 41, Giannoulias 38",3,"2010-05-07",2010,"unknown"
"98",98,97,"Kentucky Senate - Republican Primary","Magellan Strategies (R)","Paul 43, Grayson 28",15,"2010-05-07",2010,"C+"
"99",99,98,"Arkansas Senate - Republican Primary","Mason-Dixon","Boozman 48, Holt 17, Baker 11",31,"2010-05-07",2010,"B+"
"100",100,99,"Arkansas Senate - Democratic Primary","Mason-Dixon","Lincoln 44, Halter 32",12,"2010-05-07",2010,"B+"
"101",101,100,"Iowa Senate - Grassley vs. Conlin","Research 2000","Grassley 49, Conlin 40",9,"2010-05-07",2010,"F"
"102",102,101,"Indiana Senate - Coats vs. Ellsworth","Rasmussen Reports","Coats 51, Ellsworth 36",15,"2010-05-07",2010,"C+"
"103",103,102,"Arkansas Senate - Boozman vs. Lincoln","Mason-Dixon","Boozman 52, Lincoln 35",17,"2010-05-07",2010,"B+"
"104",104,103,"Arkansas Senate - Boozman vs. Halter","Mason-Dixon","Boozman 56, Halter 32",24,"2010-05-07",2010,"B+"
"105",105,104,"Pennsylvania Senate - Democratic Primary","Morning Call Tracking","Sestak 44, Specter 42",2,"2010-05-08",2010,"unknown"
"106",106,105,"Pennsylvania Senate - Democratic Primary","Rasmussen Reports","Sestak 47, Specter 42",5,"2010-05-10",2010,"C+"
"107",107,106,"Pennsylvania Senate - Specter vs. Toomey","Rasmussen Reports","Toomey 50, Specter 38",12,"2010-05-11",2010,"C+"
"108",108,107,"California Senate - Republican Primary","SurveyUSA","Fiorina 24, Campbell 35, DeVore 15",11,"2010-05-11",2010,"A"
"109",109,108,"North Carolina Senate - Burr vs. Marshall","PPP (D)","Burr 43, Marshall 42",1,"2010-05-11",2010,"B"
"110",110,109,"North Carolina Senate - Burr vs. Cunningham","PPP (D)","Burr 44, Cunningham 39",5,"2010-05-11",2010,"B"
"111",111,110,"Pennsylvania Senate - Sestak vs. Toomey","Rasmussen Reports","Toomey 42, Sestak 40",2,"2010-05-11",2010,"C+"
"112",112,111,"New York Senate - DioGuardi vs. Gillibrand","Marist","Gillibrand 50, DioGuardi 30",20,"2010-05-11",2010,"A"
"113",113,112,"California Senate - Republican Primary","SurveyUSA","Campbell 35, Fiorina 24, DeVore 15",11,"2010-05-11",2010,"A"
"114",114,113,"New York Senate - Malpass vs. Gillibrand","Marist","Gillibrand 52, Malpass 28",24,"2010-05-11",2010,"A"
"115",115,114,"New York Senate - Republican Primary","Marist","DioGuardi 31, Blakeman 13, Malpass 12",18,"2010-05-11",2010,"A"
"116",116,115,"New York Senate - Blakeman vs. Gillibrand","Marist","Gillibrand 52, Blakeman 28",24,"2010-05-11",2010,"A"
"117",117,116,"Pennsylvania Senate - Democratic Primary","Franklin & Marshall","Sestak 38, Specter 36",2,"2010-05-12",2010,"B-"
"118",118,117,"North Carolina Senate - Dem Runoff (6/22)","PPP (D)","Marshall 36, Cunningham 36",0,"2010-05-12",2010,"B"
"119",119,118,"Pennsylvania Senate - Democratic Primary","Quinnipiac","Sestak 42, Specter 44",2,"2010-05-12",2010,"A-"
"120",120,119,"Pennsylvania Senate - Sestak vs. Toomey","Franklin & Marshall","Toomey 29, Sestak 28",1,"2010-05-12",2010,"B-"
"121",121,120,"Pennsylvania Senate - Specter vs. Toomey","Franklin & Marshall","Toomey 35, Specter 33",2,"2010-05-12",2010,"B-"
"122",122,121,"Pennsylvania Senate - Democratic Primary","Suffolk","Sestak 49, Specter 40",9,"2010-05-13",2010,"B+"
"123",123,122,"Arkansas Senate - Democratic Primary","R2000/Daily Kos (D)","Lincoln 46, Halter 37",9,"2010-05-13",2010,"unknown"
"124",124,123,"Arkansas Senate - Republican Primary","R2000/Daily Kos (D)","Boozman 46, Holt 19, Baker 12",27,"2010-05-13",2010,"unknown"
"125",125,124,"Arkansas Senate - Boozman vs. Lincoln","R2000/Daily Kos (D)","Boozman 54, Lincoln 40",14,"2010-05-13",2010,"unknown"
"126",126,125,"Kentucky Senate - Democratic Primary","SurveyUSA","Conway 37, Mongiardo 38",1,"2010-05-13",2010,"A"
"127",127,126,"Kentucky Senate - Democratic Primary","R2000/Daily Kos (D)","Conway 36, Mongiardo 39",3,"2010-05-13",2010,"unknown"
"128",128,127,"Kentucky Senate - Republican Primary","R2000/Daily Kos (D)","Paul 45, Grayson 35",10,"2010-05-13",2010,"unknown"
"129",129,128,"Kentucky Senate - Paul vs. Conway","R2000/Daily Kos (D)","Paul 42, Conway 39",3,"2010-05-13",2010,"unknown"
"130",130,129,"Kentucky Senate - Grayson vs. Conway","R2000/Daily Kos (D)","Grayson 43, Conway 35",8,"2010-05-13",2010,"unknown"
"131",131,130,"Kentucky Senate - Paul vs. Mongiardo","R2000/Daily Kos (D)","Paul 43, Mongiardo 38",5,"2010-05-13",2010,"unknown"
"132",132,131,"Kentucky Senate - Grayson vs. Mongiardo","R2000/Daily Kos (D)","Grayson 42, Mongiardo 36",6,"2010-05-13",2010,"unknown"
"133",133,132,"Kentucky Senate - Republican Primary","SurveyUSA","Paul 49, Grayson 33",16,"2010-05-13",2010,"A"
"134",134,133,"Arkansas Senate - Boozman vs. Halter","R2000/Daily Kos (D)","Boozman 50, Halter 41",9,"2010-05-13",2010,"unknown"
"135",135,134,"Nevada Senate - Republican Primary","LVRJ/Mason-Dixon","Lowden 30, Angle 25, Tarkanian 22",5,"2010-05-13",2010,"B+"
"136",136,135,"New Hampshire Senate - Ayotte vs. Hodes","Rasmussen Reports","Ayotte 50, Hodes 38",12,"2010-05-13",2010,"C+"
"137",137,136,"Kentucky Senate - Democratic Primary","R2000/Daily Kos (D)","Mongiardo 39, Conway 36",3,"2010-05-13",2010,"unknown"
"138",138,137,"Kentucky Senate - Democratic Primary","SurveyUSA","Mongiardo 38, Conway 37",1,"2010-05-13",2010,"A"
"139",139,138,"Pennsylvania Senate - Sestak vs. Toomey","Quinnipiac","Toomey 42, Sestak 40",2,"2010-05-13",2010,"A-"
"140",140,139,"Kansas Senate - Tiahrt vs. Haley","Rasmussen Reports","Tiahrt 58, Haley 27",31,"2010-05-13",2010,"C+"
"141",141,140,"Kansas Senate - Moran vs. Haley","Rasmussen Reports","Moran 60, Haley 25",35,"2010-05-13",2010,"C+"
"142",142,141,"Pennsylvania Senate - Specter vs. Toomey","Quinnipiac","Toomey 47, Specter 40",7,"2010-05-13",2010,"A-"
"143",143,142,"Pennsylvania Senate - Democratic Primary","R2000/Daily Kos (D)","Sestak 45, Specter 43",2,"2010-05-14",2010,"unknown"
"144",144,143,"California Senate - Boxer vs. Fiorina","Rasmussen Reports","Boxer 45, Fiorina 38",7,"2010-05-14",2010,"C+"
"145",145,144,"California Senate - Boxer vs. DeVore","Rasmussen Reports","Boxer 46, DeVore 40",6,"2010-05-14",2010,"C+"
"146",146,145,"Pennsylvania Senate - Specter vs. Toomey","R2000/Daily Kos (D)","Toomey 49, Specter 41",8,"2010-05-14",2010,"unknown"
"147",147,146,"California Senate - Boxer vs. Campbell","Rasmussen Reports","Boxer 42, Campbell 41",1,"2010-05-14",2010,"C+"
"148",148,147,"Pennsylvania Senate - Sestak vs. Toomey","R2000/Daily Kos (D)","Toomey 45, Sestak 40",5,"2010-05-14",2010,"unknown"
"149",149,148,"Idaho Senate - Crapo vs. Sullivan","Rasmussen Reports","Crapo 66, Sullivan 22",44,"2010-05-14",2010,"C+"
"150",150,149,"Pennsylvania Senate - Democratic Primary","Morning Call Tracking","Sestak 43, Specter 44",1,"2010-05-15",2010,"unknown"
"151",151,150,"Pennsylvania Senate - Democratic Primary","Morning Call Tracking","Sestak 44, Specter 44",0,"2010-05-16",2010,"unknown"
"152",152,151,"Florida Senate - Rubio vs. Meek vs. Crist","Rasmussen Reports","Crist 31, Rubio 39, Meek 18",8,"2010-05-17",2010,"C+"
"153",153,152,"Kentucky Senate - Republican Primary","PPP (D)","Paul 52, Grayson 34",18,"2010-05-17",2010,"B"
"154",154,153,"Pennsylvania Senate - Democratic Primary","Quinnipiac","Sestak 42, Specter 41",1,"2010-05-17",2010,"A-"
"155",155,154,"Kentucky Senate - Republican Primary","Magellan Strategies (R)","Paul 55, Grayson 30",25,"2010-05-18",2010,"C+"
"156",156,155,"Colorado Senate - Democratic Primary","PPP (D)","Bennet 46, Romanoff 31",15,"2010-05-18",2010,"B"
"157",157,156,"Colorado Senate - Republican Primary","PPP (D)","Norton 31, Buck 26, Wiens 5",5,"2010-05-18",2010,"B"
"158",158,157,"California Senate - Republican Primary","M4 Strategies (R)","Fiorina 28, Campbell 33, DeVore 15",5,"2010-05-18",2010,"C+"
"159",159,158,"New York Senate - DioGuardi vs. Gillibrand","Rasmussen Reports","Gillibrand 51, DioGuardi 28",23,"2010-05-18",2010,"C+"
"160",160,159,"New York Senate - Blakeman vs. Gillibrand","Rasmussen Reports","Gillibrand 51, Blakeman 31",20,"2010-05-18",2010,"C+"
"161",161,160,"New York Senate - Malpass vs. Gillibrand","Rasmussen Reports","Gillibrand 46, Malpass 27",19,"2010-05-18",2010,"C+"
"162",162,161,"Arizona Senate - Republican Primary","Rasmussen Reports","McCain 52, Hayworth 40",12,"2010-05-19",2010,"C+"
"163",163,162,"Connecticut Senate - Simmons vs. Blumenthal","Rasmussen Reports","Blumenthal 50, Simmons 39",11,"2010-05-19",2010,"C+"
"164",164,163,"Connecticut Senate - Schiff vs. Blumenthal","Rasmussen Reports","Blumenthal 53, Schiff 37",16,"2010-05-19",2010,"C+"
"165",165,164,"Connecticut Senate - McMahon vs. Blumenthal","Rasmussen Reports","Blumenthal 48, McMahon 45",3,"2010-05-19",2010,"C+"
"166",166,165,"Arizona Senate - McCain vs. Glassman","Rasmussen Reports","McCain 57, Glassman 28",29,"2010-05-19",2010,"C+"
"167",167,166,"Colorado Senate - Norton vs. Romanoff","PPP (D)","Norton 41, Romanoff 43",2,"2010-05-19",2010,"B"
"168",168,167,"Colorado Senate - Buck vs. Bennet","PPP (D)","Bennet 45, Buck 39",6,"2010-05-19",2010,"B"
"169",169,168,"Colorado Senate - Norton vs. Bennet","PPP (D)","Norton 41, Bennet 44",3,"2010-05-19",2010,"B"
"170",170,169,"Colorado Senate - Buck vs. Romanoff","PPP (D)","Buck 38, Romanoff 41",3,"2010-05-19",2010,"B"
"171",171,170,"Arizona Senate - Hayworth vs. Glassman","Rasmussen Reports","Hayworth 49, Glassman 33",16,"2010-05-19",2010,"C+"
"172",172,171,"Pennsylvania Senate - Sestak vs. Toomey","Rasmussen Reports","Toomey 42, Sestak 46",4,"2010-05-20",2010,"C+"
"173",173,172,"Kentucky Senate - Paul vs. Conway","Rasmussen Reports","Paul 59, Conway 34",25,"2010-05-20",2010,"C+"
"174",174,173,"Arkansas Senate - Democratic Runoff (6/8)","R2000/DFA (D)","Halter 48, Lincoln 46",2,"2010-05-20",2010,"unknown"
"175",175,174,"California Senate - Boxer vs. Fiorina","PPIC","Boxer 48, Fiorina 39",9,"2010-05-20",2010,"unknown"
"176",176,175,"California Senate - Boxer vs. DeVore","PPIC","Boxer 50, DeVore 39",11,"2010-05-20",2010,"unknown"
"177",177,176,"California Senate - Boxer vs. Campbell","PPIC","Boxer 46, Campbell 40",6,"2010-05-20",2010,"unknown"
"178",178,177,"California Senate - Republican Primary","PPIC","Fiorina 25, Campbell 23, DeVore 16",2,"2010-05-20",2010,"unknown"
"179",179,178,"California Senate - Boxer vs. Campbell","R2000/Daily Kos (D)","Boxer 47, Campbell 40",7,"2010-05-21",2010,"unknown"
"180",180,179,"California Senate - Boxer vs. Fiorina","R2000/Daily Kos (D)","Boxer 48, Fiorina 39",9,"2010-05-21",2010,"unknown"
"181",181,180,"Arkansas Senate - Boozman vs. Lincoln","Rasmussen Reports","Boozman 66, Lincoln 28",38,"2010-05-21",2010,"C+"
"182",182,181,"Arkansas Senate - Boozman vs. Halter","Rasmussen Reports","Boozman 60, Halter 33",27,"2010-05-21",2010,"C+"
"183",183,182,"California Senate - Republican Primary","R2000/Daily Kos (D)","Fiorina 22, Campbell 37, DeVore 14",15,"2010-05-21",2010,"unknown"
"184",184,183,"California Senate - Boxer vs. DeVore","R2000/Daily Kos (D)","Boxer 47, DeVore 38",9,"2010-05-21",2010,"unknown"
"185",185,184,"Florida Senate - Democratic Primary","St. Petersburg Times","Meek 33, Greene 9, Ferre 10",23,"2010-05-23",2010,"unknown"
"186",186,185,"Florida Senate - Rubio vs. Meek vs. Crist","St. Petersburg Times","Crist 30, Rubio 27, Meek 15",3,"2010-05-23",2010,"unknown"
"187",187,186,"New York Senate - Malpass vs. Gillibrand","Siena","Gillibrand 53, Malpass 22",31,"2010-05-24",2010,"A"
"188",188,187,"New York Senate - DioGuardi vs. Gillibrand","Siena","Gillibrand 51, DioGuardi 25",26,"2010-05-24",2010,"A"
"189",189,188,"New York Senate - Blakeman vs. Gillibrand","Siena","Gillibrand 51, Blakeman 24",27,"2010-05-24",2010,"A"
"190",190,189,"Alabama Senate - Shelby vs. Barnes","R2000/Daily Kos (D)","Shelby 57, Barnes 33",24,"2010-05-24",2010,"unknown"
"191",191,190,"North Dakota Senate - Hoeven vs. Potter","Rasmussen Reports","Hoeven 72, Potter 23",49,"2010-05-24",2010,"C+"
"192",192,191,"California Senate - Republican Primary","SurveyUSA","Fiorina 46, Campbell 23, DeVore 14",23,"2010-05-25",2010,"A"
"193",193,192,"California Senate - Republican Primary","PPP (D)","Fiorina 41, Campbell 21, DeVore 16",20,"2010-05-25",2010,"B"
"194",194,193,"Kansas Senate - Republican Primary","SurveyUSA","Moran 52, Tiahrt 29",23,"2010-05-25",2010,"A"
"195",195,194,"Washington Senate - Rossi vs. Murray","The Washington Poll","Murray 44, Rossi 40",4,"2010-05-25",2010,"unknown"
"196",196,195,"Georgia Senate - Isakson vs. Thurmond","Rasmussen Reports","Isakson 57, Thurmond 30",27,"2010-05-25",2010,"C+"
"197",197,196,"California Senate - Republican Primary","Magellan Strategies (R)","Fiorina 44, Campbell 21, DeVore 14",23,"2010-05-26",2010,"C+"
"198",198,197,"California Senate - Boxer vs. Campbell","PPP (D)","Boxer 47, Campbell 40",7,"2010-05-26",2010,"B"
"199",199,198,"California Senate - Boxer vs. Fiorina","PPP (D)","Boxer 45, Fiorina 42",3,"2010-05-26",2010,"B"
