,name,candidate_id,state,incumbent_challenge_full,party_full,office_full,cycles,election_years,last_file_date,load_date
15,"ABBOUD, CHRIS",H8NE02089,NE,Challenger,REPUBLICAN PARTY,House,"[1988, 1990, 1992, 1994, 1996]",[1988],1987-11-09,2002-04-02T00:00:00
16,"ABBOUD, DEEDRA",S8AZ00122,AZ,Open seat,DEMOCRATIC PARTY,Senate,[2018],[2018],2017-04-11,2018-04-03T21:07:16
17,"ABBOUD, ROBERT",H8IL16062,IL,Challenger,DEMOCRATIC PARTY,House,"[2008, 2010, 2012]",[2008],2007-08-03,2008-01-07T21:45:39
18,"ABDULAHI, JAMAL MR.",H8MN05163,MN,Open seat,DEMOCRATIC PARTY,House,[2018],[2018],2018-07-09,2018-08-07T21:19:28
19,"ABELER, JAMES J",S4MN00353,MN,Challenger,REPUBLICAN PARTY,Senate,"[2014, 2016]",[2014],2013-07-08,2016-11-17T06:10:49
20,"ABEL, KEVIN",H8GA06377,GA,Challenger,DEMOCRATIC PARTY,House,[2018],[2018],2017-10-20,2018-01-24T21:11:39
21,"ABEL, MATTHEW R",S0MI00155,MI,Challenger,UNKNOWN,Senate,"[2000, 2002]",[2000],2000-08-28,2002-04-12T00:00:00
22,"ABERCROMBIE, NEIL",H6HI01121,HI,Challenger,DEMOCRATIC PARTY,House,"[1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012]","[1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010]",2008-11-05,2011-02-24T10:53:11
23,"ABER, ROBERT M",H4PA20012,PA,,DEMOCRATIC PARTY,House,[1984],[1984],1984-02-29,2002-03-30T00:00:00
24,"ABLES, MURIEL WAYNE",S4LA00156,LA,Challenger,DEMOCRATIC PARTY,Senate,"[2014, 2016]",[2014],2014-09-12,2016-11-17T06:10:49
25,"ABOUD, PAULA ANN",H2AZ02279,AZ,Challenger,DEMOCRATIC PARTY,House,"[2012, 2014]",[2012],2012-02-15,2013-04-26T09:04:30
26,"ABRAHAM, RALPH LEE DR. JR.",H4LA05221,LA,Incumbent,REPUBLICAN PARTY,House,"[2014, 2016, 2018]","[2014, 2016, 2018]",2017-05-31,2017-06-05T23:09:09
27,"ABRAHAMS, KEVAN",H4NY04067,NY,Open seat,DEMOCRATIC PARTY,House,"[2014, 2016]",[2014],2014-02-03,2015-04-02T15:52:44
28,"ABRAHAM, SPENCER SENATOR",S4MI00165,MI,Challenger,REPUBLICAN PARTY,Senate,"[1994, 1996, 1998, 2000, 2002, 2004]","[1994, 2000]",1999-04-28,2002-04-12T00:00:00
29,"ABRAHAM, WILLIAM C",H8OH18054,OH,Challenger,REPUBLICAN PARTY,House,"[1988, 1990, 1992]",[1988],1988-09-13,2002-03-30T00:00:00
30,"ABRAM, ALFRED JR",P80000219,US,Challenger,DEMOCRATIC PARTY,President,"[1986, 1988, 1990, 1992, 1994, 1996]","[1988, 1990]",1988-07-06,2002-04-02T00:00:00
31,"ABRAMOVITZ, GEORGE E",H6MO07086,MO,Challenger,DEMOCRATIC PARTY,House,[1986],[1986],1986-07-18,2002-03-30T00:00:00
32,"ABRAMS, JOHN E.",H8NM01356,NM,Open seat,DEMOCRATIC PARTY,House,[2018],[2018],2017-05-16,2018-01-09T21:09:43
33,"ABRAMS, MARCIA KAREN DR PHD",S6NC00324,NC,Challenger,REPUBLICAN PARTY,Senate,"[2016, 2018]","[2016, 2018]",2017-01-23,2018-02-17T09:16:21
34,"ABRAMS, MILTON C",H4UT01017,UT,Challenger,DEMOCRATIC PARTY,House,"[1984, 1986]",[1984],1984-07-05,2002-03-30T00:00:00
35,"ABRAMSON, PAUL",H8IN08125,IN,Challenger,REPUBLICAN PARTY,House,[2008],[2008],2008-02-06,2008-07-21T00:00:00
36,"ABRAMS, ROBERT",S0NY00162,NY,Challenger,DEMOCRATIC PARTY,Senate,"[1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008]","[1992, 1998]",1993-02-03,2002-04-12T00:00:00
37,"ABROMS, DAVID",H8GA06302,GA,Open seat,REPUBLICAN PARTY,House,[2018],[2017],2017-02-15,2017-05-09T21:04:56
38,"ABROMSON, LINDA",H0ME01028,ME,Challenger,DEMOCRATIC PARTY,House,"[1990, 1992, 1994, 1996]",[1990],1990-01-31,2002-04-02T00:00:00
39,"ABSHIER, ROY",H8FL06072,FL,Open seat,REPUBLICAN PARTY,House,[1988],[1988],1988-07-16,2005-05-26T00:00:00
40,"ABU-GHAZALAH, MAAD H H",H2CA12158,CA,Challenger,DEMOCRATIC PARTY,House,"[2002, 2004, 2006, 2008]","[2002, 2004]",2003-09-29,2005-03-02T00:00:00
41,"ABZUG, BELLA S",H6NY20134,NY,Challenger,DEMOCRATIC PARTY,House,"[1986, 1988, 1990, 1992, 1994, 1996]",[1986],1986-06-20,2002-04-02T00:00:00
42,"ACCARDO, NICK J MD",S0LA00048,LA,Challenger,UNKNOWN,Senate,"[1990, 1992, 1994, 1996, 1998]","[1990, 1992, 1996]",1992-09-18,2002-04-03T00:00:00
43,"ACCAVITTI, FRANK JR",H8MI10132,MI,Challenger,DEMOCRATIC PARTY,House,[2018],[2018],2018-05-09,2018-07-17T21:11:36
44,"ACCAVITTI, FRANK MR. JR",H6MI10227,MI,Open seat,DEMOCRATIC PARTY,House,"[2016, 2018]",[2016],2016-04-19,2017-02-23T14:47:46
45,"ACEVEDO, CHRISTOPHER DUFFY",H2CT03078,CT,Challenger,REPUBLICAN PARTY,House,[2002],[2002],2002-06-21,2002-06-24T00:00:00
46,"ACEVEDO, MARY ALICE",H4CA50014,CA,Challenger,REPUBLICAN PARTY,House,"[1994, 1996, 1998, 2000]",[1994],1994-03-23,2002-04-07T00:00:00
47,"ACEVEDO-VILA, ANIBAL",H8PR00054,PR,Challenger,DEMOCRATIC PARTY,House,"[2000, 2002, 2004, 2006]","[2000, 2004]",2003-10-28,2004-02-18T00:00:00
48,"ACHADJIAN, KHATCHIK",H6CA24295,CA,Open seat,REPUBLICAN PARTY,House,[2016],[2016],2015-05-15,2015-09-08T20:59:20
49,"ACHILLE, CARL H.",H8NY05107,NY,Challenger,DEMOCRATIC PARTY,House,[2018],[2018],2018-04-02,2018-04-17T21:13:11
50,"ACKER, BRANDON W.",H8NC07093,NC,Challenger,DEMOCRATIC PARTY,House,"[2016, 2018]",[2018],2016-07-22,2017-01-05T21:04:01
51,"ACKERMAN, GARY L.",H4NY07011,NY,Challenger,DEMOCRATIC PARTY,House,"[1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018]","[1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014]",2011-10-03,2013-01-03T22:17:08
52,"ACKERSON, NELS",H8IN04108,IN,Challenger,DEMOCRATIC PARTY,House,"[2008, 2010, 2012]",[2008],2008-01-09,2008-01-10T22:04:10
53,"ACKISON, MELISSA",S8OH00094,OH,Challenger,REPUBLICAN PARTY,Senate,[2018],[2018],2017-09-21,2018-02-21T21:15:37
54,"ACLE, LUIS JR",H8CA44018,CA,Challenger,REPUBLICAN PARTY,House,"[1988, 1990, 1992, 1994, 1996, 1998]","[1988, 1992]",1992-01-24,2002-04-03T00:00:00
55,"ACOSTA, DANTE",H2CA25176,CA,Challenger,REPUBLICAN PARTY,House,"[2012, 2014, 2016]",[2012],2012-03-29,2013-04-26T09:04:30
56,"ACTIS, RONALD GEORGE",H0MI05055,MI,Challenger,REPUBLICAN PARTY,House,"[2000, 2002]",[2000],2000-05-30,2002-04-12T00:00:00
57,"ACTON, JON DAVID",H0IN04212,IN,Open seat,REPUBLICAN PARTY,House,[2010],[2010],2010-02-22,2010-04-27T22:43:38
58,"ACUFF, STEVEN D",H6NC04128,NC,Challenger,REPUBLICAN PARTY,House,"[2006, 2008]",[2006],2006-01-25,2009-04-29T00:00:00
59,"ADADI, ELIZABETH",H8FL27219,FL,Open seat,REPUBLICAN PARTY,House,[2018],[2018],2018-04-15,2018-07-17T21:11:36
60,"ADAIR, GLENN DAREN MR. N/A",H8TX06209,TX,Open seat,LIBERTARIAN PARTY,House,[2018],[2018],2017-03-29,2018-01-09T21:09:43
61,"ADAIR, ROBIN",S6WA00289,WA,Challenger,INDEPENDENT,Senate,"[2006, 2008]",[2006],2006-07-31,2009-04-29T00:00:00
62,"ADA, JOSEPH F",H2GU00058,GU,Challenger,REPUBLICAN PARTY,House,"[2002, 2004]",[2002],2002-09-12,2002-10-04T00:00:00
63,ADAM DAVIDSON DEMARCO,H8MD03116,MD,Challenger,DEMOCRATIC PARTY,House,[2018],[2018],2018-06-25,2018-06-25T21:27:24
64,"ADAME, MARSHALL RICHARD",H8NC03043,NC,Challenger,DEMOCRATIC PARTY,House,"[2008, 2014, 2016]","[2008, 2014]",2013-08-13,2015-04-02T15:52:44
65,"ADAMETZ, PAUL T",H6PA04078,PA,Challenger,REPUBLICAN PARTY,House,"[1996, 1998, 2000]","[1996, 1998]",1998-03-27,2002-04-07T00:00:00
66,"ADAMS, ALMA SHEALEY",H4NC12100,NC,Incumbent,DEMOCRATIC PARTY,House,"[2014, 2016, 2018]","[2014, 2016, 2018]",2017-01-23,2018-04-09T21:07:45
67,"ADAMS, ANN MARIE DR",S8CT00105,CT,Challenger,DEMOCRATIC PARTY,Senate,[2018],[2018],2017-04-24,2018-02-17T09:16:20
68,"ADAMS, ANTHONY T",H2CA08180,CA,Challenger,NO PARTY AFFILIATION,House,"[2012, 2014]",[2012],2012-02-22,2014-04-01T09:54:32
69,"ADAMS, BILL",H6IL17098,IL,Challenger,REPUBLICAN PARTY,House,[1996],[1996],1995-11-29,2002-04-02T00:00:00
70,"ADAMS, BOYCE",H6MS01156,MS,Open seat,REPUBLICAN PARTY,House,"[2016, 2018]",[2015],2015-03-14,2017-02-23T14:47:46
71,"ADAMS, BRENT THOMAS",H8NV02012,NV,Challenger,DEMOCRATIC PARTY,House,[1988],[1988],1987-07-23,2005-05-26T00:00:00
72,"ADAMS, CHARLES H",H0AL03077,AL,Challenger,DEMOCRATIC PARTY,House,"[1990, 1992, 1994, 1996]",[1990],1989-01-24,2002-04-02T00:00:00
73,"ADAMS, DANIELLE",H4NC06078,NC,Open seat,DEMOCRATIC PARTY,House,"[2014, 2016]",[2014],2013-07-12,2015-04-02T15:52:44
74,"ADAMS, DENISE DARCEL",H8NC05063,NC,Challenger,DEMOCRATIC PARTY,House,[2018],[2018],2017-03-29,2018-04-09T21:07:45
75,"ADAMS, DENNIS",H4NJ06018,NJ,Challenger,REPUBLICAN PARTY,House,"[1984, 1986]",[1984],1984-05-01,2002-03-30T00:00:00
76,"ADAMS, DESMUND DOUGLAS",H6IA03235,IA,Challenger,DEMOCRATIC PARTY,House,"[2016, 2018]",[2016],2015-07-01,2017-02-23T14:47:46
77,"ADAMS, DIRK STANDLEY",S4MT00100,MT,Challenger,DEMOCRATIC PARTY,Senate,"[2014, 2016]",[2014],2013-08-29,2016-11-17T06:10:49
78,"ADAMS, EDDIE JR",H6FL11175,FL,Challenger,REPUBLICAN PARTY,House,"[2006, 2008, 2010, 2012, 2014, 2016]","[2006, 2008, 2010, 2012, 2016]",2015-11-30,2016-01-04T20:57:31
79,"ADAMS, ERIC L",H4NY11062,NY,Challenger,DEMOCRATIC PARTY,House,"[1994, 1996, 1998]",[1994],1994-05-11,2002-04-03T00:00:00
80,"ADAMS, FLOYD JR",H2GA12063,GA,Open seat,DEMOCRATIC PARTY,House,[2002],[2002],2002-04-01,2002-08-07T00:00:00
81,"ADAMS, GARY SHELDON",H2KS03067,KS,Challenger,REPUBLICAN PARTY,House,[1992],[1992],1992-02-05,2002-03-30T00:00:00
82,"ADAMS, GEORGE JOSEPH",H6CA28098,CA,Challenger,REPUBLICAN PARTY,House,"[1986, 1988, 1990, 1992, 1994]",[1986],1986-04-21,2002-03-30T00:00:00
83,"ADAMS, JOHN",H0OH15099,OH,Open seat,REPUBLICAN PARTY,House,"[2010, 2012, 2014, 2016, 2018]","[2010, 2012, 2014, 2016, 2018]",2014-07-24,2018-04-03T21:07:16
84,"ADAMS, JOHN",H0AR02149,AR,Open seat,DEMOCRATIC PARTY,House,"[2010, 2012]",[2010],2010-02-18,2011-02-24T10:53:11
85,"ADAMS, JOHN QUINCY VI",S2OK00079,OK,Challenger,DEMOCRATIC PARTY,Senate,"[2002, 2004]",[2002],2002-01-19,2002-06-26T00:00:00
86,"ADAMS, JON",H8NM01240,NM,Open seat,DEMOCRATIC PARTY,House,[2008],[2008],2007-12-31,2008-01-14T00:00:00
87,"ADAMS, KENNETH MAHLON",H8FL14076,FL,Challenger,REPUBLICAN PARTY,House,"[1988, 1990]",[1988],1988-01-05,2002-03-30T00:00:00
88,"ADAMS, KIMBERLY",H8VA10148,VA,Challenger,DEMOCRATIC PARTY,House,[2018],[2018],2017-07-07,2017-10-16T21:00:02
89,"ADAMS, KIRK DAVID",H2AZ06148,AZ,Open seat,REPUBLICAN PARTY,House,"[2012, 2014, 2016, 2018]",[2012],2012-02-22,2013-04-26T09:04:30
90,"ADAMS, MIKE",H2PA20057,PA,Challenger,DEMOCRATIC PARTY,House,"[1992, 1994, 1996, 1998, 2000]","[1992, 1994]",1993-08-13,2002-04-07T00:00:00
91,"ADAMSON, DANNIS MARLON",H4ID02014,ID,Challenger,REPUBLICAN PARTY,House,"[1984, 1986]","[1984, 1986]",1986-05-19,2002-03-30T00:00:00
92,"ADAMS, RHUEDOLPH 'RUDY'",H0GA02225,GA,Challenger,REPUBLICAN PARTY,House,"[2010, 2012, 2014, 2016, 2018]",[2010],2010-04-07,2010-09-23T23:17:20
93,"ADAMS, ROBERT E",H2WA08125,WA,Open seat,INDEPENDENT,House,[1992],[1992],1992-06-24,2002-03-30T00:00:00
94,"ADAMS, SAM FRANCIS",H4OR03077,OR,Challenger,DEMOCRATIC PARTY,House,[2004],[2004],2003-08-08,2005-03-02T00:00:00
95,"ADAMS, SANDY",H0FL24049,FL,Challenger,REPUBLICAN PARTY,House,"[2010, 2012, 2014, 2016, 2018]","[2010, 2012, 2016]",2015-06-23,2017-02-23T14:47:46
96,"ADAMS, STEVE",H4CA41120,CA,Challenger,REPUBLICAN PARTY,House,"[2014, 2016]",[2014],2013-05-17,2015-04-02T15:52:44
97,"ADAMS, SUSAN L",H2CA06275,CA,Open seat,DEMOCRATIC PARTY,House,"[2012, 2014]",[2012],2011-05-31,2013-04-26T09:04:30
98,"ADAMS, TERRY GLEN JR",S4TN00328,TN,Challenger,DEMOCRATIC PARTY,Senate,"[2014, 2016]",[2014],2013-10-18,2016-11-17T06:10:49
99,"ADAM, STEVEN E",H4MA01034,MA,Challenger,REPUBLICAN PARTY,House,"[2004, 2006, 2008]",[2004],2003-06-16,2005-03-02T00:00:00
100,"ADAMS, THEODORE CAPERS JR",H6SC04049,SC,Challenger,CONSTITUTIONAL,House,"[1976, 1986, 1988, 1990, 1992, 1994, 1996, 2000, 2002]","[1976, 1986, 1988, 2000]",2000-08-07,2002-04-12T00:00:00
101,"ADAMS, THOMAS A",H4SC05058,SC,Challenger,DEMOCRATIC PARTY,House,"[2014, 2016]",[2014],2014-04-18,2015-04-02T15:52:44
102,"ADANDE, JOCELYN-TANDY",H6IN10158,IN,Open seat,DEMOCRATIC PARTY,House,[1996],[1996],1996-03-12,2002-04-02T00:00:00
103,"ADCOCK, CARSON DEE",H0PA13080,PA,Open seat,REPUBLICAN PARTY,House,"[2010, 2012, 2014, 2016]","[2010, 2014]",2014-02-19,2015-04-02T15:52:44
104,"ADCOCK, FLYNN JAMES",H2TX31077,TX,Open seat,REPUBLICAN PARTY,House,"[2002, 2004]",[2002],2002-02-11,2002-04-12T00:00:00
105,"ADCOCK, RONNIE WAYNE",H8NC12036,NC,Challenger,DEMOCRATIC PARTY,House,[1998],[1998],1998-07-13,2002-04-03T00:00:00
106,"ADCOCK, SAM",H6MS01214,MS,Open seat,REPUBLICAN PARTY,House,[2016],[2015],2015-03-09,2015-04-20T21:30:50
107,"ADCOOK, ANN B",H0IN05144,IN,Challenger,REPUBLICAN PARTY,House,[2010],[2010],2010-01-30,2010-05-03T22:08:08
108,"ADDISON, MARSHALL GLENN",S2TX00320,TX,Open seat,REPUBLICAN PARTY,Senate,[2012],[2012],2011-02-15,2011-07-21T00:14:15
109,"ADDIS, PAUL DAVID",H8PA05303,PA,Challenger,REPUBLICAN PARTY,House,[2018],[2018],2018-03-29,2018-04-03T21:07:16
110,"ADDIVINOLA, FRANK J JR",S4MA00242,MA,Challenger,REPUBLICAN PARTY,Senate,"[2014, 2016, 2018]",[2014],2014-03-19,2018-02-17T09:16:20
111,"ADDIVINOLA, FRANK JOHN JR",H2MA05120,MA,Challenger,REPUBLICAN PARTY,House,"[2012, 2014, 2016, 2018]","[2012, 2014]",2013-07-30,2014-02-18T22:11:13
112,"ADELMAN, LYNN S",H2WI04013,WI,Challenger,DEMOCRATIC PARTY,House,"[1982, 1984, 1986, 1988, 1990, 1992]","[1982, 1984]",1983-12-23,2002-03-30T00:00:00
113,"ADEN, KENNETH WADE",H2AR03234,AR,Challenger,DEMOCRATIC PARTY,House,"[2012, 2014]",[2012],2011-09-14,2013-04-26T09:04:30
114,"ADERHOLT, ROBERT B. REP.",H6AL04098,AL,Incumbent,REPUBLICAN PARTY,House,"[1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018]","[1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018]",2016-12-02,2017-03-02T21:00:15
115,"ADESHINA, YINKA ABOSEDE",P60004793,US,Open seat,REPUBLICAN PARTY,President,"[2010, 2012, 2014, 2016, 2018]","[2012, 2016]",2013-12-24,2018-02-17T09:16:20
116,"ADIA, VANESSA MICHELLE",H8TX12074,TX,Challenger,DEMOCRATIC PARTY,House,[2018],[2018],2017-03-22,2017-09-15T21:00:12
117,"ADIK, STEPHEN P JR",H2PA15024,PA,Challenger,DEMOCRATIC PARTY,House,"[1982, 1984, 1986, 1988, 1990, 1992, 1994]",[1982],1982-02-08,2002-03-30T00:00:00
118,"ADKINS, BURL C",H6MI15077,MI,Challenger,REPUBLICAN PARTY,House,"[1986, 1988, 1990, 1992, 1994]","[1986, 1988, 1990, 1992]",1992-06-24,2002-03-30T00:00:00
119,"ADKINS, WILLIAM R. ""BILL""",H2KY04139,KY,Open seat,DEMOCRATIC PARTY,House,[2012],[2012],2012-02-29,2012-04-17T21:43:49
120,"ADKISSON, DAVID C",H4KY02055,KY,Challenger,DEMOCRATIC PARTY,House,"[1994, 1996, 1998, 2000]",[1994],1994-06-23,2002-04-07T00:00:00
121,"ADLER, DANIEL H",H2CA36348,CA,Open seat,DEMOCRATIC PARTY,House,[2012],[2011],2011-04-01,2011-12-20T23:00:07
122,"ADLER, DAVID GRAY",H4WI03011,WI,,DEMOCRATIC PARTY,House,[1984],[1984],1984-02-27,2002-03-30T00:00:00
123,"ADLER, JOHN H",S8NJ00368,NJ,Challenger,DEMOCRATIC PARTY,Senate,"[2004, 2006, 2008]",[2008],2007-11-27,2008-04-21T00:00:00
124,"ADLER, JOHN H",H8NJ03156,NJ,Challenger,DEMOCRATIC PARTY,House,"[2008, 2010, 2012]","[2008, 2010]",2008-12-10,2012-02-28T11:52:34
125,"ADLER, JOHN H",H0NJ13061,NJ,Challenger,DEMOCRATIC PARTY,House,"[1990, 1992, 1994, 1996]",[1990],1990-01-16,2002-04-02T00:00:00
126,"ADLER, SHELLEY",H2NJ03183,NJ,Challenger,DEMOCRATIC PARTY,House,"[2012, 2014, 2016]",[2012],2012-02-13,2013-04-26T09:04:30
127,"ADLER, STUART O",H6CA26118,CA,Challenger,REPUBLICAN PARTY,House,[1996],[1996],1995-08-03,2002-04-02T00:00:00
128,"AFFELDT, ALLAN",H8AZ01088,AZ,Open seat,DEMOCRATIC PARTY,House,[2008],[2008],2007-05-02,2008-07-21T00:00:00
129,"AFFLERBACH, ROY C",H8PA15146,PA,Challenger,DEMOCRATIC PARTY,House,"[1998, 2000, 2002, 2004]",[1998],1998-01-14,2002-04-12T00:00:00
130,"AFZALI, KATHY",H2MD06229,MD,Challenger,REPUBLICAN PARTY,House,"[2012, 2014, 2016, 2018]",[2012],2012-01-30,2013-04-26T09:04:30
131,"AGANA, MARISHA GUZMAN",H2OH13199,OH,Challenger,REPUBLICAN PARTY,House,"[2012, 2014]",[2012],2012-01-10,2013-04-26T09:04:30
132,"AGGARWAL, YASH P",H6NY20142,NY,Challenger,DEMOCRATIC PARTY,House,"[1996, 1998, 2000, 2002]",[1996],1996-01-11,2002-04-12T00:00:00
133,"AGNEW, ERIC MR.",H8WA05185,WA,Challenger,INDEPENDENT,House,[2018],[2018],2017-07-24,2018-02-08T21:14:37
134,"AGOSTA, MICHAEL",H0NJ00019,NJ,Challenger,REPUBLICAN PARTY,House,"[2010, 2012]",[2010],2010-04-29,2011-02-24T10:53:12
135,"AGRA, JOHN",H6AZ09036,AZ,Challenger,REPUBLICAN PARTY,House,"[2016, 2018]",[2016],2016-02-22,2017-02-23T14:47:46
136,"AGRAN, LARRY",P20000626,US,Challenger,DEMOCRATIC PARTY,President,"[1992, 1994]",[1992],1991-08-21,2002-03-30T00:00:00
137,"AGRIS, JOSEPH",H4TX06018,TX,Open seat,REPUBLICAN PARTY,House,[1984],[1984],1984-04-13,2002-03-30T00:00:00
138,"AGUADO, ALMA LUDIVINA MD",S0TX00159,TX,Challenger,DEMOCRATIC PARTY,Senate,"[2008, 2010]","[2009, 2010]",2009-01-09,2009-12-18T21:48:30
139,"AGUILAR, GREGORIO MIGUEL",H2IL17097,IL,Challenger,DEMOCRATIC PARTY,House,"[2012, 2014, 2016]",[2012],2011-08-24,2013-04-26T09:04:30
140,"AGUILAR, PETE",H2CA31125,CA,Incumbent,DEMOCRATIC PARTY,House,"[2012, 2014, 2016, 2018]","[2012, 2014, 2016, 2018]",2018-07-25,2018-07-25T21:08:28
141,"AGUILERA, JUSTIN",H8CA19051,CA,Challenger,REPUBLICAN PARTY,House,[2018],[2018],2018-07-24,2018-10-19T21:11:18
142,"AGUIRRE, AMANDA",H2AZ03137,AZ,Challenger,DEMOCRATIC PARTY,House,"[2012, 2014]",[2012],2012-03-15,2013-04-26T09:04:30
143,"AGUIRRE, MICHAEL JULES",H2CA42015,CA,Challenger,DEMOCRATIC PARTY,House,"[1982, 1984, 1986, 1988, 1990, 1992]",[1982],1982-03-08,2002-03-30T00:00:00
144,"AHMAD, IMAD ALDEAN",S8MD00088,MD,Challenger,LIBERTARIAN PARTY,Senate,"[1988, 2012, 2014]","[1988, 2012]",2012-07-09,2013-04-26T09:04:30
145,"AHMAD, JALIL",S6IL00201,IL,Challenger,DEMOCRATIC PARTY,Senate,"[1996, 1998, 2000]",[1996],1995-10-04,2002-04-07T00:00:00
146,"AHMAD, NILOFER NINA",H8PA01237,PA,Open seat,DEMOCRATIC PARTY,House,[2018],[2018],2017-12-01,2018-02-06T21:17:45
147,"AHMED, NAZEER",H2CA46016,CA,Challenger,DEMOCRATIC PARTY,House,[1992],[1992],1992-02-18,2002-03-30T00:00:00
148,"AHNER, CHUCK",H6KS03167,KS,Challenger,REPUBLICAN PARTY,House,"[2006, 2008, 2010, 2012]",[2006],2005-08-29,2009-04-29T22:11:29
149,"AHN, POGA",H8WA08114,WA,Open seat,DEMOCRATIC PARTY,House,[2018],[2018],2017-03-10,2018-01-09T21:09:43
150,"AHN, ROBERT LEE",H8CA34258,CA,Open seat,DEMOCRATIC PARTY,House,[2018],[2017],2017-02-07,2017-05-09T21:04:56
151,"AHUMADA, PATRICIA M",H0TX27012,TX,Challenger,REPUBLICAN PARTY,House,"[2000, 2002, 2004]","[2000, 2002]",2002-01-30,2002-10-15T00:00:00
152,"AIKEN, CLAYTON CLAY",H4NC02127,NC,Challenger,DEMOCRATIC PARTY,House,"[2014, 2016]",[2014],2014-01-31,2015-04-02T15:52:44
153,"AINGE, TANNER D",H8UT03196,UT,Open seat,REPUBLICAN PARTY,House,[2018],[2017],2017-05-30,2017-08-01T20:57:28
154,"AJJAN, GEORGE CHARLES",H4NJ08063,NJ,Challenger,REPUBLICAN PARTY,House,"[2004, 2006, 2008, 2010]",[2004],2004-01-28,2005-03-02T00:00:00
155,"AKAKA, DANIEL KAHIKINA",S0HI00084,HI,Challenger,DEMOCRATIC PARTY,Senate,"[1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014]","[1990, 1994, 2000, 2006, 2012]",2007-03-15,2013-04-26T09:04:30
156,"AKER, ALAN",S8SD00065,SD,Challenger,REPUBLICAN PARTY,Senate,"[1998, 2000, 2002, 2004]",[1998],1997-06-03,2002-04-12T00:00:00
157,"AKERS, PAUL",S0WA00308,WA,Challenger,REPUBLICAN PARTY,Senate,"[2010, 2012]",[2010],2010-02-05,2011-06-21T09:19:11
