,Race/Topic (Click to Sort),Poll,Results,Spread,Date,Year
64,Minnesota Senate - Newberger vs. Klobuchar,KSTP/SurveyUSA,"Klobuchar 53, Newberger 38",Klobuchar +15,2018-09-13,2018.0
65,Missouri Senate - Hawley vs. McCaskill,FOX News,"Hawley 45, McCaskill 45",Tie,2018-09-13,2018.0
66,Arizona Senate - McSally vs. Sinema,FOX News,"Sinema 47, McSally 44",Sinema +3,2018-09-13,2018.0
67,Florida Senate - Scott vs. Nelson,Rasmussen Reports,"Nelson 45, Scott 44",Nelson +1,2018-09-13,2018.0
68,Tennessee Senate - Blackburn vs. Bredesen,FOX News,"Blackburn 47, Bredesen 44",Blackburn +3,2018-09-13,2018.0
69,Indiana Senate - Braun vs. Donnelly vs. Brenton,FOX News,"Donnelly 43, Braun 45, Brenton 3",Braun +2,2018-09-13,2018.0
70,Arizona Senate - McSally vs. Sinema,ABC 15/OH Predictive Insights,"Sinema 46, McSally 49",McSally +3,2018-09-12,2018.0
71,Florida Senate - Scott vs. Nelson,SurveyUSA,"Nelson 44, Scott 46",Scott +2,2018-09-12,2018.0
72,Nevada Senate - Heller vs. Rosen,Suffolk*,"Rosen 42, Heller 41",Rosen +1,2018-09-11,2018.0
73,Michigan Senate - James vs. Stabenow,Detroit News/WDIV-TV,"Stabenow 56, James 33",Stabenow +23,2018-09-10,2018.0
74,Florida Senate - Scott vs. Nelson,USA Today/Suffolk,"Nelson 45, Scott 43",Nelson +2,2018-10-30,2018.0
75,Florida Senate - Scott vs. Nelson,UNF,"Nelson 47, Scott 46",Nelson +1,2018-10-30,2018.0
76,North Dakota Senate - Cramer vs. Heitkamp,Trafalgar Group (R),"Cramer 54, Heitkamp 45",Cramer +9,2018-10-30,2018.0
77,Montana Senate - Rosendale vs. Tester,Gravis,"Tester 48, Rosendale 45",Tester +3,2018-10-30,2018.0
78,Ohio Senate - Renacci vs. Brown,Emerson,"Brown 49, Renacci 43",Brown +6,2018-10-30,2018.0
79,Arizona Senate - McSally vs. Sinema,NBC News/Marist,"Sinema 50, McSally 44",Sinema +6,2018-10-30,2018.0
80,Texas Senate - Cruz vs. O'Rourke,CBS 11/Dixie Strategies,"Cruz 52, O'Rourke 42",Cruz +10,2018-10-30,2018.0
81,Connecticut Senate - Corey vs. Murphy,Quinnipiac,"Murphy 56, Corey 41",Murphy +15,2018-10-30,2018.0
82,New Jersey Senate - Hugin vs. Menendez,Emerson,"Menendez 47, Hugin 42",Menendez +5,2018-10-29,2018.0
83,Texas Senate - Cruz vs. O'Rourke,Quinnipiac,"Cruz 51, O'Rourke 46",Cruz +5,2018-10-29,2018.0
84,Michigan Senate - James vs. Stabenow,Emerson,"Stabenow 52, James 43",Stabenow +9,2018-10-29,2018.0
85,Michigan Senate - James vs. Stabenow,Detroit News/WDIV-TV*,"Stabenow 53, James 36",Stabenow +17,2018-10-29,2018.0
86,New Mexico Senate - Rich vs. Heinrich vs. Johnson,Emerson,"Heinrich 48, Rich 32, Johnson 16",Heinrich +16,2018-10-29,2018.0
87,Massachusetts Senate - Diehl vs. Warren,Boston Globe/Suffolk*,"Warren 56, Diehl 34",Warren +22,2018-10-29,2018.0
88,Rhode Island Senate - Flanders vs. Whitehouse,WPRI/Roger Williams,"Whitehouse 55, Flanders 36",Whitehouse +19,2018-10-29,2018.0
89,Indiana Senate - Braun vs. Donnelly vs. Brenton,CBS News/YouGov,"Braun 46, Donnelly 43, Brenton 3",Braun +3,2018-10-28,2018.0
90,Arizona Senate - McSally vs. Sinema,CBS News/YouGov,"Sinema 47, McSally 44",Sinema +3,2018-10-28,2018.0
91,Florida Senate - Scott vs. Nelson,CBS News/YouGov,"Nelson 46, Scott 46",Tie,2018-10-28,2018.0
92,Florida Senate - Scott vs. Nelson,NY Times/Siena,"Nelson 48, Scott 44",Nelson +4,2018-10-28,2018.0
93,Michigan Senate - James vs. Stabenow,Mitchell Research,"Stabenow 52, James 46",Stabenow +6,2018-10-27,2018.0
94,Missouri Senate - Hawley vs. McCaskill,Missouri Scout*,"Hawley 49, McCaskill 45",Hawley +4,2018-10-27,2018.0
95,Texas Senate - Cruz vs. O'Rourke,UT/Texas Tribune*,"Cruz 51, O'Rourke 45",Cruz +6,2018-10-26,2018.0
96,Florida Senate - Scott vs. Nelson,WCTV-TV,"Nelson 46, Scott 45",Nelson +1,2018-10-25,2018.0
97,Michigan Senate - James vs. Stabenow,EPIC-MRA,"Stabenow 49, James 42",Stabenow +7,2018-10-25,2018.0
98,California Senate - Feinstein vs. de Leon,PPIC,"Feinstein 43, Leon 27",Feinstein +16,2018-10-25,2018.0
99,Florida Senate - Scott vs. Nelson,Gravis,"Nelson 49, Scott 45",Nelson +4,2018-10-24,2018.0
100,Michigan Senate - James vs. Stabenow,MRG,"Stabenow 53, James 37",Stabenow +16,2018-10-24,2018.0
101,New Jersey Senate - Hugin vs. Menendez,Rutgers-Eagleton,"Menendez 51, Hugin 46",Menendez +5,2018-10-24,2018.0
102,Florida Senate - Scott vs. Nelson,Florida Atlantic University,"Nelson 41, Scott 42",Scott +1,2018-10-23,2018.0
103,Indiana Senate - Braun vs. Donnelly vs. Brenton,Indy Politics/Mason Strategies (R),"Braun 47, Donnelly 43, Brenton 3",Braun +4,2018-10-23,2018.0
104,Montana Senate - Rosendale vs. Tester,MTN-MSU*,"Tester 46, Rosendale 43",Tester +3,2018-10-23,2018.0
105,Montana Senate - Rosendale vs. Tester,MSU-Billings*,"Tester 47, Rosendale 38",Tester +9,2018-10-23,2018.0
106,Mississippi Senate - Wicker vs. Baria,NBC News/Marist,"Wicker 60, Baria 32",Wicker +28,2018-10-23,2018.0
107,Mississippi Senate Special Election - Open Primary,NBC News/Marist,"Hyde-Smith 38, Espy 29, McDaniel 15",Hyde-Smith +9,2018-10-23,2018.0
108,Mississippi Senate Run-Off Election - Hyde-Smith vs. Espy,NBC News/Marist,"Hyde-Smith 50, Espy 36",Hyde-Smith +14,2018-10-23,2018.0
109,Indiana Senate - Braun vs. Donnelly vs. Brenton,SurveyUSA,"Braun 40, Donnelly 41, Brenton 8",Donnelly +1,2018-10-22,2018.0
110,Florida Senate - Scott vs. Nelson,Quinnipiac,"Nelson 52, Scott 46",Nelson +6,2018-10-22,2018.0
111,Florida Senate - Scott vs. Nelson,St. Pete Polls,"Nelson 48, Scott 49",Scott +1,2018-10-22,2018.0
112,Florida Senate - Scott vs. Nelson,Bay News 9/SurveyUSA,"Nelson 49, Scott 41",Nelson +8,2018-10-22,2018.0
113,West Virginia Senate - Morrisey vs. Manchin,WSAZ-TV*,"Manchin 52, Morrisey 36",Manchin +16,2018-10-22,2018.0
114,North Dakota Senate - Cramer vs. Heitkamp,NBC Valley News,"Cramer 56, Heitkamp 40",Cramer +16,2018-10-22,2018.0
115,Minnesota Senate Special Election - Housley vs. Smith,Star Tribune/Mason-Dixon*,"Smith 47, Housley 41",Smith +6,2018-10-22,2018.0
116,Minnesota Senate - Newberger vs. Klobuchar,Star Tribune/Mason-Dixon*,"Klobuchar 56, Newberger 33",Klobuchar +23,2018-10-22,2018.0
117,California Senate - Feinstein vs. de Leon,Emerson*,"Feinstein 41, Leon 23",Feinstein +18,2018-10-22,2018.0
118,Vermont Senate - Zupan vs. Sanders,Vermont Public Radio*,"Sanders 60, Zupan 19",Sanders +41,2018-10-22,2018.0
119,Florida Senate - Scott vs. Nelson,CNN,"Nelson 50, Scott 45",Nelson +5,2018-10-21,2018.0
120,Missouri Senate - Hawley vs. McCaskill,Missouri Scout*,"Hawley 47, McCaskill 46",Hawley +1,2018-10-21,2018.0
121,Arizona Senate - McSally vs. Sinema,NY Times/Siena,"Sinema 46, McSally 48",McSally +2,2018-10-20,2018.0
122,Maine Senate - Brakey vs. King,Pan Atlantic*,"King 57, Brakey 30",King +27,2018-10-19,2018.0
123,Tennessee Senate - Blackburn vs. Bredesen,Vanderbilt University,"Blackburn 43, Bredesen 44",Bredesen +1,2018-10-18,2018.0
124,New Jersey Senate - Hugin vs. Menendez,Monmouth,"Menendez 49, Hugin 40",Menendez +9,2018-10-18,2018.0
125,California Senate - Feinstein vs. de Leon,LA Times/USC,"Feinstein 44, Leon 31",Feinstein +13,2018-10-18,2018.0
126,New York Senate - Farley vs. Gillibrand,Quinnipiac,"Gillibrand 58, Farley 33",Gillibrand +25,2018-10-18,2018.0
127,Florida Senate - Scott vs. Nelson,St. Pete Polls,"Nelson 47, Scott 49",Scott +2,2018-10-17,2018.0
128,Indiana Senate - Braun vs. Donnelly vs. Brenton,Gravis,"Braun 40, Donnelly 44, Brenton 7",Donnelly +4,2018-10-17,2018.0
129,New Jersey Senate - Hugin vs. Menendez,Quinnipiac,"Menendez 51, Hugin 44",Menendez +7,2018-10-17,2018.0
130,Texas Senate - Cruz vs. O'Rourke,CNN,"Cruz 52, O'Rourke 45",Cruz +7,2018-10-16,2018.0
131,California Senate - Feinstein vs. de Leon,KABC/SurveyUSA,"Feinstein 40, Leon 26",Feinstein +14,2018-10-16,2018.0
132,Washington Senate - Hutchison vs. Cantwell,Elway Poll,"Cantwell 53, Hutchison 39",Cantwell +14,2018-10-16,2018.0
133,Nevada Senate - Heller vs. Rosen,Emerson*,"Heller 48, Rosen 41",Heller +7,2018-10-15,2018.0
134,Maryland Senate - Campbell vs. Cardin vs. Simon,Gonzales Research,"Cardin 49, Campbell 22, Simon 18",Cardin +27,2018-10-15,2018.0
135,Utah Senate - Romney vs. Wilson,Salt Lake Tribune,"Romney 59, Wilson 23",Romney +36,2018-10-15,2018.0
136,Tennessee Senate - Blackburn vs. Bredesen,NY Times/Siena,"Blackburn 54, Bredesen 40",Blackburn +14,2018-10-12,2018.0
137,Texas Senate - Cruz vs. O'Rourke,NY Times/Siena,"Cruz 51, O'Rourke 43",Cruz +8,2018-10-12,2018.0
138,Nevada Senate - Heller vs. Rosen,NY Times/Siena,"Heller 47, Rosen 45",Heller +2,2018-10-11,2018.0
139,Wisconsin Senate - Vukmir vs. Baldwin,NBC News/Marist,"Baldwin 54, Vukmir 40",Baldwin +14,2018-10-11,2018.0
140,Michigan Senate - James vs. Stabenow,Mitchell Research,"Stabenow 51, James 42",Stabenow +9,2018-10-11,2018.0
141,Texas Senate - Cruz vs. O'Rourke,Quinnipiac,"Cruz 54, O'Rourke 45",Cruz +9,2018-10-11,2018.0
142,Massachusetts Senate - Diehl vs. Warren,UMass Lowell*,"Warren 56, Diehl 31",Warren +25,2018-10-11,2018.0
143,Wisconsin Senate - Vukmir vs. Baldwin,Marquette,"Baldwin 53, Vukmir 43",Baldwin +10,2018-10-10,2018.0
144,Minnesota Senate Special Election - Housley vs. Smith,NBC News/Marist,"Smith 54, Housley 38",Smith +16,2018-10-10,2018.0
145,Minnesota Senate - Newberger vs. Klobuchar,NBC News/Marist,"Klobuchar 63, Newberger 33",Klobuchar +30,2018-10-10,2018.0
146,Nevada Senate - Heller vs. Rosen,NBC News/Marist,"Heller 46, Rosen 44",Heller +2,2018-10-09,2018.0
147,Florida Senate - Scott vs. Nelson,SurveyUSA,"Scott 46, Nelson 44",Scott +2,2018-09-12,2018.0
148,Arizona Senate - McSally vs. Sinema,Gravis,"Sinema 48, McSally 49",McSally +1,2018-09-09,2018.0
149,Tennessee Senate - Blackburn vs. Bredesen,NBC News/Marist,"Bredesen 48, Blackburn 46",Bredesen +2,2018-09-06,2018.0
150,Indiana Senate - Braun vs. Donnelly,NBC News/Marist,"Donnelly 49, Braun 43",Donnelly +6,2018-09-05,2018.0
151,Florida Senate - Scott vs. Nelson,Quinnipiac,"Scott 49, Nelson 49",Tie,2018-09-05,2018.0
152,Utah Senate - Romney vs. Wilson,UtahPolicy/Dan Jones*,"Romney 55, Wilson 29",Romney +26,2018-09-05,2018.0
153,Missouri Senate - Hawley vs. McCaskill,NBC News/Marist,"Hawley 47, McCaskill 47",Tie,2018-09-04,2018.0
154,Florida Senate - Scott vs. Nelson,Gravis,"Scott 47, Nelson 47",Tie,2018-09-04,2018.0
155,West Virginia Senate - Morrisey vs. Manchin,MetroNews,"Manchin 46, Morrisey 38",Manchin +8,2018-08-31,2018.0
156,Pennsylvania Senate - Barletta vs. Casey,Franklin & Marshall*,"Casey 47, Barletta 34",Casey +13,2018-08-30,2018.0
157,Connecticut Senate - Corey vs. Murphy,Gravis,"Murphy 54, Corey 37",Murphy +17,2018-08-29,2018.0
158,Wisconsin Senate - Vukmir vs. Baldwin,Suffolk,"Baldwin 50, Vukmir 42",Baldwin +8,2018-08-28,2018.0
159,Texas Senate - Cruz vs. O'Rourke,Emerson,"Cruz 39, O'Rourke 38",Cruz +1,2018-08-27,2018.0
160,Pennsylvania Senate - Barletta vs. Casey,NBC News/Marist,"Casey 53, Barletta 38",Casey +15,2018-08-23,2018.0
161,Virginia Senate - Stewart vs. Kaine,Roanoke College*,"Kaine 51, Stewart 34",Kaine +17,2018-08-23,2018.0
162,Connecticut Senate - Corey vs. Murphy,Quinnipiac,"Murphy 59, Corey 31",Murphy +28,2018-08-23,2018.0
163,Wisconsin Senate - Vukmir vs. Baldwin,Marquette,"Baldwin 49, Vukmir 47",Baldwin +2,2018-08-22,2018.0
164,Florida Senate - Scott vs. Nelson,Florida Atlantic University,"Scott 45, Nelson 39",Scott +6,2018-08-22,2018.0
165,New Jersey Senate - Hugin vs. Menendez,Quinnipiac,"Menendez 43, Hugin 37",Menendez +6,2018-08-22,2018.0
166,Minnesota Senate Special Election - Housley vs. Smith,Suffolk*,"Smith 44, Housley 37",Smith +7,2018-08-22,2018.0
167,Minnesota Senate - Newberger vs. Klobuchar,Suffolk*,"Klobuchar 54, Newberger 34",Klobuchar +20,2018-08-22,2018.0
168,Texas Senate - Cruz vs. O'Rourke,NBC News/Marist,"Cruz 49, O'Rourke 45",Cruz +4,2018-08-22,2018.0
169,Michigan Senate - James vs. Stabenow,Gravis,"Stabenow 51, James 35",Stabenow +16,2018-08-21,2018.0
170,New Mexico Senate - Rich vs. Heinrich vs. Johnson,Emerson,"Heinrich 39, Johnson 21, Rich 11",Heinrich +18,2018-08-20,2018.0
171,Arizona Senate - Republican Primary,ABC 15/OH Predictive Insights,"McSally 47, Ward 27, Arpaio 13",McSally +20,2018-08-16,2018.0
172,Indiana Senate - Braun vs. Donnelly,Trafalgar Group (R),"Donnelly 51, Braun 39",Donnelly +12,2018-08-15,2018.0
173,Tennessee Senate - Blackburn vs. Bredesen,Gravis,"Bredesen 44, Blackburn 48",Blackburn +4,2018-08-14,2018.0
174,Minnesota Senate Special Election - Housley vs. Smith,Emerson,"Smith 32, Housley 28",Smith +4,2018-08-13,2018.0
175,Minnesota Senate - Newberger vs. Klobuchar,Emerson,"Klobuchar 50, Newberger 26",Klobuchar +24,2018-08-13,2018.0
176,Missouri Senate - Hawley vs. McCaskill,Missouri Scout*,"Hawley 47, McCaskill 47",Tie,2018-08-13,2018.0
177,Virginia Senate - Stewart vs. Kaine,VCU*,"Kaine 49, Stewart 26",Kaine +23,2018-08-09,2018.0
178,Maine Senate - Brakey vs. King,Suffolk*,"King 52, Brakey 25",King +27,2018-08-08,2018.0
179,Arizona Senate - Republican Primary,ABC 15/OH Predictive Insights,"McSally 35, Ward 27, Arpaio 15",McSally +8,2018-08-01,2018.0
180,Arizona Senate - McSally vs. Sinema,ABC 15/OH Predictive Insights,"Sinema 48, McSally 44",Sinema +4,2018-08-01,2018.0
181,Arizona Senate - Ward vs. Sinema,ABC 15/OH Predictive Insights,"Sinema 51, Ward 41",Sinema +10,2018-08-01,2018.0
182,Arizona Senate - Arpaio vs. Sinema,ABC 15/OH Predictive Insights,"Sinema 54, Arpaio 36",Sinema +18,2018-08-01,2018.0
183,Texas Senate - Cruz vs. O'Rourke,Quinnipiac,"Cruz 49, O'Rourke 43",Cruz +6,2018-08-01,2018.0
184,Michigan Senate - Republican Primary,Mitchell Research,"James 44, Pensler 30",James +14,2018-08-01,2018.0
185,Florida Senate - Scott vs. Nelson,Mason-Dixon,"Scott 47, Nelson 44",Scott +3,2018-07-31,2018.0
186,Nevada Senate - Heller vs. Rosen,Suffolk*,"Rosen 40, Heller 41",Heller +1,2018-07-31,2018.0
187,Delaware Senate - Republican Primary,Gravis,"Arlett 19, Tuono 15, de la Fuente 7",Arlett +4,2018-07-31,2018.0
188,Wisconsin Senate - Republican Primary,Emerson,"Nicholson 35, Vukmir 35",Tie,2018-07-30,2018.0
189,Wisconsin Senate - Nicholson vs. Baldwin,Emerson,"Baldwin 49, Nicholson 40",Baldwin +9,2018-07-30,2018.0
190,Wisconsin Senate - Vukmir vs. Baldwin,Emerson,"Baldwin 50, Vukmir 36",Baldwin +14,2018-07-30,2018.0
191,Texas Senate - Cruz vs. O'Rourke,Texas Lyceum*,"Cruz 41, O'Rourke 39",Cruz +2,2018-07-29,2018.0
192,Florida Senate - Scott vs. Nelson,Florida Atlantic University,"Scott 44, Nelson 40",Scott +4,2018-07-26,2018.0
193,Wisconsin Senate - Republican Primary,NBC News/Marist,"Nicholson 38, Vukmir 28",Nicholson +10,2018-07-26,2018.0
194,Wisconsin Senate - Nicholson vs. Baldwin,NBC News/Marist,"Baldwin 54, Nicholson 39",Baldwin +15,2018-07-26,2018.0
195,Wisconsin Senate - Vukmir vs. Baldwin,NBC News/Marist,"Baldwin 55, Vukmir 38",Baldwin +17,2018-07-26,2018.0
196,Michigan Senate - Republican Primary,NBC News/Marist,"James 30, Pensler 23",James +7,2018-07-26,2018.0
197,Michigan Senate - James vs. Stabenow,NBC News/Marist,"Stabenow 55, James 37",Stabenow +18,2018-07-26,2018.0
198,Michigan Senate - Pensler vs. Stabenow,NBC News/Marist,"Stabenow 52, Pensler 37",Stabenow +15,2018-07-26,2018.0
199,Minnesota Senate Special Election - Housley vs. Smith,NBC News/Marist,"Smith 49, Housley 35",Smith +14,2018-07-26,2018.0
200,California Senate - Feinstein vs. de Leon,PPIC,"Feinstein 46, Leon 24",Feinstein +22,2018-07-26,2018.0
201,Michigan Senate - Republican Primary,Emerson,"James 28, Pensler 28",Tie,2018-07-23,2018.0
202,Michigan Senate - Pensler vs. Stabenow,Emerson,"Stabenow 48, Pensler 32",Stabenow +16,2018-07-23,2018.0
203,Michigan Senate - James vs. Stabenow,Emerson,"Stabenow 47, James 29",Stabenow +18,2018-07-23,2018.0
204,Wisconsin Senate - Republican Primary,Marquette,"Nicholson 32, Vukmir 34",Vukmir +2,2018-07-19,2018.0
205,West Virginia Senate - Morrisey vs. Manchin,Trafalgar Group (R)*,"Manchin 50, Morrisey 40",Manchin +10,2018-07-18,2018.0
206,New York Senate - Farley vs. Gillibrand,Quinnipiac,"Gillibrand 57, Farley 30",Gillibrand +27,2018-07-18,2018.0
207,Florida Senate - Scott vs. Nelson,Gravis,"Scott 43, Nelson 47",Nelson +4,2018-07-16,2018.0
208,Tennessee Senate - Blackburn vs. Bredesen,Emerson,"Bredesen 43, Blackburn 37",Bredesen +6,2018-07-16,2018.0
209,New Jersey Senate - Hugin vs. Menendez,Gravis,"Menendez 43, Hugin 41",Menendez +2,2018-07-16,2018.0
210,Montana Senate - Rosendale vs. Tester,Remington Research (R),"Tester 49, Rosendale 46",Tester +3,2018-07-12,2018.0
211,Missouri Senate - Hawley vs. McCaskill,Remington Research (R),"McCaskill 46, Hawley 48",Hawley +2,2018-07-11,2018.0
212,Arizona Senate - Republican Primary,Gravis,"McSally 36, Ward 27, Arpaio 24",McSally +9,2018-07-09,2018.0
