,Race/Topic (Click to Sort),Poll,Results,Spread,Date,Year,score
59,Generic Congressional Vote,Rasmussen Reports,"Republicans 46, Democrats 39",-7,2010-08-09,2010,7.0
60,Generic Congressional Vote,Gallup,"Republicans 49, Democrats 43",-6,2010-08-09,2010,9.0
61,Generic Congressional Vote,Pew Research,"Republicans 44, Democrats 45",1,2010-08-11,2010,8.0
62,Generic Congressional Vote,FOX News,"Republicans 44, Democrats 37",-7,2010-08-12,2010,12.0
63,Generic Congressional Vote,CNN/Opinion Research,"Republicans 48, Democrats 45",-3,2010-08-12,2010,10.0
64,Generic Congressional Vote,PPP (D),"Republicans 45, Democrats 42",-3,2010-08-15,2010,9.0
65,Generic Congressional Vote,Gallup,"Republicans 50, Democrats 43",-7,2010-08-16,2010,9.0
66,Generic Congressional Vote,Rasmussen Reports,"Republicans 48, Democrats 36",-12,2010-08-16,2010,7.0
67,Generic Congressional Vote,Associated Press/GfK,"Republicans 49, Democrats 45",-4,2010-08-18,2010,9.0
68,Generic Congressional Vote,Time,"Republicans 43, Democrats 37",-6,2010-08-19,2010,11.0
69,Generic Congressional Vote,Gallup,"Republicans 47, Democrats 44",-3,2010-08-23,2010,9.0
70,Generic Congressional Vote,Rasmussen Reports,"Republicans 47, Democrats 38",-9,2010-08-23,2010,7.0
71,Generic Congressional Vote,Reuters/Ipsos,"Republicans 46, Democrats 45",-1,2010-08-25,2010,10.0
72,Generic Congressional Vote,Newsweek,"Republicans 45, Democrats 45",0,2010-08-27,2010,0.0
73,Generic Congressional Vote,Rasmussen Reports,"Republicans 45, Democrats 39",-6,2010-08-30,2010,7.0
74,Generic Congressional Vote,Gallup,"Republicans 51, Democrats 41",-10,2010-08-30,2010,9.0
75,Generic Congressional Vote,USA Today/Gallup,"Republicans 49, Democrats 43",-6,2010-09-03,2010,9.0
76,Generic Congressional Vote,FOX News,"Republicans 46, Democrats 37",-9,2010-09-03,2010,12.0
77,Generic Congressional Vote,Rasmussen Reports,"Republicans 48, Democrats 36",-12,2010-09-06,2010,7.0
78,Generic Congressional Vote,CNN/Opinion Research,"Republicans 52, Democrats 45",-7,2010-09-06,2010,10.0
79,Generic Congressional Vote,Gallup,"Republicans 46, Democrats 46",0,2010-09-07,2010,9.0
80,Generic Congressional Vote,ABC News/Wash Post,"Republicans 53, Democrats 40",-13,2010-09-07,2010,13.0
81,Generic Congressional Vote,National Journal/FD,"Republicans 36, Democrats 38",2,2010-09-07,2010,12.0
82,Generic Congressional Vote,Democracy Corps (D),"Republicans 49, Democrats 42",-7,2010-09-08,2010,8.0
83,Generic Congressional Vote,Quinnipiac,"Republicans 42, Democrats 37",-5,2010-09-09,2010,11.0
84,Generic Congressional Vote,Gallup,"Republicans 48, Democrats 43",-5,2010-09-13,2010,9.0
85,Generic Congressional Vote,Rasmussen Reports,"Republicans 47, Democrats 38",-9,2010-09-13,2010,7.0
86,Generic Congressional Vote,PPP (D),"Republicans 44, Democrats 45",1,2010-09-15,2010,9.0
87,Generic Congressional Vote,CBS News/NY Times,"Republicans 40, Democrats 38",-2,2010-09-15,2010,11.0
88,Generic Congressional Vote,Democracy Corps (D),"Republicans 50, Democrats 40",-10,2010-09-15,2010,8.0
89,Generic Congressional Vote,Associated Press/GfK,"Republicans 53, Democrats 43",-10,2010-09-16,2010,9.0
90,Generic Congressional Vote,Politico/GWU/Battleground,"Republicans 43, Democrats 43",0,2010-09-16,2010,9.0
91,Generic Congressional Vote,FOX News,"Republicans 46, Democrats 40",-6,2010-09-18,2010,12.0
92,Generic Congressional Vote,Rasmussen Reports,"Republicans 48, Democrats 38",-10,2010-09-20,2010,7.0
93,Generic Congressional Vote,Gallup,"Republicans 45, Democrats 46",1,2010-09-20,2010,9.0
94,Generic Congressional Vote,Reuters/Ipsos,"Republicans 45, Democrats 46",1,2010-09-21,2010,10.0
95,Generic Congressional Vote,McClatchy/Marist,"Republicans 47, Democrats 45",-2,2010-09-22,2010,12.0
96,Generic Congressional Vote,Pew Research,"Republicans 50, Democrats 43",-7,2010-09-23,2010,8.0
97,Generic Congressional Vote,POS (R),"Republicans 44, Democrats 39",-5,2010-09-23,2010,13.0
98,Generic Congressional Vote,CNN/Opinion Research,"Republicans 53, Democrats 44",-9,2010-09-24,2010,10.0
99,Generic Congressional Vote,Politico/GWU/Battleground,"Republicans 47, Democrats 42",-5,2010-09-27,2010,9.0
100,Generic Congressional Vote,Gallup,"Republicans 46, Democrats 46",0,2010-09-27,2010,9.0
101,Generic Congressional Vote,Rasmussen Reports,"Republicans 46, Democrats 40",-6,2010-09-27,2010,7.0
102,Generic Congressional Vote,FOX News,"Republicans 44, Democrats 38",-6,2010-09-30,2010,12.0
103,Generic Congressional Vote,Newsweek,"Republicans 43, Democrats 48",5,2010-10-01,2010,0.0
104,Generic Congressional Vote,Gallup (LV Higher Turnout)*,"Republicans 53, Democrats 40",-13,2010-10-04,2010,0.0
105,Generic Congressional Vote,Gallup (LV Lower Turnout)*,"Republicans 56, Democrats 38",-18,2010-10-04,2010,0.0
106,Generic Congressional Vote,Rasmussen Reports,"Republicans 45, Democrats 42",-3,2010-10-04,2010,7.0
107,Generic Congressional Vote,ABC News/Wash Post,"Republicans 49, Democrats 43",-6,2010-10-05,2010,13.0
108,Generic Congressional Vote,Democracy Corps (D),"Republicans 49, Democrats 43",-6,2010-10-06,2010,8.0
109,Generic Congressional Vote,CBS News,"Republicans 45, Democrats 37",-8,2010-10-07,2010,11.0
110,Generic Congressional Vote,CNN/Opinion Research,"Republicans 52, Democrats 45",-7,2010-10-08,2010,10.0
111,Generic Congressional Vote,Gallup (LV Lower Turnout)*,"Republicans 56, Democrats 39",-17,2010-10-11,2010,0.0
112,Generic Congressional Vote,Gallup (LV Higher Turnout)*,"Republicans 53, Democrats 41",-12,2010-10-11,2010,0.0
113,Generic Congressional Vote,Rasmussen Reports,"Republicans 47, Democrats 39",-8,2010-10-11,2010,7.0
114,Generic Congressional Vote,Bloomberg,"Republicans 40, Democrats 42",2,2010-10-12,2010,0.0
115,Generic Congressional Vote,Reuters/Ipsos,"Republicans 48, Democrats 44",-4,2010-10-13,2010,10.0
116,Generic Congressional Vote,FOX News,"Republicans 48, Democrats 39",-9,2010-10-14,2010,12.0
117,Generic Congressional Vote,Gallup (LV Lower Turnout)*,"Republicans 56, Democrats 39",-17,2010-10-18,2010,0.0
118,Generic Congressional Vote,Gallup (LV Higher Turnout)*,"Republicans 53, Democrats 42",-11,2010-10-18,2010,0.0
119,Generic Congressional Vote,Rasmussen Reports,"Republicans 48, Democrats 39",-9,2010-10-18,2010,7.0
120,Generic Congressional Vote,Associated Press/GfK,"Republicans 50, Democrats 43",-7,2010-10-20,2010,9.0
121,Generic Congressional Vote,Pew Research,"Republicans 50, Democrats 40",-10,2010-10-21,2010,8.0
122,Generic Congressional Vote,Newsweek,"Republicans 45, Democrats 48",3,2010-10-22,2010,0.0
123,Generic Congressional Vote,Gallup (LV Lower Turnout)*,"Republicans 55, Democrats 41",-14,2010-10-25,2010,0.0
124,Generic Congressional Vote,Rasmussen Reports,"Republicans 51, Democrats 39",-12,2010-10-25,2010,7.0
125,Generic Congressional Vote,Politico/GWU/Battleground,"Republicans 47, Democrats 42",-5,2010-10-25,2010,9.0
126,Generic Congressional Vote,Gallup (LV Higher Turnout)*,"Republicans 52, Democrats 43",-9,2010-10-25,2010,0.0
127,Generic Congressional Vote,CBS News/NY Times,"Republicans 49, Democrats 43",-6,2010-10-27,2010,11.0
128,Generic Congressional Vote,McClatchy/Marist,"Republicans 49, Democrats 43",-6,2010-10-27,2010,12.0
129,Generic Congressional Vote,Bloomberg,"Republicans 47, Democrats 44",-3,2010-10-28,2010,0.0
130,Generic Congressional Vote,FOX News,"Republicans 50, Democrats 37",-13,2010-10-29,2010,12.0
131,Generic Congressional Vote,ABC News/Wash Post,"Republicans 49, Democrats 45",-4,2010-10-31,2010,13.0
132,Generic Congressional Vote,Pew Research,"Republicans 48, Democrats 42",-6,2010-10-31,2010,8.0
133,Generic Congressional Vote,CNN/Opinion Research,"Republicans 52, Democrats 42",-10,2010-10-31,2010,10.0
134,Generic Congressional Vote,Reuters/Ipsos,"Republicans 50, Democrats 44",-6,2010-11-01,2010,10.0
135,Generic Congressional Vote,Rasmussen Reports,"Republicans 51, Democrats 39",-12,2010-11-01,2010,7.0
136,Generic Congressional Vote,Gallup,"Republicans 55, Democrats 40",-15,2010-11-01,2010,9.0
137,2018 Generic Congressional Vote,CNN,"Democrats 49, Republicans 44",5,2011-01-21,2011,10.0
138,2018 Generic Congressional Vote,ABC News/Wash Post,"Democrats 51, Republicans 39",12,2011-01-22,2011,13.0
139,2018 Generic Congressional Vote,FOX News,"Democrats 44, Republicans 38",6,2011-01-24,2011,12.0
140,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 38, Republicans 30",8,2011-01-24,2011,10.0
141,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 41, Republicans 37",4,2011-01-24,2011,9.0
142,2018 Generic Congressional Vote,Quinnipiac,"Democrats 51, Republicans 38",13,2011-01-24,2011,11.0
143,2018 Generic Congressional Vote,Rasmussen Reports,"Democrats 45, Republicans 37",8,2011-01-29,2011,7.0
144,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 42, Republicans 37",5,2011-01-31,2011,9.0
145,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 37, Republicans 31",6,2011-01-31,2011,10.0
146,2018 Generic Congressional Vote,Monmouth,"Democrats 47, Republicans 45",2,2011-01-31,2011,13.0
147,2018 Generic Congressional Vote,IBD/TIPP,"Democrats 46, Republicans 41",5,2011-02-06,2011,11.0
148,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 38, Republicans 31",7,2011-02-07,2011,10.0
149,2018 Generic Congressional Vote,Quinnipiac,"Democrats 49, Republicans 40",9,2011-02-07,2011,11.0
150,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 43, Republicans 37",6,2011-02-07,2011,9.0
151,2018 Generic Congressional Vote,Marist,"Democrats 49, Republicans 38",11,2011-02-09,2011,12.0
152,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 42, Republicans 38",4,2011-02-14,2011,9.0
153,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 39, Republicans 30",9,2011-02-14,2011,10.0
154,2018 Generic Congressional Vote,PPP (D),"Democrats 49, Republicans 41",8,2011-02-14,2011,9.0
155,2018 Generic Congressional Vote,Quinnipiac,"Democrats 53, Republicans 38",15,2011-02-20,2011,11.0
156,2018 Generic Congressional Vote,Harvard-Harris,"Democrats 41, Republicans 36",5,2011-02-21,2011,0.0
157,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 43, Republicans 35",8,2011-02-21,2011,9.0
158,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 38, Republicans 30",8,2011-02-21,2011,10.0
159,2018 Generic Congressional Vote,Marist,"Democrats 46, Republicans 39",7,2011-02-23,2011,12.0
160,2018 Generic Congressional Vote,CNN,"Democrats 54, Republicans 38",16,2011-02-26,2011,10.0
161,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 40, Republicans 38",2,2011-02-28,2011,9.0
162,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 37, Republicans 31",6,2011-02-28,2011,10.0
163,2018 Generic Congressional Vote,USA Today/Suffolk,"Democrats 47, Republicans 32",15,2011-03-01,2011,10.0
164,2018 Generic Congressional Vote,Monmouth,"Democrats 50, Republicans 41",9,2011-03-07,2011,13.0
165,2018 Generic Congressional Vote,Quinnipiac,"Democrats 48, Republicans 38",10,2011-03-07,2011,11.0
166,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 43, Republicans 37",6,2011-03-07,2011,9.0
167,2018 Generic Congressional Vote,Rasmussen Reports,"Democrats 46, Republicans 40",6,2011-03-08,2011,7.0
168,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 38, Republicans 31",7,2011-03-08,2011,10.0
169,Generic Congressional Vote,Rasmussen Reports,"Republicans 42, Democrats 40",-2,2011-05-23,2011,7.0
170,Generic Congressional Vote,Rasmussen Reports,"Republicans 43, Democrats 37",-6,2011-05-31,2011,7.0
171,Generic Congressional Vote,Democracy Corps (D),"Republicans 45, Democrats 46",1,2011-06-02,2011,8.0
172,Generic Congressional Vote,Rasmussen Reports,"Republicans 43, Democrats 37",-6,2011-06-07,2011,7.0
173,Generic Congressional Vote,Rasmussen Reports,"Republicans 43, Democrats 38",-5,2011-06-14,2011,7.0
174,Generic Congressional Vote,Rasmussen Reports,"Republicans 43, Democrats 37",-6,2011-06-20,2011,7.0
175,Generic Congressional Vote,Democracy Corps (D),"Republicans 47, Democrats 44",-3,2011-06-27,2011,8.0
176,Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 37",-7,2011-06-28,2011,7.0
177,Generic Congressional Vote,Rasmussen Reports,"Republicans 43, Democrats 40",-3,2011-07-05,2011,7.0
178,Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 38",-6,2011-07-11,2011,7.0
179,Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 38",-6,2011-07-18,2011,7.0
180,Generic Congressional Vote,Rasmussen Reports,"Democrats 38, Republicans 44",-6,2011-07-18,2011,7.0
181,Generic Congressional Vote,PPP (D),"Democrats 46, Republicans 44",2,2011-07-21,2011,9.0
182,Generic Congressional Vote,PPP (D),"Republicans 44, Democrats 46",2,2011-07-21,2011,9.0
183,Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 38",-6,2011-07-26,2011,7.0
184,Generic Congressional Vote,Rasmussen Reports,"Democrats 38, Republicans 44",-6,2011-07-26,2011,7.0
185,Generic Congressional Vote,Rasmussen Reports,"Republicans 43, Democrats 39",-4,2011-08-01,2011,7.0
186,Generic Congressional Vote,Rasmussen Reports,"Democrats 39, Republicans 43",-4,2011-08-01,2011,7.0
187,Generic Congressional Vote,Rasmussen Reports,"Democrats 39, Republicans 41",-2,2011-08-09,2011,7.0
188,Generic Congressional Vote,USA Today/Gallup,"Democrats 51, Republicans 44",7,2011-08-11,2011,9.0
189,Generic Congressional Vote,Democracy Corps (D),"Democrats 46, Republicans 47",-1,2011-08-12,2011,8.0
190,Generic Congressional Vote,Rasmussen Reports,"Democrats 37, Republicans 44",-7,2011-08-15,2011,7.0
191,Generic Congressional Vote,Rasmussen Reports,"Democrats 38, Republicans 44",-6,2011-08-23,2011,7.0
192,Generic Congressional Vote,Pew Research,"Democrats 48, Republicans 44",4,2011-08-25,2011,8.0
193,Generic Congressional Vote,Rasmussen Reports,"Democrats 36, Republicans 45",-9,2011-08-30,2011,7.0
194,Generic Congressional Vote,Quinnipiac,"Democrats 38, Republicans 38",0,2011-08-31,2011,11.0
195,Generic Congressional Vote,Politico/GWU/Battleground,"Democrats 41, Republicans 40",1,2011-09-06,2011,9.0
196,Generic Congressional Vote,Rasmussen Reports,"Democrats 37, Republicans 44",-7,2011-09-06,2011,7.0
197,Generic Congressional Vote,Rasmussen Reports,"Democrats 38, Republicans 43",-5,2011-09-13,2011,7.0
198,Generic Congressional Vote,Rasmussen Reports,"Democrats 39, Republicans 42",-3,2011-09-20,2011,7.0
199,Generic Congressional Vote,Rasmussen Reports,"Democrats 40, Republicans 42",-2,2011-09-27,2011,7.0
200,Generic Congressional Vote,Rasmussen Reports,"Democrats 38, Republicans 44",-6,2011-10-04,2011,7.0
201,Generic Congressional Vote,Quinnipiac,"Democrats 39, Republicans 39",0,2011-10-05,2011,11.0
202,Generic Congressional Vote,Rasmussen Reports,"Democrats 38, Republicans 43",-5,2011-10-11,2011,7.0
203,Generic Congressional Vote,Reuters/Ipsos,"Democrats 48, Republicans 40",8,2011-10-12,2011,10.0
204,Generic Congressional Vote,Rasmussen Reports,"Democrats 39, Republicans 42",-3,2011-10-18,2011,7.0
205,Generic Congressional Vote,Democracy Corps (D),"Democrats 46, Republicans 46",0,2011-10-20,2011,8.0
206,Generic Congressional Vote,Rasmussen Reports,"Democrats 36, Republicans 44",-8,2011-10-25,2011,7.0
207,Generic Congressional Vote,Rasmussen Reports,"Democrats 40, Republicans 43",-3,2011-11-01,2011,7.0
208,Generic Congressional Vote,Quinnipiac,"Democrats 42, Republicans 34",8,2011-11-02,2011,11.0
209,Generic Congressional Vote,Reuters/Ipsos,"Democrats 48, Republicans 43",5,2011-11-04,2011,10.0
210,Generic Congressional Vote,Rasmussen Reports,"Democrats 37, Republicans 44",-7,2011-11-08,2011,7.0
211,Generic Congressional Vote,Politico/GWU/Battleground,"Democrats 44, Republicans 43",1,2011-11-14,2011,9.0
212,Generic Congressional Vote,Rasmussen Reports,"Democrats 41, Republicans 41",0,2011-11-15,2011,7.0
213,Generic Congressional Vote,Rasmussen Reports,"Democrats 40, Republicans 41",-1,2011-11-22,2011,7.0
214,Generic Congressional Vote,Quinnipiac,"Democrats 40, Republicans 36",4,2011-11-23,2011,11.0
215,Generic Congressional Vote,Rasmussen Reports,"Democrats 38, Republicans 43",-5,2011-11-29,2011,7.0
216,Generic Congressional Vote,Rasmussen Reports,"Democrats 38, Republicans 43",-5,2011-12-06,2011,7.0
217,Generic Congressional Vote,Rasmussen Reports,"Democrats 39, Republicans 42",-3,2011-12-13,2011,7.0
218,Generic Congressional Vote,Reuters/Ipsos,"Democrats 48, Republicans 42",6,2011-12-14,2011,10.0
219,Generic Congressional Vote,Rasmussen Reports,"Democrats 40, Republicans 43",-3,2011-12-20,2011,7.0
220,Generic Congressional Vote,PPP (D),"Democrats 46, Republicans 44",2,2011-12-22,2011,9.0
221,Generic Congressional Vote,Rasmussen Reports,"Democrats 40, Republicans 43",-3,2011-12-27,2011,7.0
222,Generic Congressional Vote,Rasmussen Reports,"Democrats 38, Republicans 43",-5,2012-01-03,2012,7.0
223,Generic Congressional Vote,Rasmussen Reports,"Democrats 38, Republicans 44",-6,2012-01-10,2012,7.0
224,Generic Congressional Vote,Reuters/Ipsos,"Democrats 48, Republicans 44",4,2012-01-10,2012,10.0
225,Generic Congressional Vote,Democracy Corps (D),"Democrats 47, Republicans 44",3,2012-01-13,2012,8.0
226,Generic Congressional Vote,Rasmussen Reports,"Democrats 38, Republicans 44",-6,2012-01-17,2012,7.0
227,Generic Congressional Vote,Rasmussen Reports,"Democrats 39, Republicans 42",-3,2012-01-24,2012,7.0
228,Generic Congressional Vote,Rasmussen Reports,"Democrats 41, Republicans 40",1,2012-01-30,2012,7.0
229,Generic Congressional Vote,Rasmussen Reports,"Democrats 41, Republicans 43",-2,2012-02-06,2012,7.0
230,Generic Congressional Vote,Reuters/Ipsos,"Republicans 44, Democrats 46",2,2012-02-07,2012,10.0
231,Generic Congressional Vote,Reuters/Ipsos,"Democrats 46, Republicans 44",2,2012-02-07,2012,10.0
232,Generic Congressional Vote,Rasmussen Reports,"Republicans 43, Democrats 41",-2,2012-02-13,2012,7.0
233,Generic Congressional Vote,Democracy Corps (D),"Republicans 45, Democrats 47",2,2012-02-15,2012,8.0
234,Generic Congressional Vote,Rasmussen Reports,"Republicans 42, Democrats 41",-1,2012-02-20,2012,7.0
235,Generic Congressional Vote,Quinnipiac,"Republicans 40, Democrats 38",-2,2012-02-22,2012,11.0
236,Generic Congressional Vote,Rasmussen Reports,"Republicans 43, Democrats 39",-4,2012-02-27,2012,7.0
237,Generic Congressional Vote,Politico/GWU/Battleground,"Republicans 45, Democrats 46",1,2012-02-27,2012,9.0
238,Generic Congressional Vote,USA Today/Gallup,"Republicans 47, Democrats 47",0,2012-03-02,2012,9.0
239,Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 41",-3,2012-03-05,2012,7.0
240,Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 38",-6,2012-03-12,2012,7.0
241,Generic Congressional Vote,Reuters/Ipsos,"Republicans 43, Democrats 47",4,2012-03-14,2012,10.0
242,Generic Congressional Vote,Bloomberg,"Republicans 46, Democrats 44",-2,2012-03-14,2012,0.0
243,Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 40",-4,2012-03-19,2012,7.0
244,Generic Congressional Vote,Rasmussen Reports,"Republicans 43, Democrats 38",-5,2012-03-26,2012,7.0
245,Generic Congressional Vote,McClatchy/Marist,"Republicans 47, Democrats 43",-4,2012-03-27,2012,12.0
246,Generic Congressional Vote,Rasmussen Reports,"Republicans 45, Democrats 39",-6,2012-04-02,2012,7.0
247,Generic Congressional Vote,Rasmussen Reports,"Republicans 45, Democrats 40",-5,2012-04-09,2012,7.0
248,Generic Congressional Vote,Reuters/Ipsos,"Republicans 41, Democrats 42",1,2012-04-16,2012,10.0
249,Generic Congressional Vote,Rasmussen Reports,"Republicans 46, Democrats 36",-10,2012-04-16,2012,7.0
250,Generic Congressional Vote,Quinnipiac,"Republicans 39, Democrats 40",1,2012-04-19,2012,11.0
251,Generic Congressional Vote,Rasmussen Reports,"Republicans 43, Democrats 40",-3,2012-04-23,2012,7.0
252,Generic Congressional Vote,Rasmussen Reports,"Republicans 43, Democrats 40",-3,2012-04-30,2012,7.0
253,Generic Congressional Vote,Democracy Corps (D),"Republicans 45, Democrats 46",1,2012-05-03,2012,8.0
254,Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 41",-3,2012-05-07,2012,7.0
255,Generic Congressional Vote,Politico/GWU/Battleground,"Republicans 45, Democrats 43",-2,2012-05-07,2012,9.0
256,Generic Congressional Vote,Reuters/Ipsos,"Republicans 44, Democrats 46",2,2012-05-08,2012,10.0
257,Generic Congressional Vote,Rasmussen Reports,"Republicans 45, Democrats 38",-7,2012-05-14,2012,7.0
