,Race/Topic (Click to Sort),Poll,Results,Spread,Date,Unnamed: 0,Year
45,Minnesota 6th District - Bachmann vs. Clark,SurveyUSA,"Bachmann 49, Clark 40",Bachmann +9,2010-09-17,1554.0,2010.0
46,New York 20th District - Gibson vs. Murphy,Siena,"Murphy 54, Gibson 37",Murphy +17,2010-09-17,1555.0,2010.0
47,Pennsylvania 15th District - Dent vs. Callahan,Morning Call,"Dent 49, Callahan 38",Dent +11,2010-09-19,1563.0,2010.0
48,Maine 2nd District - Michaud v. Levesque,Critical Insights,"Michaud 48, Levesque 28",Michaud +20,2010-09-19,1564.0,2010.0
49,Maine 1st District - Scontras vs. Pingree,Critical Insights,"Pingree 53, Scontras 29",Pingree +24,2010-09-19,1565.0,2010.0
50,Washington 9th District - Muri vs. Smith,SurveyUSA,"Smith 49, Muri 46",Smith +3,2010-09-20,1582.0,2010.0
51,Michigan 15th District - Steele vs. Dingell,Detroit News,"Steele 30, Dingell 49",Dingell +19,2010-09-20,1588.0,2010.0
52,New York 29th District - Reed vs. Zeller,Siena,"Reed 44, Zeller 30",Reed +14,2010-09-21,1600.0,2010.0
53,Idaho 1st District - Labrador vs. Minnick,Mason-Dixon,"Minnick 46, Labrador 36",Minnick +10,2010-09-21,1611.0,2010.0
54,New York 24th District - Hanna vs. Arcuri,Siena,"Arcuri 48, Hanna 40",Arcuri +8,2010-09-21,1612.0,2010.0
55,Rhode Island 1st District - Loughlin vs. Cicilline,NBC 10/Quest Research,"Cicilline 49, Loughlin 26",Cicilline +23,2010-09-22,1630.0,2010.0
56,Pennsylvania 3rd District - Kelly vs. Dahlkemper,Franklin & Marshall,"Kelly 44, Dahlkemper 38",Kelly +6,2010-09-22,1631.0,2010.0
57,Pennsylvania 8th District - Fitzpatrick vs. Murphy,Franklin & Marshall,"Fitzpatrick 49, Murphy 35",Fitzpatrick +14,2010-09-23,1658.0,2010.0
58,Kentucky 3rd District - Lally vs. Yarmuth,CN|2/Braun Research,"Yarmuth 53, Lally 30",Yarmuth +23,2010-09-23,1659.0,2010.0
59,Michigan 7th District - Walberg vs. Schauer,Rossman Group (D),"Walberg 42, Schauer 38",Walberg +4,2010-09-23,1660.0,2010.0
60,Kentucky 6th District - Barr vs. Chandler,CN|2/Braun Research,"Chandler 51, Barr 37",Chandler +14,2010-09-25,1679.0,2010.0
61,Pennsylvania 11th District - Barletta vs. Kanjorski,Times Leader/Critical Insights,"Barletta 43, Kanjorski 32",Barletta +11,2010-09-26,1687.0,2010.0
62,Pennsylvania 10th District - Marino vs. Carney,Times Leader/Critical Insights,"Marino 40, Carney 36",Marino +4,2010-09-26,1688.0,2010.0
63,New Jersey 3rd District - Runyan vs. Adler,Stockton/Zogby,"Adler 38, Runyan 30",Adler +8,2010-09-27,1703.0,2010.0
64,Florida 22nd District - West vs. Klein,Harstad Strategic Res. (D),"Klein 48, West 43",Klein +5,2010-09-27,1704.0,2010.0
65,New Hampshire 2nd District - Bass vs. Kuster,American Res. Group,"Kuster 36, Bass 38",Bass +2,2010-09-27,1705.0,2010.0
66,New Hampshire 1st District - Guinta vs. Shea-Porter,American Res. Group,"Guinta 50, Shea-Porter 40",Guinta +10,2010-09-27,1711.0,2010.0
67,New Hampshire 2nd District - Bass vs. Kuster,American Res. Group,"Bass 38, Kuster 36",Bass +2,2010-09-27,1720.0,2010.0
68,New Mexico 1st District - Barela vs. Heinrich,Daily Kos/PPP (D),"Heinrich 50, Barela 43",Heinrich +7,2010-09-28,1743.0,2010.0
69,New Mexico 2nd District - Pearce vs. Teague,Daily Kos/PPP (D),"Pearce 48, Teague 47",Pearce +1,2010-09-28,1744.0,2010.0
70,New Mexico 3rd District - Lujan vs. Mullins,Daily Kos/PPP (D),"Lujan 49, Mullins 43",Lujan +6,2010-09-28,1745.0,2010.0
71,Florida 8th District - Webster vs. Grayson,Sunshine State News/VSS,"Webster 43, Grayson 36",Webster +7,2010-09-29,1761.0,2010.0
72,North Carolina 7th District - Pantano vs. McIntyre,SurveyUSA,"Pantano 46, McIntyre 45",Pantano +1,2010-09-29,1762.0,2010.0
73,New Jersey 3rd District - Runyan vs. Adler,Rutgers-Eagleton,"Adler 41, Runyan 39",Adler +2,2010-09-29,1763.0,2010.0
74,Maine 1st District - Scontras vs. Pingree,Critical Insights,"Pingree 54, Scontras 26",Pingree +28,2010-09-29,1767.0,2010.0
75,Virginia 5th District - Hurt vs. Perriello,SurveyUSA,"Hurt 58, Perriello 35",Hurt +23,2010-09-29,1782.0,2010.0
76,Maine 2nd District - Michaud v. Levesque,Critical Insights,"Michaud 44, Levesque 32",Michaud +12,2010-09-29,1784.0,2010.0
77,New Jersey 3rd District - Runyan vs. Adler,Monmouth/Gannett,"Adler 42, Runyan 39",Adler +3,2010-09-30,1788.0,2010.0
78,Virginia 9th District - Griffith vs. Boucher,SurveyUSA,"Boucher 53, Griffith 38",Boucher +15,2010-09-30,1801.0,2010.0
79,Ohio 1st District - Chabot vs. Driehaus,SurveyUSA,"Chabot 53, Driehaus 41",Chabot +12,2010-10-01,1808.0,2010.0
80,New Hampshire 2nd District - Bass vs. Kuster,WMUR/UNH,"Bass 43, Kuster 38",Bass +5,2010-10-01,1811.0,2010.0
81,Rhode Island 1st District - Loughlin vs. Cicilline,WPRI/Fleming,"Cicilline 48, Loughlin 29",Cicilline +19,2010-10-01,1812.0,2010.0
82,Washington 2nd District - Koster vs. Larsen,SurveyUSA,"Larsen 50, Koster 47",Larsen +3,2010-10-01,1816.0,2010.0
83,New Hampshire 1st District - Guinta vs. Shea-Porter,WMUR/UNH,"Guinta 49, Shea-Porter 39",Guinta +10,2010-10-01,1817.0,2010.0
84,New Hampshire 2nd District - Bass vs. Kuster,WMUR/UNH,"Kuster 38, Bass 43",Bass +5,2010-10-01,1818.0,2010.0
85,Washington 8th District - Reichert vs. DelBene,SurveyUSA,"Reichert 52, DelBene 45",Reichert +7,2010-10-02,1821.0,2010.0
86,New Mexico 2nd District - Pearce vs. Teague,Albuquerque Journal,"Pearce 45, Teague 44",Pearce +1,2010-10-04,1848.0,2010.0
87,New Mexico 1st District - Barela vs. Heinrich,Albuquerque Journal,"Heinrich 48, Barela 41",Heinrich +7,2010-10-04,1853.0,2010.0
88,Hawaii 1st District - Djou vs. Hanabusa,Daily Kos/PPP (D),"Djou 47, Hanabusa 48",Hanabusa +1,2010-10-05,1867.0,2010.0
89,Louisiana 2nd District - Cao vs. Richmond,Daily Kos/PPP (D),"Richmond 49, Cao 38",Richmond +11,2010-10-05,1882.0,2010.0
90,Hawaii 1st District - Djou vs. Hanabusa,Daily Kos/PPP (D),"Hanabusa 48, Djou 47",Hanabusa +1,2010-10-05,1884.0,2010.0
91,Rhode Island 1st District - Loughlin vs. Cicilline,Brown University,"Cicilline 39, Loughlin 21",Cicilline +18,2010-10-05,1891.0,2010.0
92,Arizona 1st District - Gosar vs. Kirkpatrick,"The Hill/Penn, Schoen & Berland (D)","Gosar 46, Kirkpatrick 39",Gosar +7,2010-10-06,1908.0,2010.0
93,Illinois 11th District - Kinzinger vs. Halvorson,"The Hill/Penn, Schoen & Berland (D)","Kinzinger 49, Halvorson 31",Kinzinger +18,2010-10-06,1910.0,2010.0
94,Maryland 1st District - Harris vs. Kratovil,"The Hill/Penn, Schoen & Berland (D)","Harris 43, Kratovil 40",Harris +3,2010-10-06,1927.0,2010.0
95,Ohio 15th District - Stivers vs. Kilroy,"The Hill/Penn, Schoen & Berland (D)","Stivers 47, Kilroy 38",Stivers +9,2010-10-06,1929.0,2010.0
96,Arizona 1st District - Gosar vs. Kirkpatrick,The Hill/ANGA,"Gosar 46, Kirkpatrick 39",Gosar +7,2010-10-06,1934.0,2010.0
97,Illinois 11th District - Kinzinger vs. Halvorson,The Hill/ANGA,"Kinzinger 49, Halvorson 31",Kinzinger +18,2010-10-06,1935.0,2010.0
98,Maryland 1st District - Harris vs. Kratovil,The Hill/ANGA,"Harris 43, Kratovil 40",Harris +3,2010-10-06,1936.0,2010.0
99,New Mexico 2nd District - Pearce vs. Teague,The Hill/ANGA,"Pearce 46, Teague 42",Pearce +4,2010-10-06,1937.0,2010.0
100,Ohio 15th District - Stivers vs. Kilroy,The Hill/ANGA,"Stivers 47, Kilroy 38",Stivers +9,2010-10-06,1938.0,2010.0
101,Virginia 5th District - Hurt vs. Perriello,The Hill/ANGA,"Hurt 45, Perriello 44",Hurt +1,2010-10-06,1939.0,2010.0
102,New Mexico 2nd District - Pearce vs. Teague,"The Hill/Penn, Schoen & Berland (D)","Pearce 46, Teague 42",Pearce +4,2010-10-06,1940.0,2010.0
103,Michigan 7th District - Walberg vs. Schauer,The Hill/ANGA,"Walberg 41, Schauer 41",Tie,2010-10-06,1941.0,2010.0
104,Nevada 3rd District - Heck vs. Titus,The Hill/ANGA,"Heck 47, Titus 44",Heck +3,2010-10-06,1942.0,2010.0
105,Ohio 16th District - Renacci vs. Boccieri,The Hill/ANGA,"Renacci 42, Boccieri 39",Renacci +3,2010-10-06,1943.0,2010.0
106,Colorado 4th District - Gardner vs. Markey,The Hill/ANGA,"Gardner 44, Markey 41",Gardner +3,2010-10-06,1944.0,2010.0
107,Virginia 2nd District - Rigell vs. Nye,The Hill/ANGA,"Rigell 42, Nye 36",Rigell +6,2010-10-06,1945.0,2010.0
108,Virginia 5th District - Hurt vs. Perriello,"The Hill/Penn, Schoen & Berland (D)","Hurt 45, Perriello 44",Hurt +1,2010-10-06,1946.0,2010.0
109,Colorado 4th District - Gardner vs. Markey,"The Hill/Penn, Schoen & Berland (D)","Gardner 44, Markey 41",Gardner +3,2010-10-06,1947.0,2010.0
110,Pennsylvania 3rd District - Kelly vs. Dahlkemper,The Hill/ANGA,"Kelly 49, Dahlkemper 36",Kelly +13,2010-10-06,1948.0,2010.0
111,Nevada 3rd District - Heck vs. Titus,"The Hill/Penn, Schoen & Berland (D)","Heck 47, Titus 44",Heck +3,2010-10-06,1949.0,2010.0
112,Ohio 16th District - Renacci vs. Boccieri,"The Hill/Penn, Schoen & Berland (D)","Renacci 42, Boccieri 39",Renacci +3,2010-10-06,1950.0,2010.0
113,Pennsylvania 3rd District - Kelly vs. Dahlkemper,"The Hill/Penn, Schoen & Berland (D)","Kelly 49, Dahlkemper 36",Kelly +13,2010-10-06,1951.0,2010.0
114,Michigan 7th District - Walberg vs. Schauer,"The Hill/Penn, Schoen & Berland (D)","Walberg 41, Schauer 41",Tie,2010-10-06,1952.0,2010.0
115,Indiana 2nd District - Walorski vs. Donnelly,WSBT/EPIC-MRA,"Donnelly 48, Walorski 39",Donnelly +9,2010-10-06,1953.0,2010.0
116,Connecticut 5th District - Caligiuri vs. Murphy,CT Capitol Report/MRG,"Caligiuri 50, Murphy 44",Caligiuri +6,2010-10-06,1954.0,2010.0
117,North Carolina 8th District - Johnson vs. Kissell,SurveyUSA,"Kissell 46, Johnson 45",Kissell +1,2010-10-06,1955.0,2010.0
118,New Jersey 6th District - Little vs. Pallone,Monmouth University,"Pallone 53, Little 41",Pallone +12,2010-10-06,1956.0,2010.0
119,Virginia 2nd District - Rigell vs. Nye,"The Hill/Penn, Schoen & Berland (D)","Rigell 42, Nye 36",Rigell +6,2010-10-06,1958.0,2010.0
120,Pennsylvania 7th District - Meehan vs. Lentz,Monmouth University,"Meehan 49, Lentz 45",Meehan +4,2010-10-07,1975.0,2010.0
121,Connecticut 4th District - Debicella vs. Himes,CT Capitol Report/MRG,"Himes 49, Debicella 47",Himes +2,2010-10-07,1977.0,2010.0
122,Connecticut 1st District - Brickley vs. Larson,CT Capitol Report/MRG,"Larson 52, Brickley 45",Larson +7,2010-10-07,1978.0,2010.0
123,Michigan 15th District - Steele vs. Dingell,Rossman/Team TelCom,"Steele 44, Dingell 40",Steele +4,2010-10-08,1988.0,2010.0
124,California 18th District - Berryhill vs. Cardoza,SurveyUSA,"Cardoza 50, Berryhill 44",Cardoza +6,2010-10-08,1989.0,2010.0
125,Connecticut 2nd District - Peckinpaugh vs. Courtney,CT Capitol Report/MRG,"Courtney 55, Peckinpaugh 41",Courtney +14,2010-10-08,1990.0,2010.0
126,New York 19th District - Hayworth vs. Hall,RNN-TV/Iona College,"Hayworth 42, Hall 42",Tie,2010-10-09,1993.0,2010.0
127,Pennsylvania 3rd District - Kelly vs. Dahlkemper,Mercyhurst College,"Kelly 44, Dahlkemper 37",Kelly +7,2010-10-10,2002.0,2010.0
128,Maine 1st District - Scontras vs. Pingree,PineTreePolitics/MECPO,"Pingree 46, Scontras 38",Pingree +8,2010-10-10,2003.0,2010.0
129,Washington 8th District - Reichert vs. DelBene,Daily Kos/PPP (D),"Reichert 49, DelBene 46",Reichert +3,2010-10-11,2012.0,2010.0
130,Utah 2nd District - Philpot vs. Matheson,UtahPolicy/Western Wats,"Matheson 46, Philpot 30",Matheson +16,2010-10-12,2034.0,2010.0
131,Rhode Island 1st District - Loughlin vs. Cicilline,NBC 10/Quest Research,"Cicilline 47, Loughlin 36",Cicilline +11,2010-10-13,2073.0,2010.0
132,New Jersey 12th District - Sipprelle vs. Holt,Monmouth University,"Holt 51, Sipprelle 46",Holt +5,2010-10-13,2074.0,2010.0
133,New York 1st District - Altschuler vs. Bishop,Siena,"Bishop 51, Altschuler 39",Bishop +12,2010-10-13,2075.0,2010.0
134,New York 23rd District - Doheny vs. Owens,Siena,"Owens 44, Doheny 39",Owens +5,2010-10-13,2077.0,2010.0
135,Virginia 5th District - Hurt vs. Perriello,SurveyUSA*,"Hurt 52, Perriello 41",Hurt +11,2010-10-13,2078.0,2010.0
136,Wisconsin 7th District - Duffy vs. Lassa,"The Hill/Penn, Schoen & Berland (D)","Duffy 44, Lassa 35",Duffy +9,2010-10-13,2079.0,2010.0
137,Washington 3rd District - Herrera vs. Heck,"The Hill/Penn, Schoen & Berland (D)","Herrera 42, Heck 40",Herrera +2,2010-10-13,2080.0,2010.0
138,Tennessee 8th District - Fincher vs. Herron,"The Hill/Penn, Schoen & Berland (D)","Fincher 47, Herron 37",Fincher +10,2010-10-13,2081.0,2010.0
139,New York 19th District - Hayworth vs. Hall,Siena,"Hayworth 46, Hall 43",Hayworth +3,2010-10-13,2082.0,2010.0
140,Pennsylvania 7th District - Meehan vs. Lentz,"The Hill/Penn, Schoen & Berland (D)","Meehan 40, Lentz 39",Meehan +1,2010-10-13,2083.0,2010.0
141,New Hampshire 2nd District - Bass vs. Kuster,"The Hill/Penn, Schoen & Berland (D)","Kuster 42, Bass 45",Bass +3,2010-10-13,2084.0,2010.0
142,Hawaii 1st District - Djou vs. Hanabusa,"The Hill/Penn, Schoen & Berland (D)","Djou 45, Hanabusa 41",Djou +4,2010-10-13,2085.0,2010.0
143,West Virginia 1st District - McKinley vs. Oliverio,"The Hill/Penn, Schoen & Berland (D)","Oliverio 42, McKinley 39",Oliverio +3,2010-10-13,2086.0,2010.0
144,Arkansas 1st District - Crawford vs. Causey,"The Hill/Penn, Schoen & Berland (D)","Crawford 46, Causey 34",Crawford +12,2010-10-13,2087.0,2010.0
145,Pennsylvania 11th District - Barletta vs. Kanjorski,Franklin & Marshall,"Barletta 47, Kanjorski 40",Barletta +7,2010-10-13,2088.0,2010.0
146,Michigan 1st District - Benishek vs. McDowell,"The Hill/Penn, Schoen & Berland (D)","Benishek 42, McDowell 39",Benishek +3,2010-10-13,2093.0,2010.0
147,Maine 1st District - Scontras vs. Pingree,Critical Insights,"Pingree 48, Scontras 33",Pingree +15,2010-10-14,2107.0,2010.0
148,Maine 2nd District - Michaud v. Levesque,Critical Insights,"Michaud 43, Levesque 30",Michaud +13,2010-10-14,2111.0,2010.0
149,Washington 3rd District - Herrera vs. Heck,SurveyUSA,"Herrera 53, Heck 42",Herrera +11,2010-10-14,2112.0,2010.0
150,Pennsylvania 12th District - Burns vs. Critz,Susquehanna,"Critz 43, Burns 36",Critz +7,2010-10-14,2113.0,2010.0
151,Pennsylvania 10th District - Marino vs. Carney,Times Leader/Critical Insights,"Marino 44, Carney 38",Marino +6,2010-10-14,2115.0,2010.0
152,Pennsylvania 11th District - Barletta vs. Kanjorski,Times Leader/Critical Insights,"Barletta 43, Kanjorski 41",Barletta +2,2010-10-14,2118.0,2010.0
153,Pennsylvania 8th District - Fitzpatrick vs. Murphy,Monmouth University,"Fitzpatrick 51, Murphy 46",Fitzpatrick +5,2010-10-14,2119.0,2010.0
154,Pennsylvania 7th District - Meehan vs. Lentz,Franklin & Marshall,"Meehan 34, Lentz 31",Meehan +3,2010-10-14,2120.0,2010.0
155,Oregon 4th District - DeFazio v. Robinson,CTA/Wilson Research Strategies (R),"DeFazio 48, Robinson 42",DeFazio +6,2010-10-15,2132.0,2010.0
156,Virginia 9th District - Griffith vs. Boucher,SurveyUSA,"Boucher 51, Griffith 41",Boucher +10,2010-10-15,2142.0,2010.0
157,New Hampshire 2nd District - Bass vs. Kuster,WMUR/UNH,"Kuster 43, Bass 36",Kuster +7,2010-10-15,2143.0,2010.0
158,New Hampshire 1st District - Guinta vs. Shea-Porter,WMUR/UNH,"Guinta 48, Shea-Porter 36",Guinta +12,2010-10-15,2144.0,2010.0
159,Minnesota 1st District - Demmer vs. Walz,SurveyUSA,"Walz 47, Demmer 42",Walz +5,2010-10-16,2152.0,2010.0
160,Pennsylvania 15th District - Dent vs. Callahan,Morning Call,"Dent 49, Callahan 32",Dent +17,2010-10-16,2153.0,2010.0
161,New York 25th District - Buerkle vs. Maffei,Siena,"Maffei 51, Buerkle 39",Maffei +12,2010-10-17,2155.0,2010.0
162,Virginia 5th District - Hurt vs. Perriello,Roanoke College,"Hurt 46, Perriello 40",Hurt +6,2010-10-18,2164.0,2010.0
163,Arizona 3rd District - Quayle vs. Hulburd,Daily Kos/PPP (D),"Hulburd 46, Quayle 44",Hulburd +2,2010-10-18,2165.0,2010.0
164,Pennsylvania 18th District Special Election - Saccone vs. Lamb,Monmouth,"Saccone 49, Lamb 46",Saccone +3,2011-02-15,2441.0,2011.0
165,Pennsylvania 18th District Special Election - Saccone vs. Lamb,Gravis,"Saccone 46, Lamb 40",Saccone +6,2011-02-18,2442.0,2011.0
166,Pennsylvania 18th District Special Election - Saccone vs. Lamb,Emerson,"Saccone 45, Lamb 48",Lamb +3,2011-03-05,2487.0,2011.0
167,Pennsylvania 18th District Special Election - Saccone vs. Lamb,Gravis,"Saccone 45, Lamb 42",Saccone +3,2011-03-07,2505.0,2011.0
168,New York 26th District Special Election - Corwin vs. Hochul vs. Davis,PPP (D),"Hochul 42, Corwin 36, Davis 13",Hochul +6,2011-05-23,2741.0,2011.0
169,New York 9th District Special Election - Turner vs. Weprin,Siena,"Weprin 48, Turner 42",Weprin +6,2011-08-10,3079.0,2011.0
170,New York 9th District Special Election - Turner vs. Weprin,Magellan Strategies (R),"Turner 45, Weprin 40",Turner +5,2011-09-06,3225.0,2011.0
171,New York 9th District Special Election - Turner vs. Weprin,Siena,"Turner 50, Weprin 44",Turner +6,2011-09-09,3245.0,2011.0
172,New York 9th District Special Election - Turner vs. Weprin,PPP (D),"Turner 47, Weprin 41",Turner +6,2011-09-12,3248.0,2011.0
173,Nevada 2nd District Special Election - Amodei vs. Marshall,PPP (D),"Amodei 50, Marshall 37",Amodei +13,2011-09-12,3252.0,2011.0
174,Oregon 1st District Special Election - Cornilles vs. Bonamici,SurveyUSA,"Bonamici 50, Cornilles 39",Bonamici +11,2012-01-05,3975.0,2012.0
175,Illinois 16th District - Republican Primary,WeAskAmerica,"Manzullo 43, Kinzinger 42",Manzullo +1,2012-03-14,4619.0,2012.0
176,Pennsylvania 12th District - Democratic Primary,Susquehanna,"Altmire 43, Critz 39",Altmire +4,2012-04-18,4841.0,2012.0
177,New Hampshire 1st District - Guinta vs. Shea-Porter,PPP (D),"Shea-Porter 47, Guinta 43",Shea-Porter +4,2012-05-17,4992.0,2012.0
178,New Hampshire 2nd District - Bass vs. Kuster,PPP (D),"Bass 42, Kuster 42",Tie,2012-05-17,4993.0,2012.0
179,Rhode Island 1st District - Democratic Primary,WPRI/Fleming,"Cicilline 40, Gemma 36",Cicilline +4,2012-05-17,4994.0,2012.0
180,Arizona 8th District Special Election - Kelly vs. Barber,PPP (D),"Barber 53, Kelly 41",Barber +12,2012-06-11,5108.0,2012.0
181,Utah 4th District - Love vs. Matheson,Deseret News/KSL,"Matheson 53, Love 38",Matheson +15,2012-06-25,5175.0,2012.0
182,New Hampshire 2nd District - Bass vs. Kuster,WMUR/UNH,"Bass 42, Kuster 37",Bass +5,2012-08-15,5459.0,2012.0
183,New Hampshire 1st District - Guinta vs. Shea-Porter,WMUR/UNH,"Shea-Porter 45, Guinta 43",Shea-Porter +2,2012-08-15,5460.0,2012.0
184,New York 27th District - Collins vs. Hochul,Siena,"Collins 47, Hochul 45",Collins +2,2012-08-19,5469.0,2012.0
185,New Mexico 1st District - Arnold-Jones vs. Grisham,Albuquerque Journal,"Grisham 46, Arnold-Jones 34",Grisham +12,2012-09-10,5612.0,2012.0
186,New York 21st District - Doheny vs. Owens,Siena,"Owens 49, Doheny 36",Owens +13,2012-09-10,5617.0,2012.0
187,New York 24th District - Buerkle vs. Maffei,Siena,"Buerkle 43, Maffei 43",Tie,2012-09-13,5667.0,2012.0
