,Date,Poll,Race/Topic (Click to Sort),Results,Spread,Year
88,"Thursday, October 4",Detroit News/WDIV-TV,Michigan Governor - Schuette vs. Whitmer,"Whitmer 47, Schuette 35",Whitmer +12,2018
89,"Thursday, October 4",Trafalgar Group (R),South Carolina Governor - McMaster vs. Smith,"McMaster 51, Smith 37",McMaster +14,2018
90,"Thursday, October 4",NY Times/Siena,Michigan 8th District - Bishop vs. Slotkin,"Bishop 47, Slotkin 44",Bishop +3,2018
91,"Thursday, October 4",NY Times/Siena,Arizona 2nd District - Peterson vs. Kirkpatrick,"Kirkpatrick 50, Peterson 39",Kirkpatrick +11,2018
92,"Thursday, October 4",NY Times/Siena,Minnesota 2nd District - Lewis vs. Craig,"Craig 51, Lewis 39",Craig +12,2018
93,"Thursday, October 4",NY Times/Siena,Virginia 2nd District - Taylor vs. Luria,"Taylor 49, Luria 41",Taylor +8,2018
94,"Thursday, October 4",Christopher Newport Univ.,Virginia 10th District - Comstock vs. Wexton,"Wexton 51, Comstock 44",Wexton +7,2018
95,"Thursday, October 4",UNF,Florida 16th District - Buchanan vs. Shapiro,"Buchanan 49, Shapiro 40",Buchanan +9,2018
96,"Thursday, October 4",IBD/TIPP,President Trump Job Approval,"Approve 40, Disapprove 54",Disapprove +14,2018
97,"Thursday, October 4",IBD/TIPP,2018 Generic Congressional Vote,"Democrats 45, Republicans 43",Democrats +2,2018
98,"Wednesday, October 3",Suffolk*,Arizona Senate - McSally vs. Sinema,"Sinema 45, McSally 42",Sinema +3,2018
99,"Wednesday, October 3",Quinnipiac,New Jersey Senate - Hugin vs. Menendez,"Menendez 53, Hugin 42",Menendez +11,2018
100,"Wednesday, October 3",Fairleigh Dickinson,New Jersey Senate - Hugin vs. Menendez,"Menendez 43, Hugin 37",Menendez +6,2018
101,"Wednesday, October 3",Siena,New York Senate - Farley vs. Gillibrand,"Gillibrand 61, Farley 29",Gillibrand +32,2018
102,"Wednesday, October 3",Suffolk*,Arizona Governor - Ducey vs. Garcia,"Ducey 50, Garcia 38",Ducey +12,2018
103,"Wednesday, October 3",Mason-Dixon*,Florida Governor - DeSantis vs. Gillum,"Gillum 45, DeSantis 44",Gillum +1,2018
104,"Wednesday, October 3",KFI-NBC 4,California Governor - Cox vs. Newsom,"Newsom 50, Cox 45",Newsom +5,2018
105,"Wednesday, October 3",Siena,New York Governor - Molinaro vs. Cuomo,"Cuomo 56, Molinaro 38",Cuomo +18,2018
106,"Wednesday, October 3",Monmouth,Pennsylvania 1st District - Fitzpatrick vs. Wallace,"Fitzpatrick 50, Wallace 46",Fitzpatrick +4,2018
107,"Wednesday, October 3",PPP (D),Pennsylvania 10th District - Perry vs. Scott,"Perry 44, Scott 43",Perry +1,2018
108,"Wednesday, October 3",KSTP/SurveyUSA,Minnesota 3rd District - Paulsen vs. Phillips,"Phillips 49, Paulsen 44",Phillips +5,2018
109,"Wednesday, October 3",Economist/YouGov,President Trump Job Approval,"Approve 44, Disapprove 53",Disapprove +9,2018
110,"Wednesday, October 3",Reuters/Ipsos,President Trump Job Approval,"Approve 43, Disapprove 55",Disapprove +12,2018
111,"Wednesday, October 3",NPR/PBS/Marist,President Trump Job Approval,"Approve 43, Disapprove 53",Disapprove +10,2018
112,"Wednesday, October 3",Rasmussen Reports,2018 Generic Congressional Vote,"Democrats 47, Republicans 42",Democrats +5,2018
113,"Wednesday, October 3",NPR/PBS/Marist,2018 Generic Congressional Vote,"Democrats 48, Republicans 42",Democrats +6,2018
114,"Wednesday, October 3",Reuters/Ipsos,2018 Generic Congressional Vote,"Democrats 50, Republicans 38",Democrats +12,2018
115,"Wednesday, October 3",Economist/YouGov,2018 Generic Congressional Vote,"Democrats 45, Republicans 40",Democrats +5,2018
116,"Wednesday, October 3",Economist/YouGov,Congressional Job Approval,"Approve 12, Disapprove 68",Disapprove +56,2018
117,"Wednesday, October 3",Reuters/Ipsos,Congressional Job Approval,"Approve 22, Disapprove 74",Disapprove +52,2018
118,"Wednesday, October 3",Reuters/Ipsos,Direction of Country,"Right Direction 39, Wrong Track 55",Wrong Track +16,2018
119,"Wednesday, October 3",Economist/YouGov,Direction of Country,"Right Direction 36, Wrong Track 57",Wrong Track +21,2018
120,"Tuesday, October 2",WCTV-TV,Florida Senate - Scott vs. Nelson,"Nelson 45, Scott 44",Nelson +1,2018
121,"Tuesday, October 2",WSAZ-TV*,West Virginia Senate - Morrisey vs. Manchin,"Manchin 46, Morrisey 38",Manchin +8,2018
122,"Tuesday, October 2",NBC Valley News,North Dakota Senate - Cramer vs. Heitkamp,"Cramer 51, Heitkamp 41",Cramer +10,2018
123,"Tuesday, October 2",WCTV-TV,Florida Governor - DeSantis vs. Gillum,"Gillum 44, DeSantis 43",Gillum +1,2018
124,"Tuesday, October 2",Landmark Communications*,Georgia Governor - Kemp vs. Abrams,"Kemp 48, Abrams 46",Kemp +2,2018
125,"Tuesday, October 2",The Simon Poll/SIU*,Illinois Governor - Rauner vs. Pritzker,"Pritzker 49, Rauner 27",Pritzker +22,2018
126,"Tuesday, October 2",Keating (D)/Magellan (R)*,Colorado Governor - Stapleton vs. Polis,"Polis 47, Stapleton 40",Polis +7,2018
127,"Tuesday, October 2",NY Times/Siena,Ohio 1st District - Chabot vs. Pureval,"Chabot 50, Pureval 41",Chabot +9,2018
128,"Tuesday, October 2",Monmouth,Virginia 10th District - Comstock vs. Wexton,"Wexton 50, Comstock 44",Wexton +6,2018
129,"Tuesday, October 2",Sooner Poll,Oklahoma 5th District - Russell vs. Horn,"Russell 47, Horn 37",Russell +10,2018
130,"Tuesday, October 2",Quinnipiac,President Trump Job Approval,"Approve 41, Disapprove 53",Disapprove +12,2018
131,"Tuesday, October 2",Quinnipiac,2018 Generic Congressional Vote,"Democrats 49, Republicans 42",Democrats +7,2018
132,"Monday, October 1",CNN*,Nevada Senate - Heller vs. Rosen,"Heller 43, Rosen 47",Rosen +4,2018
133,"Monday, October 1",Stockton University*,New Jersey Senate - Hugin vs. Menendez,"Menendez 45, Hugin 43",Menendez +2,2018
134,"Monday, October 1",CNN*,Missouri Senate - Hawley vs. McCaskill,"Hawley 44, McCaskill 47",McCaskill +3,2018
135,"Monday, October 1",CNN,Nevada Governor - Laxalt vs. Sisolak vs. Lord,"Sisolak 45, Laxalt 41, Lord 5",Sisolak +4,2018
136,"Monday, October 1",Emerson*,Kansas Governor - Kobach vs. Kelly vs. Orman,"Kobach 37, Kelly 36, Orman 9",Kobach +1,2018
137,"Monday, October 1",Emerson*,Kansas 2nd District - Watkins vs. Davis,"Davis 35, Watkins 31",Davis +4,2018
138,"Monday, October 1",Emerson*,Kansas 3rd District - Yoder vs. Davids,"Davids 47, Yoder 41",Davids +6,2018
139,"Monday, October 1",NY Times/Siena,Iowa 3rd District - Young vs. Axne,"Axne 44, Young 43",Axne +1,2018
140,"Monday, October 1",Gallup,President Trump Job Approval,"Approve 42, Disapprove 53",Disapprove +11,2018
141,"Monday, October 1",Harvard-Harris,President Trump Job Approval,"Approve 45, Disapprove 55",Disapprove +10,2018
142,"Monday, October 1",Harvard-Harris,2018 Generic Congressional Vote,"Democrats 45, Republicans 37",Democrats +8,2018
143,"Monday, October 1",Harvard-Harris,Direction of Country,"Right Direction 38, Wrong Track 55",Wrong Track +17,2018
144,"Monday, October 1",Rasmussen Reports,Direction of Country,"Right Direction 40, Wrong Track 54",Wrong Track +14,2018
145,"Sunday, September 30",Harvard-Harris,President Trump Job Approval,"Approve 46, Disapprove 54",Disapprove +8,2018
146,"Sunday, September 30",Harvard-Harris,2018 Generic Congressional Vote,"Democrats 45, Republicans 36",Democrats +9,2018
147,"Sunday, September 30",Harvard-Harris,Direction of Country,"Right Direction 38, Wrong Track 53",Wrong Track +15,2018
148,"Saturday, September 29",Missouri Scout*,Missouri Senate - Hawley vs. McCaskill,"Hawley 48, McCaskill 46",Hawley +2,2018
149,"Friday, September 28",Alaska Survey Research,Alaska Governor - Dunleavy vs. Begich vs. Walker,"Dunleavy 44, Walker 23, Begich 29",Dunleavy +15,2018
150,"Friday, September 28",Mason-Dixon*,Maryland Governor - Hogan vs. Jealous,"Hogan 52, Jealous 37",Hogan +15,2018
151,"Friday, September 28",Gallup,2018 Generic Congressional Vote,"Democrats 51, Republicans 42",Democrats +9,2018
152,"Friday, September 28",Gallup,Congressional Job Approval,"Approve 19, Disapprove 76",Disapprove +57,2018
153,"Thursday, September 27",Franklin & Marshall*,Pennsylvania Senate - Barletta vs. Casey,"Casey 50, Barletta 33",Casey +17,2018
154,"Thursday, September 27",EPIC-MRA,Michigan Senate - James vs. Stabenow,"Stabenow 56, James 33",Stabenow +23,2018
155,"Thursday, September 27",PPIC,California Senate - Feinstein vs. de Leon,"Feinstein 40, Leon 29",Feinstein +11,2018
156,"Thursday, September 27",University of Delaware*,Delaware Senate - Arlett vs. Carper,"Carper 61, Arlett 24",Carper +37,2018
157,"Thursday, September 27",Franklin & Marshall*,Pennsylvania Governor - Wagner vs. Wolf,"Wolf 52, Wagner 30",Wolf +22,2018
158,"Thursday, September 27",EPIC-MRA*,Michigan Governor - Schuette vs. Whitmer,"Whitmer 45, Schuette 37",Whitmer +8,2018
159,"Thursday, September 27",PPIC,California Governor - Cox vs. Newsom,"Newsom 51, Cox 39",Newsom +12,2018
160,"Thursday, September 27",NY Times/Siena,New Jersey 3rd District - MacArthur vs. Kim,"Kim 49, MacArthur 39",Kim +10,2018
161,"Thursday, September 27",NY Times/Siena,Nebraska 2nd District - Bacon vs. Eastman,"Bacon 51, Eastman 42",Bacon +9,2018
162,"Thursday, September 27",NY Times/Siena,Washington 8th District - Rossi vs. Schrier,"Rossi 45, Schrier 46",Schrier +1,2018
163,"Thursday, September 27",Monmouth,California 50th District - Hunter vs. Campa-Najjar,"Hunter 53, Campa-Najjar 38",Hunter +15,2018
164,"Thursday, September 27",ABC 30/SurveyUSA,California 22nd District - Nunes vs. Janz,"Nunes 55, Janz 41",Nunes +14,2018
165,"Wednesday, September 26",NBC News/Marist,Ohio Senate - Renacci vs. Brown,"Brown 52, Renacci 39",Brown +13,2018
166,"Wednesday, September 26",NBC News/Marist,Ohio Governor - DeWine vs. Cordray,"Cordray 47, DeWine 47",Tie,2018
167,"Wednesday, September 26",Quinnipiac,Florida Governor - DeSantis vs. Gillum,"Gillum 54, DeSantis 45",Gillum +9,2018
168,"Wednesday, September 26",KFI-NBC 4,California Governor - Cox vs. Newsom,"Newsom 53, Cox 42",Newsom +11,2018
169,"Wednesday, September 26",NY Times/Siena,California 45th District - Walters vs. Porter,"Porter 48, Walters 43",Porter +5,2018
170,"Wednesday, September 26",NY Times/Siena,Pennsylvania 7th District - Nothstein vs. Wild,"Wild 50, Nothstein 42",Wild +8,2018
171,"Wednesday, September 26",KSTP/SurveyUSA,Minnesota 2nd District - Lewis vs. Craig,"Craig 48, Lewis 45",Craig +3,2018
172,"Wednesday, September 26",ABC 30/SurveyUSA,California 21st District - Valadao vs. Cox,"Valadao 50, Cox 39",Valadao +11,2018
173,"Wednesday, September 26",NPR/PBS/Marist,President Trump Job Approval,"Approve 44, Disapprove 49",Disapprove +5,2018
174,"Wednesday, September 26",Reuters/Ipsos,President Trump Job Approval,"Approve 45, Disapprove 53",Disapprove +8,2018
175,"Wednesday, September 26",Pew Research,President Trump Job Approval,"Approve 40, Disapprove 55",Disapprove +15,2018
176,"Wednesday, September 26",Economist/YouGov,President Trump Job Approval,"Approve 44, Disapprove 53",Disapprove +9,2018
177,"Wednesday, September 26",Economist/YouGov,2018 Generic Congressional Vote,"Democrats 46, Republicans 38",Democrats +8,2018
178,"Wednesday, September 26",NPR/PBS/Marist,2018 Generic Congressional Vote,"Democrats 48, Republicans 41",Democrats +7,2018
179,"Wednesday, September 26",Pew Research,2018 Generic Congressional Vote,"Democrats 52, Republicans 42",Democrats +10,2018
180,"Wednesday, September 26",Rasmussen Reports,2018 Generic Congressional Vote,"Democrats 46, Republicans 43",Democrats +3,2018
181,"Wednesday, September 26",Reuters/Ipsos,2018 Generic Congressional Vote,"Democrats 48, Republicans 41",Democrats +7,2018
182,"Wednesday, September 26",Reuters/Ipsos,Congressional Job Approval,"Approve 22, Disapprove 74",Disapprove +52,2018
183,"Wednesday, September 26",Economist/YouGov,Congressional Job Approval,"Approve 12, Disapprove 66",Disapprove +54,2018
184,"Wednesday, September 26",Economist/YouGov,Direction of Country,"Right Direction 38, Wrong Track 53",Wrong Track +15,2018
185,"Wednesday, September 26",Reuters/Ipsos,Direction of Country,"Right Direction 40, Wrong Track 54",Wrong Track +14,2018
186,"Tuesday, September 25",NBC News/Marist,Florida Senate - Scott vs. Nelson,"Nelson 48, Scott 45",Nelson +3,2018
187,"Tuesday, September 25",Quinnipiac,Florida Senate - Scott vs. Nelson,"Nelson 53, Scott 46",Nelson +7,2018
188,"Tuesday, September 25",NBC News/Marist,Arizona Senate - McSally vs. Sinema,"Sinema 48, McSally 45",Sinema +3,2018
189,"Tuesday, September 25",Gravis,Montana Senate - Rosendale vs. Tester,"Tester 49, Rosendale 45",Tester +4,2018
190,"Tuesday, September 25",WBUR/MassINC*,Massachusetts Senate - Diehl vs. Warren,"Warren 56, Diehl 30",Warren +26,2018
191,"Tuesday, September 25",NBC News/Marist,Florida Governor - DeSantis vs. Gillum,"Gillum 48, DeSantis 43",Gillum +5,2018
192,"Tuesday, September 25",NBC News/Marist,Arizona Governor - Ducey vs. Garcia,"Ducey 51, Garcia 43",Ducey +8,2018
193,"Tuesday, September 25",Clout Research (R),Oregon Governor - Buehler vs. Brown,"Brown 42, Buehler 41",Brown +1,2018
194,"Tuesday, September 25",Gravis,Montana At-Large District - Gianforte vs. Williams,"Gianforte 51, Williams 42",Gianforte +9,2018
195,"Tuesday, September 25",NY Times/Siena,Texas 32nd District - Sessions vs. Allred,"Sessions 48, Allred 47",Sessions +1,2018
196,"Tuesday, September 25",Monmouth,Virginia 7th District - Brat vs. Spanberger,"Brat 47, Spanberger 47",Tie,2018
197,"Monday, September 24",UNF,Florida Senate - Scott vs. Nelson,"Nelson 45, Scott 45",Tie,2018
198,"Monday, September 24",Emerson*,Arizona Senate - McSally vs. Sinema,"Sinema 45, McSally 39",Sinema +6,2018
199,"Monday, September 24",UNF,Florida Governor - DeSantis vs. Gillum,"Gillum 47, DeSantis 43",Gillum +4,2018
200,"Monday, September 24",Emerson*,Arizona Governor - Ducey vs. Garcia,"Ducey 42, Garcia 38",Ducey +4,2018
201,"Monday, September 24",NY Times/Siena,California 49th District - Harkey vs. Levin,"Levin 51, Harkey 41",Levin +10,2018
202,"Monday, September 24",NY Times/Siena,Kansas 3rd District - Yoder vs. Davids,"Davids 51, Yoder 43",Davids +8,2018
203,"Monday, September 24",Gallup,President Trump Job Approval,"Approve 40, Disapprove 56",Disapprove +16,2018
204,"Monday, September 24",Rasmussen Reports,Direction of Country,"Right Direction 42, Wrong Track 52",Wrong Track +10,2018
205,"Sunday, September 23",Des Moines Register,Iowa Governor - Reynolds vs. Hubbell,"Hubbell 43, Reynolds 41",Hubbell +2,2018
206,"Sunday, September 23",FOX News,President Trump Job Approval,"Approve 46, Disapprove 52",Disapprove +6,2018
207,"Sunday, September 23",NBC News/Wall St. Jrnl,President Trump Job Approval,"Approve 44, Disapprove 52",Disapprove +8,2018
208,"Sunday, September 23",FOX News,2018 Generic Congressional Vote,"Democrats 49, Republicans 42",Democrats +7,2018
209,"Sunday, September 23",NBC News/Wall St. Jrnl,2018 Generic Congressional Vote,"Democrats 51, Republicans 43",Democrats +8,2018
210,"Friday, September 21",Morning Call*,Pennsylvania Senate - Barletta vs. Casey,"Casey 53, Barletta 35",Casey +18,2018
211,"Friday, September 21",Mitchell Research,Michigan Senate - James vs. Stabenow,"Stabenow 54, James 41",Stabenow +13,2018
212,"Friday, September 21",WPRI/Roger Williams,Rhode Island Senate - Flanders vs. Whitehouse,"Whitehouse 54, Flanders 35",Whitehouse +19,2018
213,"Friday, September 21",Morning Call*,Pennsylvania Governor - Wagner vs. Wolf,"Wolf 55, Wagner 36",Wolf +19,2018
214,"Friday, September 21",Mitchell Research,Michigan Governor - Schuette vs. Whitmer,"Whitmer 48, Schuette 38",Whitmer +10,2018
215,"Friday, September 21",WPRI/Roger Williams*,Rhode Island Governor - Fung vs. Raimondo,"Raimondo 43, Fung 36",Raimondo +7,2018
