Race/Topic (Click to Sort),Poll,Results,Spread,Date,Year
Obama and Democrats' Health Care Plan,Democracy Corps (D),"For/Favor 42, Against/Oppose 49",Against/Oppose +7,2010-04-27,2010
President Obama Job Approval,Democracy Corps (D),"Approve 48, Disapprove 46",Approve +2,2010-04-27,2010
Direction of Country,Democracy Corps (D),"Right Direction 34, Wrong Track 57",Wrong Track +23,2010-04-27,2010
Generic Congressional Vote,Democracy Corps (D),"Republicans 45, Democrats 43",Republicans +2,2010-04-27,2010
North Dakota Senate - Hoeven vs. Potter,Rasmussen Reports,"Hoeven 69, Potter 24",Hoeven +45,2010-04-27,2010
Direction of Country,Rasmussen Reports,"Right Direction 33, Wrong Track 61",Wrong Track +28,2010-04-27,2010
South Dakota Governor - Daugaard vs. Heidepriem,Rasmussen Reports,"Daugaard 53, Heidepreim 33",Daugaard +20,2010-04-27,2010
South Dakota At-Large - Nelson vs. Herseth Sandlin,Rasmussen Reports,"Herseth Sandlin 45, Nelson 41",Herseth Sandlin +4,2010-04-27,2010
Michigan Governor - Republican Primary,Rasmussen Reports,"Hoekstra 28, Cox 13, Snyder 14, Bouchard 9",Hoekstra +14,2010-04-27,2010
Arizona Governor - Brewer vs. Goddard,PPP (D),"Brewer 44, Goddard 47",Goddard +3,2010-04-27,2010
Rhode Island Governor - Chafee vs. Caprio vs. Robitaille,Rasmussen Reports,"Chafee 33, Caprio 33, Robitaille 21",Tie,2010-04-27,2010
North Carolina Senate - Democratic Primary,PPP (D),"Marshall 26, Cunningham 23, Lewis 7",Marshall +3,2010-04-27,2010
North Carolina Senate - Democratic Primary,SurveyUSA,"Marshall 23, Cunningham 19, Lewis 10",Marshall +4,2010-04-27,2010
Arizona Governor - Brewer vs. Goddard,PPP (D),"Goddard 47, Brewer 44",Goddard +3,2010-04-27,2010
Georgia Governor - Deal vs. Barnes,Rasmussen Reports,"Barnes 39, Deal 46",Deal +7,2010-04-28,2010
Arizona Senate - Hayworth vs. Glassman,Behavior Research Center,"Hayworth 37, Glassman 30",Hayworth +7,2010-04-28,2010
Arizona Senate - McCain vs. Glassman,Behavior Research Center,"McCain 46, Glassman 24",McCain +22,2010-04-28,2010
Arizona Senate - Republican Primary,Behavior Research Center,"McCain 54, Hayworth 28",McCain +26,2010-04-28,2010
Arizona Senate - Hayworth vs. Glassman,PPP (D),"Hayworth 39, Glassman 42",Glassman +3,2010-04-28,2010
Arizona Senate - McCain vs. Glassman,PPP (D),"McCain 49, Glassman 33",McCain +16,2010-04-28,2010
Generic Congressional Vote,ABC News/Wash Post,"Republicans 43, Democrats 48",Democrats +5,2010-04-28,2010
President Obama Job Approval,ABC News/Wash Post,"Approve 54, Disapprove 44",Approve +10,2010-04-28,2010
President Obama Job Approval,Pew Research,"Approve 47, Disapprove 42",Approve +5,2010-04-28,2010
Ohio Senate - Democratic Primary,Quinnipiac,"Fisher 41, Brunner 24",Fisher +17,2010-04-28,2010
Arizona Governor - Brewer vs. Goddard,Rasmussen Reports,"Brewer 48, Goddard 40",Brewer +8,2010-04-28,2010
Georgia Governor - Handel vs. Barnes,Rasmussen Reports,"Barnes 41, Handel 42",Handel +1,2010-04-28,2010
Georgia Governor - Oxendine vs. Barnes,Rasmussen Reports,"Barnes 43, Oxendine 45",Oxendine +2,2010-04-28,2010
Arizona Governor - Brewer vs. Goddard,Rasmussen Reports,"Goddard 40, Brewer 48",Brewer +8,2010-04-28,2010
Nevada Senate - Lowden vs. Reid,Rasmussen Reports,"Lowden 52, Reid 39",Lowden +13,2010-04-29,2010
New York Governor - Levy vs. Cuomo,Rasmussen Reports,"Cuomo 50, Levy 27",Cuomo +23,2010-04-29,2010
Indiana Senate - Republican Primary,Downs Center/SUSA,"Coats 36, Hostettler 24, Stutzman 18",Coats +12,2010-04-29,2010
Indiana Senate - Coats vs. Ellsworth,Downs Center/SUSA,"Coats 47, Ellsworth 31",Coats +16,2010-04-29,2010
Indiana Senate - Hostettler vs. Ellsworth,Downs Center/SUSA,"Hostettler 45, Ellsworth 32",Hostettler +13,2010-04-29,2010
Arkansas Senate - Boozman vs. Lincoln,Rasmussen Reports,"Boozman 57, Lincoln 29",Boozman +28,2010-04-29,2010
Arkansas Senate - Boozman vs. Halter,Rasmussen Reports,"Boozman 56, Halter 31",Boozman +25,2010-04-29,2010
Ohio Senate - Portman vs. Fisher,Quinnipiac,"Fisher 40, Portman 37",Fisher +3,2010-04-29,2010
Ohio Senate - Portman vs. Brunner,Quinnipiac,"Portman 36, Brunner 40",Brunner +4,2010-04-29,2010
Ohio Governor - Kasich vs. Strickland,Quinnipiac,"Strickland 44, Kasich 38",Strickland +6,2010-04-29,2010
Oregon Governor - Dudley vs. Kitzhaber,Rasmussen Reports,"Dudley 41, Kitzhaber 41",Tie,2010-04-29,2010
Oregon Governor - Dudley vs. Bradbury,Rasmussen Reports,"Dudley 40, Bradbury 40",Tie,2010-04-29,2010
Arizona Senate - Republican Primary,PPP (D),"McCain 46, Hayworth 35",McCain +11,2010-04-29,2010
New York Governor - Lazio vs. Cuomo,Rasmussen Reports,"Cuomo 56, Lazio 24",Cuomo +32,2010-04-29,2010
Oregon Governor - Dudley vs. Kitzhaber,Rasmussen Reports,"Kitzhaber 41, Dudley 41",Tie,2010-04-29,2010
Arkansas Senate - Democratic Primary,R2000/Daily Kos (D),"Lincoln 43, Halter 35",Lincoln +8,2010-04-29,2010
Arkansas Senate - Boozman vs. Lincoln,R2000/Daily Kos (D),"Boozman 52, Lincoln 42",Boozman +10,2010-04-29,2010
Arkansas Senate - Boozman vs. Halter,R2000/Daily Kos (D),"Boozman 47, Halter 42",Boozman +5,2010-04-29,2010
Nevada Senate - Republican Primary,R2000/Daily Kos (D),"Lowden 38, Angle 13, Tarkanian 28",Lowden +10,2010-04-29,2010
Nevada Senate - Tarkanian vs. Reid,Rasmussen Reports,"Tarkanian 51, Reid 41",Tarkanian +10,2010-04-29,2010
Nevada Governor - Sandoval vs. Reid,Rasmussen Reports,"Sandoval 53, Reid 35",Sandoval +18,2010-04-29,2010
Nevada Governor - Gibbons vs. Reid,Rasmussen Reports,"Reid 47, Gibbons 37",Reid +10,2010-04-29,2010
Arizona Governor - Republican Primary,PPP (D),"Brewer 38, Mills 19, Martin 16, Munger 3",Brewer +19,2010-04-30,2010
New Hampshire Senate - Ayotte vs. Hodes,WMUR/UNH,"Ayotte 47, Hodes 32",Ayotte +15,2010-04-30,2010
New Hampshire 1st District - Guinta vs. Shea-Porter,WMUR/UNH,"Guinta 42, Shea-Porter 38",Guinta +4,2010-04-30,2010
New Hampshire 2nd District - Bass vs. Swett,WMUR/UNH,"Bass 44, Swett 27",Bass +17,2010-04-30,2010
Direction of Country,Resurgent Republic (R),"Right Direction 33, Wrong Track 59",Wrong Track +26,2010-04-30,2010
Illinois Governor - Brady vs. Quinn,Rasmussen Reports,"Brady 45, Quinn 38",Brady +7,2010-04-30,2010
Illinois Senate - Giannoulias vs. Kirk,Rasmussen Reports,"Kirk 46, Giannoulias 38",Kirk +8,2010-04-30,2010
Direction of Country,R2000/Daily Kos (D),"Right Direction 41, Wrong Track 56",Wrong Track +15,2010-04-30,2010
Ohio Senate - Democratic Primary,Suffolk University,"Fisher 55, Brunner 27",Fisher +28,2010-04-30,2010
Delaware Senate - Castle vs. Coons,Rasmussen Reports,"Castle 55, Coons 32",Castle +23,2010-04-30,2010
Obama and Democrats' Health Care Plan,Resurgent Republic (R),"For/Favor 44, Against/Oppose 49",Against/Oppose +5,2010-04-30,2010
President Obama Job Approval,Resurgent Republic (R),"Approve 48, Disapprove 48",Tie,2010-04-30,2010
Maryland 1st District - Harris vs. Kratovil,POS (R),"Harris 39, Kratovil 36",Harris +3,2010-05-01,2010
Pennsylvania 12th District Special Election - Burns vs. Critz,R2000/Daily Kos (D),"Burns 46, Critz 40",Burns +6,2010-05-01,2010
Pennsylvania 12th District Special Election - Burns vs. Critz,R2000/Daily Kos (D),"Critz 40, Burns 46",Burns +6,2010-05-01,2010
Hawaii 1st District Special Election - Djou vs. Case vs. Hanabusa,Honolulu Advertiser,"Djou 36, Case 28, Hanabusa 22",Djou +8,2010-05-02,2010
North Carolina Senate - Democratic Primary,PPP (D),"Marshall 28, Cunningham 21, Lewis 9",Marshall +7,2010-05-02,2010
Iowa Senate - Grassley vs. Conlin,Rasmussen Reports,"Grassley 53, Conlin 40",Grassley +13,2010-05-03,2010
Kentucky Senate - Paul vs. Conway,Rasmussen Reports,"Paul 47, Conway 38",Paul +9,2010-05-03,2010
Obama and Democrats' Health Care Plan,Rasmussen Reports*,"For/Favor 39, Against/Oppose 54",Against/Oppose +15,2010-05-03,2010
Pennsylvania Governor - Democratic Primary,Morning Call Tracking,"Onorato 41, Wagner 5, Williams 8, Hoeffel 6",Onorato +33,2010-05-03,2010
Pennsylvania Senate - Democratic Primary,Morning Call Tracking,"Sestak 42, Specter 48",Specter +6,2010-05-03,2010
President Obama Job Approval,CBS News/NY Times,"Approve 51, Disapprove 39",Approve +12,2010-05-03,2010
Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 37",Republicans +7,2010-05-03,2010
Ohio Senate - Democratic Primary,Quinnipiac,"Fisher 43, Brunner 23",Fisher +20,2010-05-03,2010
President Obama Job Approval,Gallup,"Approve 47, Disapprove 47",Tie,2010-05-03,2010
President Obama Job Approval,Rasmussen Reports,"Approve 48, Disapprove 51",Disapprove +3,2010-05-03,2010
Iowa Governor - Branstad vs. Culver,Rasmussen Reports,"Branstad 53, Culver 38",Branstad +15,2010-05-03,2010
Kentucky Senate - Grayson vs. Conway,Rasmussen Reports,"Grayson 43, Conway 38",Grayson +5,2010-05-03,2010
Generic Congressional Vote,Gallup,"Republicans 45, Democrats 45",Tie,2010-05-03,2010
Kentucky Senate - Grayson vs. Mongiardo,Rasmussen Reports,"Grayson 45, Mongiardo 31",Grayson +14,2010-05-03,2010
Kentucky Senate - Paul vs. Mongiardo,Rasmussen Reports,"Paul 48, Mongiardo 32",Paul +16,2010-05-03,2010
Kentucky Senate - Democratic Primary,PPP (D),"Mongiardo 36, Conway 27",Mongiardo +9,2010-05-04,2010
Florida Senate - Rubio vs. Meek vs. Crist,Rasmussen Reports,"Crist 38, Rubio 34, Meek 17",Crist +4,2010-05-04,2010
Missouri Senate - Blunt vs. Carnahan,Rasmussen Reports,"Blunt 50, Carnahan 42",Blunt +8,2010-05-04,2010
Pennsylvania Senate - Democratic Primary,Quinnipiac,"Sestak 39, Specter 47",Specter +8,2010-05-04,2010
Pennsylvania Governor - Democratic Primary,Quinnipiac,"Onorato 36, Wagner 8, Williams 8, Hoeffel 9",Onorato +27,2010-05-04,2010
Kentucky Senate - Democratic Primary,PPP (D),"Conway 27, Mongiardo 36",Mongiardo +9,2010-05-04,2010
Kentucky Senate - Republican Primary,PPP (D),"Paul 46, Grayson 28",Paul +18,2010-05-04,2010
New Hampshire Governor - Stephen vs. Lynch,WMUR/UNH,"Lynch 49, Stephen 32",Lynch +17,2010-05-04,2010
Arizona Governor - Republican Primary,Behavior Research Center,"Brewer 22, Mills 13, Martin 10, Munger 4",Brewer +9,2010-05-04,2010
Louisiana Senate - Vitter vs. Melancon,SMOR/Grigsby (R),"Vitter 49, Melancon 31",Vitter +18,2010-05-04,2010
Kentucky Senate - Grayson vs. Mongiardo,PPP (D),"Grayson 43, Mongiardo 35",Grayson +8,2010-05-05,2010
Kentucky Senate - Paul vs. Mongiardo,PPP (D),"Paul 42, Mongiardo 38",Paul +4,2010-05-05,2010
Kentucky Senate - Grayson vs. Conway,PPP (D),"Grayson 42, Conway 34",Grayson +8,2010-05-05,2010
Kentucky Senate - Paul vs. Conway,PPP (D),"Paul 41, Conway 40",Paul +1,2010-05-05,2010
Colorado Senate - Buck vs. Romanoff,Rasmussen Reports,"Buck 45, Romanoff 40",Buck +5,2010-05-05,2010
Colorado Senate - Norton vs. Romanoff,Rasmussen Reports,"Norton 46, Romanoff 39",Norton +7,2010-05-05,2010
Colorado Senate - Norton vs. Bennet,Rasmussen Reports,"Norton 48, Bennet 41",Norton +7,2010-05-05,2010
Colorado Senate - Buck vs. Bennet,Rasmussen Reports,"Bennet 41, Buck 48",Buck +7,2010-05-05,2010
Washington Senate - Didier vs. Murray,Rasmussen Reports,"Murray 51, Didier 36",Murray +15,2010-05-05,2010
Washington Senate - Rossi vs. Murray,Rasmussen Reports,"Murray 48, Rossi 46",Murray +2,2010-05-05,2010
Direction of Country,Rasmussen Reports,"Right Direction 33, Wrong Track 61",Wrong Track +28,2010-05-05,2010
Washington Senate - Rossi vs. Murray,Elway Poll,"Murray 51, Rossi 34",Murray +17,2010-05-05,2010
Washington Senate - Benton vs. Murray,Rasmussen Reports,"Murray 52, Benton 38",Murray +14,2010-05-05,2010
Washington Senate - Didier vs. Murray,Elway Poll,"Murray 50, Didier 24",Murray +26,2010-05-05,2010
Hawaii Governor - Aiona vs. Abercrombie,Honolulu Advertiser,"Abercrombie 49, Aiona 35",Abercrombie +14,2010-05-05,2010
Hawaii Governor - Aiona vs. Hannemann,Honolulu Advertiser,"Hannemann 48, Aiona 35",Hannemann +13,2010-05-05,2010
Washington Senate - Benton vs. Murray,Elway Poll,"Murray 51, Benton 27",Murray +24,2010-05-05,2010
Connecticut Senate - McMahon vs. Blumenthal,Rasmussen Reports,"Blumenthal 52, McMahon 39",Blumenthal +13,2010-05-06,2010
Kentucky Senate - Republican Primary,Kentucky Poll,"Paul 44, Grayson 32",Paul +12,2010-05-06,2010
Kentucky Senate - Democratic Primary,Kentucky Poll,"Conway 32, Mongiardo 39",Mongiardo +7,2010-05-06,2010
Arizona Governor - Republican Primary,R2000/Daily Kos (D),"Brewer 32, Mills 14, Martin 13, Munger 5",Brewer +18,2010-05-06,2010
Arizona Governor - Brewer vs. Goddard,R2000/Daily Kos (D),"Brewer 42, Goddard 48",Goddard +6,2010-05-06,2010
Arizona Senate - McCain vs. Glassman,R2000/Daily Kos (D),"McCain 48, Glassman 35",McCain +13,2010-05-06,2010
Connecticut Senate - Simmons vs. Blumenthal,Rasmussen Reports,"Blumenthal 55, Simmons 32",Blumenthal +23,2010-05-06,2010
North Carolina Senate - Burr vs. Cunningham,Rasmussen Reports,"Burr 50, Cunningham 37",Burr +13,2010-05-06,2010
North Carolina Senate - Burr vs. Marshall,Rasmussen Reports,"Burr 48, Marshall 40",Burr +8,2010-05-06,2010
President Obama Job Approval,FOX News,"Approve 48, Disapprove 43",Approve +5,2010-05-06,2010
Florida Senate - Rubio vs. Meek vs. Crist,Mason-Dixon,"Crist 38, Rubio 32, Meek 19",Crist +6,2010-05-06,2010
North Carolina Senate - Dem Runoff (6/22),Rasmussen Reports,"Marshall 42, Cunningham 37",Marshall +5,2010-05-06,2010
Arizona Senate - Hayworth vs. Glassman,R2000/Daily Kos (D),"Hayworth 43, Glassman 42",Hayworth +1,2010-05-06,2010
Connecticut Senate - Schiff vs. Blumenthal,Rasmussen Reports,"Blumenthal 54, Schiff 29",Blumenthal +25,2010-05-06,2010
Arizona Senate - Republican Primary,R2000/Daily Kos (D),"McCain 48, Hayworth 36",McCain +12,2010-05-06,2010
Connecticut Governor - Foley vs. Lamont,Rasmussen Reports,"Lamont 42, Foley 35",Lamont +7,2010-05-06,2010
Direction of Country,National Journal/FD,"Right Direction 34, Wrong Track 54",Wrong Track +20,2010-05-06,2010
President Obama Job Approval,National Journal/FD,"Approve 48, Disapprove 46",Approve +2,2010-05-06,2010
Generic Congressional Vote,National Journal/FD,"Republicans 35, Democrats 39",Democrats +4,2010-05-06,2010
Connecticut Governor - Foley vs. Malloy,Rasmussen Reports,"Malloy 38, Foley 35",Malloy +3,2010-05-06,2010
Kentucky Senate - Democratic Primary,Kentucky Poll,"Mongiardo 39, Conway 32",Mongiardo +7,2010-05-06,2010
Arizona Governor - Brewer vs. Goddard,R2000/Daily Kos (D),"Goddard 48, Brewer 42",Goddard +6,2010-05-06,2010
Arkansas Senate - Boozman vs. Halter,Mason-Dixon,"Boozman 56, Halter 32",Boozman +24,2010-05-07,2010
Arkansas Senate - Boozman vs. Lincoln,Mason-Dixon,"Boozman 52, Lincoln 35",Boozman +17,2010-05-07,2010
Arkansas Senate - Democratic Primary,Mason-Dixon,"Lincoln 44, Halter 32",Lincoln +12,2010-05-07,2010
Ohio Governor - Kasich vs. Strickland,Rasmussen Reports,"Strickland 45, Kasich 46",Kasich +1,2010-05-07,2010
Iowa Governor - Branstad vs. Culver,Research 2000,"Branstad 48, Culver 41",Branstad +7,2010-05-07,2010
Iowa Senate - Grassley vs. Conlin,Research 2000,"Grassley 49, Conlin 40",Grassley +9,2010-05-07,2010
Indiana Senate - Coats vs. Ellsworth,Rasmussen Reports,"Coats 51, Ellsworth 36",Coats +15,2010-05-07,2010
Direction of Country,R2000/Daily Kos (D),"Right Direction 42, Wrong Track 55",Wrong Track +13,2010-05-07,2010
Arkansas Senate - Republican Primary,Mason-Dixon,"Boozman 48, Holt 17, Baker 11",Boozman +31,2010-05-07,2010
Ohio Senate - Portman vs. Fisher,Rasmussen Reports,"Fisher 43, Portman 42",Fisher +1,2010-05-07,2010
Kentucky Senate - Republican Primary,Magellan Strategies (R),"Paul 43, Grayson 28",Paul +15,2010-05-07,2010
Illinois Governor - Brady vs. Quinn,R2000/Daily Kos (D),"Brady 39, Quinn 36",Brady +3,2010-05-07,2010
Illinois Senate - Giannoulias vs. Kirk,R2000/Daily Kos (D),"Kirk 41, Giannoulias 38",Kirk +3,2010-05-07,2010
Pennsylvania Senate - Democratic Primary,Morning Call Tracking,"Sestak 44, Specter 42",Sestak +2,2010-05-08,2010
Minnesota Governor - Emmer vs. Entenza vs. Horner,SurveyUSA,"Emmer 42, Entenza 31, Horner 10",Emmer +11,2010-05-10,2010
Minnesota Governor - Emmer vs. Dayton vs. Horner,SurveyUSA,"Emmer 42, Dayton 34, Horner 9",Emmer +8,2010-05-10,2010
Minnesota Governor - Emmer vs. Kelliher vs. Horner,SurveyUSA,"Emmer 41, Kelliher 33, Horner 9",Emmer +8,2010-05-10,2010
Pennsylvania Senate - Democratic Primary,Rasmussen Reports,"Sestak 47, Specter 42",Sestak +5,2010-05-10,2010
Maryland Governor - Ehrlich vs. O'Malley,Washington Post,"O'Malley 49, Ehrlich 41",O'Malley +8,2010-05-10,2010
Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 38",Republicans +6,2010-05-10,2010
Generic Congressional Vote,Gallup,"Republicans 46, Democrats 46",Tie,2010-05-10,2010
Florida Governor - McCollum vs. Sink,Mason-Dixon,"McCollum 45, Sink 36",McCollum +9,2010-05-10,2010
Pennsylvania Governor - Democratic Primary,Rasmussen Reports,"Onorato 34, Wagner 17, Williams 17, Hoeffel 9",Onorato +17,2010-05-10,2010
Florida Governor - Republican Primary,Mason-Dixon,"McCollum 38, Scott 24, Dockery 7",McCollum +14,2010-05-10,2010
Florida Governor - Scott vs. Sink,Mason-Dixon,"Sink 38, Scott 36",Sink +2,2010-05-10,2010
North Carolina Senate - Burr vs. Marshall,PPP (D),"Burr 43, Marshall 42",Burr +1,2010-05-11,2010
Obama and Democrats' Health Care Plan,Rasmussen Reports*,"For/Favor 37, Against/Oppose 56",Against/Oppose +19,2010-05-11,2010
