,Race/Topic (Click to Sort),Poll,Results,Spread,Date,Year
28,President Obama Job Approval,Rasmussen Reports,"Approve 43, Disapprove 56",Disapprove +13,2010-05-25,2010.0
29,President Obama Job Approval,Gallup,"Approve 47, Disapprove 45",Approve +2,2010-05-25,2010.0
30,President Obama Job Approval,Quinnipiac,"Approve 48, Disapprove 43",Approve +5,2010-05-26,2010.0
31,President Obama Job Approval,USA Today/Gallup,"Approve 48, Disapprove 48",Tie,2010-05-26,2010.0
32,President Obama Job Approval,CNN/Opinion Research,"Approve 51, Disapprove 46",Approve +5,2010-05-26,2010.0
33,President Obama Job Approval,Democracy Corps (D),"Approve 47, Disapprove 47",Tie,2010-05-26,2010.0
34,President Obama Job Approval,NBC News,"Approve 48, Disapprove 45",Approve +3,2010-05-26,2010.0
35,President Obama Job Approval,Gallup,"Approve 47, Disapprove 44",Approve +3,2010-06-07,2010.0
36,President Obama Job Approval,Rasmussen Reports,"Approve 46, Disapprove 53",Disapprove +7,2010-06-07,2010.0
37,President Obama Job Approval,ABC News/Wash Post,"Approve 52, Disapprove 45",Approve +7,2010-06-08,2010.0
38,Congressional Job Approval,ABC News/Wash Post,"Approve 26, Disapprove 71",Disapprove +45,2010-06-08,2010.0
39,President Obama Job Approval,FOX News,"Approve 46, Disapprove 45",Approve +1,2010-06-11,2010.0
40,Congressional Job Approval,FOX News,"Approve 22, Disapprove 69",Disapprove +47,2010-06-11,2010.0
41,President Obama Job Approval,Associated Press/GfK,"Approve 50, Disapprove 49",Approve +1,2010-06-15,2010.0
42,Congressional Job Approval,Associated Press/GfK,"Approve 24, Disapprove 73",Disapprove +49,2010-06-15,2010.0
43,President Obama Job Approval,Ipsos/McClatchy,"Approve 50, Disapprove 45",Approve +5,2010-06-16,2010.0
44,President Obama Job Approval,CNN/OpinionResearch,"Approve 50, Disapprove 48",Approve +2,2010-06-17,2010.0
45,Congressional Job Approval,CBS News/NY Times,"Approve 19, Disapprove 70",Disapprove +51,2010-06-21,2010.0
46,President Obama Job Approval,CBS News/NY Times,"Approve 47, Disapprove 43",Approve +4,2010-06-21,2010.0
47,President Obama Job Approval,NBC News/Wall St. Jrnl,"Approve 45, Disapprove 48",Disapprove +3,2010-06-23,2010.0
48,Congressional Job Approval,NBC News/Wall St. Jrnl,"Approve 22, Disapprove 73",Disapprove +51,2010-06-23,2010.0
49,President Obama Job Approval,Gallup,"Approve 45, Disapprove 46",Disapprove +1,2010-06-23,2010.0
50,President Obama Job Approval,Rasmussen Reports,"Approve 48, Disapprove 51",Disapprove +3,2010-06-23,2010.0
51,Congressional Job Approval,Gallup,"Approve 20, Disapprove 74",Disapprove +54,2010-06-24,2010.0
52,President Obama Job Approval,Pew Research,"Approve 48, Disapprove 43",Approve +5,2010-06-24,2010.0
53,President Obama Job Approval,Newsweek,"Approve 48, Disapprove 46",Approve +2,2010-06-25,2010.0
54,President Obama Job Approval,Marist,"Approve 44, Disapprove 45",Disapprove +1,2010-06-30,2010.0
55,Congressional Job Approval,FOX News,"Approve 24, Disapprove 66",Disapprove +42,2010-07-01,2010.0
56,President Obama Job Approval,FOX News,"Approve 47, Disapprove 45",Approve +2,2010-07-01,2010.0
57,President Obama Job Approval,Resurgent Republic (R),"Approve 49, Disapprove 48",Approve +1,2010-07-06,2010.0
58,President Obama Job Approval,Democracy Corps (D),"Approve 46, Disapprove 50",Disapprove +4,2010-07-08,2010.0
59,President Obama Job Approval,CBS News,"Approve 44, Disapprove 44",Tie,2010-07-13,2010.0
60,President Obama Job Approval,ABC News/Wash Post,"Approve 50, Disapprove 47",Approve +3,2010-07-13,2010.0
61,President Obama Job Approval,Bloomberg,"Approve 52, Disapprove 44",Approve +8,2010-07-14,2010.0
62,President Obama Job Approval,Gallup,"Approve 46, Disapprove 47",Disapprove +1,2010-07-15,2010.0
63,President Obama Job Approval,Rasmussen Reports,"Approve 46, Disapprove 53",Disapprove +7,2010-07-15,2010.0
64,President Obama Job Approval,Time,"Approve 49, Disapprove 45",Approve +4,2010-07-15,2010.0
65,President Obama Job Approval,FOX News,"Approve 43, Disapprove 48",Disapprove +5,2010-07-15,2010.0
66,President Obama Job Approval,Quinnipiac,"Approve 44, Disapprove 48",Disapprove +4,2010-07-21,2010.0
67,Congressional Job Approval,Gallup,"Approve 20, Disapprove 73",Disapprove +53,2010-07-22,2010.0
68,President Obama Job Approval,CNN/Opinion Research,"Approve 47, Disapprove 50",Disapprove +3,2010-07-22,2010.0
69,President Obama Job Approval,Rasmussen Reports,"Approve 44, Disapprove 56",Disapprove +12,2010-07-27,2010.0
70,President Obama Job Approval,Gallup,"Approve 45, Disapprove 48",Disapprove +3,2010-07-27,2010.0
71,President Obama Job Approval,Reuters/Ipsos,"Approve 48, Disapprove 48",Tie,2010-07-27,2010.0
72,President Obama Job Approval,FOX News,"Approve 43, Disapprove 50",Disapprove +7,2010-07-29,2010.0
73,Congressional Job Approval,FOX News,"Approve 21, Disapprove 71",Disapprove +50,2010-07-29,2010.0
74,President Obama Job Approval,USA Today/Gallup,"Approve 41, Disapprove 53",Disapprove +12,2010-08-03,2010.0
75,President Obama Job Approval,NBC News/Wall St. Jrnl,"Approve 47, Disapprove 48",Disapprove +1,2010-08-11,2010.0
76,President Obama Job Approval,Pew Research,"Approve 47, Disapprove 41",Approve +6,2010-08-11,2010.0
77,Congressional Job Approval,NBC News/Wall St. Jrnl,"Approve 21, Disapprove 72",Disapprove +51,2010-08-11,2010.0
78,Congressional Job Approval,Gallup,"Approve 19, Disapprove 75",Disapprove +56,2010-08-11,2010.0
79,President Obama Job Approval,FOX News,"Approve 43, Disapprove 49",Disapprove +6,2010-08-12,2010.0
80,President Obama Job Approval,CNN/Opinion Research,"Approve 47, Disapprove 51",Disapprove +4,2010-08-12,2010.0
81,President Obama Job Approval,Democracy Corps (D),"Approve 45, Disapprove 51",Disapprove +6,2010-08-12,2010.0
82,President Obama Job Approval,Rasmussen Reports,"Approve 47, Disapprove 52",Disapprove +5,2010-08-16,2010.0
83,President Obama Job Approval,Gallup,"Approve 42, Disapprove 51",Disapprove +9,2010-08-16,2010.0
84,President Obama Job Approval,Rasmussen Reports,"Approve 44, Disapprove 55",Disapprove +11,2010-08-16,2010.0
85,President Obama Job Approval,Gallup,"Approve 47, Disapprove 46",Approve +1,2010-08-17,2010.0
86,President Obama Job Approval,Associated Press/GfK,"Approve 49, Disapprove 50",Disapprove +1,2010-08-18,2010.0
87,Congressional Job Approval,Associated Press/GfK,"Approve 24, Disapprove 74",Disapprove +50,2010-08-18,2010.0
88,President Obama Job Approval,Time,"Approve 46, Disapprove 45",Approve +1,2010-08-19,2010.0
89,President Obama Job Approval,Reuters/Ipsos,"Approve 45, Disapprove 52",Disapprove +7,2010-08-25,2010.0
90,President Obama Job Approval,CBS News,"Approve 48, Disapprove 44",Approve +4,2010-08-26,2010.0
91,Congressional Job Approval,CBS News,"Approve 22, Disapprove 71",Disapprove +49,2010-08-26,2010.0
92,President Obama Job Approval,Newsweek,"Approve 47, Disapprove 45",Approve +2,2010-08-27,2010.0
93,President Obama Job Approval,Gallup,"Approve 43, Disapprove 49",Disapprove +6,2010-08-30,2010.0
94,President Obama Job Approval,Rasmussen Reports,"Approve 46, Disapprove 52",Disapprove +6,2010-08-30,2010.0
95,President Obama Job Approval,CNN/Opinion Research,"Approve 50, Disapprove 49",Approve +1,2010-09-03,2010.0
96,President Obama Job Approval,FOX News,"Approve 46, Disapprove 48",Disapprove +2,2010-09-03,2010.0
97,President Obama Job Approval,USA Today/Gallup,"Approve 43, Disapprove 53",Disapprove +10,2010-09-03,2010.0
98,Congressional Job Approval,ABC News/Wash Post,"Approve 25, Disapprove 72",Disapprove +47,2010-09-07,2010.0
99,President Obama Job Approval,ABC News/Wash Post,"Approve 46, Disapprove 52",Disapprove +6,2010-09-07,2010.0
100,Congressional Job Approval,NBC News/Wall St. Jrnl,"Approve 21, Disapprove 71",Disapprove +50,2010-09-07,2010.0
101,President Obama Job Approval,National Journal/FD,"Approve 46, Disapprove 49",Disapprove +3,2010-09-07,2010.0
102,President Obama Job Approval,NBC News/Wall St. Jrnl,"Approve 45, Disapprove 49",Disapprove +4,2010-09-07,2010.0
103,President Obama Job Approval,Democracy Corps (D),"Approve 46, Disapprove 50",Disapprove +4,2010-09-08,2010.0
104,President Obama Job Approval,Quinnipiac,"Approve 44, Disapprove 47",Disapprove +3,2010-09-09,2010.0
105,President Obama Job Approval,Democracy Corps (D),"Approve 49, Disapprove 47",Approve +2,2010-09-15,2010.0
106,President Obama Job Approval,Associated Press/GfK,"Approve 49, Disapprove 50",Disapprove +1,2010-09-15,2010.0
107,Congressional Job Approval,CBS News/NY Times,"Approve 21, Disapprove 70",Disapprove +49,2010-09-15,2010.0
108,President Obama Job Approval,CBS News/NY Times,"Approve 45, Disapprove 47",Disapprove +2,2010-09-15,2010.0
109,President Obama Job Approval,Politico/GWU/Battleground,"Approve 45, Disapprove 48",Disapprove +3,2010-09-16,2010.0
110,Congressional Job Approval,Politico/GWU/Battleground,"Approve 25, Disapprove 64",Disapprove +39,2010-09-16,2010.0
111,Congressional Job Approval,Associated Press/GfK,"Approve 26, Disapprove 73",Disapprove +47,2010-09-16,2010.0
112,President Obama Job Approval,FOX News,"Approve 42, Disapprove 52",Disapprove +10,2010-09-18,2010.0
113,President Obama Job Approval,Gallup,"Approve 47, Disapprove 46",Approve +1,2010-09-19,2010.0
114,President Obama Job Approval,Rasmussen Reports,"Approve 45, Disapprove 55",Disapprove +10,2010-09-19,2010.0
115,Congressional Job Approval,Gallup,"Approve 18, Disapprove 77",Disapprove +59,2010-09-20,2010.0
116,President Obama Job Approval,Reuters/Ipsos,"Approve 47, Disapprove 50",Disapprove +3,2010-09-21,2010.0
117,President Obama Job Approval,McClatchy/Marist,"Approve 45, Disapprove 50",Disapprove +5,2010-09-22,2010.0
118,President Obama Job Approval,Pew Research,"Approve 47, Disapprove 44",Approve +3,2010-09-23,2010.0
119,President Obama Job Approval,CNN/Opinion Research,"Approve 42, Disapprove 54",Disapprove +12,2010-09-24,2010.0
120,Congressional Job Approval,Politico/GWU/Battleground,"Approve 27, Disapprove 63",Disapprove +36,2010-09-27,2010.0
121,President Obama Job Approval,Politico/GWU/Battleground,"Approve 46, Disapprove 51",Disapprove +5,2010-09-27,2010.0
122,Congressional Job Approval,NBC News/Wall St. Jrnl,"Approve 20, Disapprove 73",Disapprove +53,2010-09-28,2010.0
123,President Obama Job Approval,NBC News/Wall St. Jrnl,"Approve 46, Disapprove 49",Disapprove +3,2010-09-28,2010.0
124,Congressional Job Approval,FOX News,"Approve 17, Disapprove 72",Disapprove +55,2010-09-30,2010.0
125,President Obama Job Approval,FOX News,"Approve 42, Disapprove 49",Disapprove +7,2010-09-30,2010.0
126,President Obama Job Approval,Newsweek,"Approve 48, Disapprove 46",Approve +2,2010-10-01,2010.0
127,President Obama Job Approval,Gallup,"Approve 46, Disapprove 48",Disapprove +2,2010-10-04,2010.0
128,President Obama Job Approval,Rasmussen Reports,"Approve 48, Disapprove 51",Disapprove +3,2010-10-04,2010.0
129,President Obama Job Approval,ABC News/Wash Post,"Approve 50, Disapprove 47",Approve +3,2010-10-05,2010.0
130,Congressional Job Approval,ABC News/Wash Post,"Approve 24, Disapprove 73",Disapprove +49,2010-10-05,2010.0
131,President Obama Job Approval,Gallup,"Approve 46, Disapprove 46",Tie,2010-10-06,2010.0
132,President Obama Job Approval,Democracy Corps (D),"Approve 42, Disapprove 52",Disapprove +10,2010-10-06,2010.0
133,President Obama Job Approval,Rasmussen Reports,"Approve 49, Disapprove 50",Disapprove +1,2010-10-06,2010.0
134,President Obama Job Approval,Gallup,"Approve 46, Disapprove 48",Disapprove +2,2010-10-06,2010.0
135,President Obama Job Approval,Rasmussen Reports,"Approve 47, Disapprove 52",Disapprove +5,2010-10-06,2010.0
136,President Obama Job Approval,McClatchy/Marist,"Approve 43, Disapprove 50",Disapprove +7,2010-10-07,2010.0
137,President Obama Job Approval,CBS News,"Approve 44, Disapprove 45",Disapprove +1,2010-10-07,2010.0
138,President Obama Job Approval,CNN/Opinion Research,"Approve 45, Disapprove 52",Disapprove +7,2010-10-08,2010.0
139,President Obama Job Approval,Bloomberg,"Approve 47, Disapprove 48",Disapprove +1,2010-10-12,2010.0
140,President Obama Job Approval,Reuters/Ipsos,"Approve 43, Disapprove 53",Disapprove +10,2010-10-13,2010.0
141,President Obama Job Approval,FOX News,"Approve 43, Disapprove 47",Disapprove +4,2010-10-14,2010.0
142,President Obama Job Approval,NBC News/Wall St. Jrnl,"Approve 47, Disapprove 49",Disapprove +2,2010-10-19,2010.0
143,Congressional Job Approval,Associated Press/GfK,"Approve 23, Disapprove 75",Disapprove +52,2010-10-20,2010.0
144,President Obama Job Approval,Associated Press/GfK,"Approve 49, Disapprove 50",Disapprove +1,2010-10-20,2010.0
145,President Obama Job Approval,Pew Research,"Approve 46, Disapprove 45",Approve +1,2010-10-21,2010.0
146,President Obama Job Approval,Newsweek*,"Approve 54, Disapprove 40",Approve +14,2010-10-22,2010.0
147,President Obama Job Approval,Gallup,"Approve 41, Disapprove 50",Disapprove +9,2010-10-24,2010.0
148,President Obama Job Approval,Rasmussen Reports,"Approve 47, Disapprove 53",Disapprove +6,2010-10-24,2010.0
149,President Obama Job Approval,Politico/GWU/Battleground,"Approve 46, Disapprove 51",Disapprove +5,2010-10-25,2010.0
150,President Obama Job Approval,CBS News/NY Times,"Approve 45, Disapprove 47",Disapprove +2,2010-10-27,2010.0
151,President Obama Job Approval,Schoen,"Approve 42, Disapprove 57",Disapprove +15,2010-10-27,2010.0
152,President Obama Job Approval,McClatchy/Marist,"Approve 48, Disapprove 43",Approve +5,2010-10-27,2010.0
153,Congressional Job Approval,CBS News/NY Times,"Approve 14, Disapprove 76",Disapprove +62,2010-10-27,2010.0
154,Congressional Job Approval,FOX News,"Approve 19, Disapprove 70",Disapprove +51,2010-10-29,2010.0
155,President Obama Job Approval,FOX News,"Approve 41, Disapprove 50",Disapprove +9,2010-10-29,2010.0
156,Congressional Job Approval,ABC News/Wash Post,"Approve 23, Disapprove 74",Disapprove +51,2010-10-31,2010.0
157,President Obama Job Approval,ABC News/Wash Post,"Approve 50, Disapprove 45",Approve +5,2010-10-31,2010.0
158,President Obama Job Approval,CNN/Opinion Research,"Approve 46, Disapprove 51",Disapprove +5,2010-10-31,2010.0
159,President Obama Job Approval,Reuters/Ipsos,"Approve 45, Disapprove 51",Disapprove +6,2010-11-01,2010.0
160,President Obama Job Approval,NBC News/Wall St. Jrnl,"Approve 45, Disapprove 50",Disapprove +5,2010-11-01,2010.0
161,Congressional Job Approval,Associated Press/GfK,"Approve 26, Disapprove 71",Disapprove +45,2010-11-10,2010.0
162,President Obama Job Approval,Associated Press/GfK,"Approve 47, Disapprove 51",Disapprove +4,2010-11-10,2010.0
163,President Obama Job Approval,Pew Research,"Approve 44, Disapprove 44",Tie,2010-11-11,2010.0
164,Congressional Job Approval,Gallup,"Approve 17, Disapprove 77",Disapprove +60,2010-11-11,2010.0
165,President Obama Job Approval,CBS News,"Approve 45, Disapprove 45",Tie,2010-11-11,2010.0
166,President Obama Job Approval,CNN/Opinion Research,"Approve 48, Disapprove 50",Disapprove +2,2010-11-15,2010.0
167,President Obama Job Approval,Quinnipiac,"Approve 44, Disapprove 49",Disapprove +5,2010-11-17,2010.0
168,President Obama Job Approval,NBC News/Wall St. Jrnl,"Approve 47, Disapprove 47",Tie,2010-11-18,2010.0
169,President Obama Job Approval,McClatchy/Marist,"Approve 45, Disapprove 48",Disapprove +3,2010-11-23,2010.0
170,President Obama Job Approval,USA Today/Gallup,"Approve 42, Disapprove 54",Disapprove +12,2010-11-23,2010.0
171,President Obama Job Approval,Associated Press/CNBC,"Approve 48, Disapprove 48",Tie,2010-11-30,2010.0
172,President Obama Job Approval,Gallup,"Approve 46, Disapprove 47",Disapprove +1,2010-12-01,2010.0
173,President Obama Job Approval,Rasmussen Reports,"Approve 47, Disapprove 52",Disapprove +5,2010-12-02,2010.0
174,President Obama Job Approval,CBS News,"Approve 48, Disapprove 42",Approve +6,2010-12-03,2010.0
175,Congressional Job Approval,CBS News,"Approve 17, Disapprove 72",Disapprove +55,2010-12-03,2010.0
176,President Obama Job Approval,Gallup,"Approve 47, Disapprove 44",Approve +3,2010-12-04,2010.0
177,President Obama Job Approval,Rasmussen Reports,"Approve 43, Disapprove 56",Disapprove +13,2010-12-04,2010.0
178,President Obama Job Approval,Pew Research,"Approve 45, Disapprove 43",Approve +2,2010-12-07,2010.0
179,President Obama Job Approval,Reuters/Ipsos,"Approve 45, Disapprove 46",Disapprove +1,2010-12-07,2010.0
180,President Obama Job Approval,National Journal/FD,"Approve 48, Disapprove 46",Approve +2,2010-12-08,2010.0
181,President Obama Job Approval,Bloomberg,"Approve 47, Disapprove 48",Disapprove +1,2010-12-09,2010.0
182,President Obama Job Approval,McClatchy/Marist,"Approve 42, Disapprove 50",Disapprove +8,2010-12-11,2010.0
183,President Obama Job Approval,ABC News/Wash Post,"Approve 49, Disapprove 47",Approve +2,2010-12-14,2010.0
184,Congressional Job Approval,Gallup,"Approve 13, Disapprove 83",Disapprove +70,2010-12-15,2010.0
185,President Obama Job Approval,NBC News/Wall St. Jrnl,"Approve 45, Disapprove 48",Disapprove +3,2010-12-15,2010.0
186,President Obama Job Approval,FOX News,"Approve 40, Disapprove 51",Disapprove +11,2010-12-16,2010.0
187,President Obama Job Approval,CNN/Opinion Research,"Approve 48, Disapprove 48",Tie,2010-12-20,2010.0
188,President Obama Job Approval,Rasmussen Reports,"Approve 48, Disapprove 50",Disapprove +2,2011-01-07,2011.0
189,President Obama Job Approval,Gallup,"Approve 46, Disapprove 48",Disapprove +2,2011-01-07,2011.0
190,Congressional Job Approval,Associated Press/GfK,"Approve 26, Disapprove 69",Disapprove +43,2011-01-12,2011.0
191,President Obama Job Approval,Associated Press/GfK,"Approve 53, Disapprove 46",Approve +7,2011-01-12,2011.0
192,Congressional Job Approval,Gallup,"Approve 20, Disapprove 73",Disapprove +53,2011-01-12,2011.0
193,President Obama Job Approval,Reuters/Ipsos,"Approve 50, Disapprove 47",Approve +3,2011-01-12,2011.0
194,President Obama Job Approval,Pew Research,"Approve 46, Disapprove 44",Approve +2,2011-01-13,2011.0
195,President Obama Job Approval,Quinnipiac,"Approve 48, Disapprove 44",Approve +4,2011-01-13,2011.0
196,President Obama Job Approval,McClatchy/Marist,"Approve 48, Disapprove 43",Approve +5,2011-01-14,2011.0
197,President Obama Job Approval,Gallup,"Approve 48, Disapprove 52",Disapprove +4,2011-01-17,2011.0
198,President Obama Job Approval,Rasmussen Reports,"Approve 46, Disapprove 53",Disapprove +7,2011-01-17,2011.0
199,Congressional Job Approval,ABC News/Wash Post,"Approve 28, Disapprove 66",Disapprove +38,2011-01-18,2011.0
200,President Obama Job Approval,CNN/Opinion Research,"Approve 53, Disapprove 45",Approve +8,2011-01-18,2011.0
201,President Obama Job Approval,ABC News/Wash Post,"Approve 54, Disapprove 43",Approve +11,2011-01-18,2011.0
202,President Obama Job Approval,Democracy Corps (D),"Approve 47, Disapprove 47",Tie,2011-01-18,2011.0
203,President Obama Job Approval,NBC News/Wall St. Jrnl,"Approve 53, Disapprove 41",Approve +12,2011-01-19,2011.0
204,President Obama Job Approval,Gallup,"Approve 50, Disapprove 42",Approve +8,2011-01-19,2011.0
205,President Obama Job Approval,FOX News,"Approve 47, Disapprove 44",Approve +3,2011-01-20,2011.0
206,Congressional Job Approval,FOX News,"Approve 22, Disapprove 65",Disapprove +43,2011-01-20,2011.0
207,President Obama Job Approval,CBS News/NY Times,"Approve 49, Disapprove 39",Approve +10,2011-01-20,2011.0
208,President Trump Job Approval,ABC News/Wash Post,"Approve 38, Disapprove 58",Disapprove +20,2011-01-21,2011.0
209,President Trump Job Approval,Gallup,"Approve 36, Disapprove 59",Disapprove +23,2011-01-22,2011.0
210,Congressional Job Approval,FOX News,"Approve 15, Disapprove 70",Disapprove +55,2011-01-24,2011.0
211,Congressional Job Approval,Reuters/Ipsos,"Approve 18, Disapprove 72",Disapprove +54,2011-01-24,2011.0
212,Congressional Job Approval,Economist/YouGov,"Approve 9, Disapprove 76",Disapprove +67,2011-01-24,2011.0
213,President Trump Job Approval,Reuters/Ipsos,"Approve 37, Disapprove 59",Disapprove +22,2011-01-24,2011.0
214,President Trump Job Approval,Harvard-Harris,"Approve 44, Disapprove 56",Disapprove +12,2011-01-24,2011.0
215,President Trump Job Approval,Economist/YouGov,"Approve 43, Disapprove 54",Disapprove +11,2011-01-24,2011.0
216,President Trump Job Approval,FOX News,"Approve 45, Disapprove 53",Disapprove +8,2011-01-24,2011.0
217,President Obama Job Approval,Rasmussen Reports,"Approve 52, Disapprove 47",Approve +5,2011-01-24,2011.0
218,President Obama Job Approval,CNN/Opinion Research,"Approve 55, Disapprove 44",Approve +11,2011-01-24,2011.0
219,Congressional Job Approval,CNN/Opinion Research,"Approve 26, Disapprove 72",Disapprove +46,2011-01-24,2011.0
220,President Trump Job Approval,Quinnipiac,"Approve 36, Disapprove 58",Disapprove +22,2011-01-25,2011.0
221,President Trump Job Approval,Gallup,"Approve 38, Disapprove 58",Disapprove +20,2011-01-29,2011.0
222,President Trump Job Approval,Monmouth,"Approve 44, Disapprove 48",Disapprove +4,2011-01-31,2011.0
223,President Trump Job Approval,Reuters/Ipsos,"Approve 41, Disapprove 53",Disapprove +12,2011-01-31,2011.0
224,President Trump Job Approval,Economist/YouGov,"Approve 44, Disapprove 53",Disapprove +9,2011-01-31,2011.0
225,Congressional Job Approval,Economist/YouGov,"Approve 9, Disapprove 74",Disapprove +65,2011-01-31,2011.0
226,Congressional Job Approval,Reuters/Ipsos,"Approve 25, Disapprove 66",Disapprove +41,2011-01-31,2011.0
227,Congressional Job Approval,Monmouth,"Approve 20, Disapprove 69",Disapprove +49,2011-01-31,2011.0
228,President Trump Job Approval,Gallup,"Approve 40, Disapprove 57",Disapprove +17,2011-02-05,2011.0
229,President Trump Job Approval,IBD/TIPP,"Approve 35, Disapprove 58",Disapprove +23,2011-02-06,2011.0
230,President Trump Job Approval,Quinnipiac,"Approve 40, Disapprove 55",Disapprove +15,2011-02-07,2011.0
231,President Trump Job Approval,Reuters/Ipsos,"Approve 40, Disapprove 54",Disapprove +14,2011-02-07,2011.0
232,President Trump Job Approval,Economist/YouGov,"Approve 45, Disapprove 53",Disapprove +8,2011-02-07,2011.0
233,Congressional Job Approval,Economist/YouGov,"Approve 11, Disapprove 70",Disapprove +59,2011-02-07,2011.0
234,Congressional Job Approval,Quinnipiac,"Approve 15, Disapprove 77",Disapprove +62,2011-02-07,2011.0
235,Congressional Job Approval,Reuters/Ipsos,"Approve 21, Disapprove 68",Disapprove +47,2011-02-07,2011.0
236,President Trump Job Approval,Marist,"Approve 39, Disapprove 56",Disapprove +17,2011-02-09,2011.0
237,President Trump Job Approval,Gallup,"Approve 40, Disapprove 57",Disapprove +17,2011-02-12,2011.0
238,President Trump Job Approval,Economist/YouGov,"Approve 45, Disapprove 50",Disapprove +5,2011-02-14,2011.0
239,President Trump Job Approval,Reuters/Ipsos,"Approve 39, Disapprove 54",Disapprove +15,2011-02-14,2011.0
240,President Trump Job Approval,PPP (D),"Approve 44, Disapprove 50",Disapprove +6,2011-02-14,2011.0
241,Congressional Job Approval,PPP (D),"Approve 10, Disapprove 73",Disapprove +63,2011-02-14,2011.0
242,Congressional Job Approval,Gallup,"Approve 15, Disapprove 81",Disapprove +66,2011-02-14,2011.0
243,Congressional Job Approval,Reuters/Ipsos,"Approve 23, Disapprove 66",Disapprove +43,2011-02-14,2011.0
244,President Trump Job Approval,FOX News,"Approve 43, Disapprove 53",Disapprove +10,2011-02-14,2011.0
245,Public Approval of Health Care Law,PPP (D),"For/Favor 47, Against/Oppose 35",For/Favor +12,2011-02-14,2011.0
246,Congressional Job Approval,Economist/YouGov,"Approve 12, Disapprove 68",Disapprove +56,2011-02-14,2011.0
247,President Trump Job Approval,Gallup,"Approve 37, Disapprove 59",Disapprove +22,2011-02-19,2011.0
248,President Trump Job Approval,Harvard-Harris,"Approve 45, Disapprove 55",Disapprove +10,2011-02-21,2011.0
249,President Trump Job Approval,Reuters/Ipsos,"Approve 40, Disapprove 55",Disapprove +15,2011-02-21,2011.0
250,President Trump Job Approval,Quinnipiac,"Approve 37, Disapprove 58",Disapprove +21,2011-02-21,2011.0
251,President Trump Job Approval,Economist/YouGov,"Approve 44, Disapprove 51",Disapprove +7,2011-02-21,2011.0
252,Congressional Job Approval,Reuters/Ipsos,"Approve 19, Disapprove 66",Disapprove +47,2011-02-21,2011.0
