Race/Topic (Click to Sort),Poll,Results,Spread,Date,Year
Direction of Country,ABC News/Wash Post,"Right Direction 27, Wrong Track 71",Wrong Track +44,2010-10-31,2010
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 31, Wrong Track 60",Wrong Track +29,2010-11-01,2010
Direction of Country,Reuters/Ipsos,"Right Direction 33, Wrong Track 62",Wrong Track +29,2010-11-01,2010
Direction of Country,Rasmussen Reports,"Right Direction 31, Wrong Track 65",Wrong Track +34,2010-11-05,2010
Direction of Country,Associated Press/GfK,"Right Direction 37, Wrong Track 58",Wrong Track +21,2010-11-10,2010
Direction of Country,Rasmussen Reports,"Right Direction 28, Wrong Track 67",Wrong Track +39,2010-11-11,2010
Direction of Country,Rasmussen Reports,"Right Direction 26, Wrong Track 67",Wrong Track +41,2010-11-17,2010
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 32, Wrong Track 58",Wrong Track +26,2010-11-18,2010
Direction of Country,McClatchy/Marist,"Right Direction 41, Wrong Track 53",Wrong Track +12,2010-11-23,2010
Direction of Country,Rasmussen Reports,"Right Direction 28, Wrong Track 66",Wrong Track +38,2010-11-24,2010
Direction of Country,Associated Press/CNBC,"Right Direction 35, Wrong Track 61",Wrong Track +26,2010-11-30,2010
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 67",Wrong Track +38,2010-12-01,2010
Direction of Country,Reuters/Ipsos,"Right Direction 29, Wrong Track 62",Wrong Track +33,2010-12-07,2010
Direction of Country,National Journal/FD,"Right Direction 30, Wrong Track 60",Wrong Track +30,2010-12-08,2010
Direction of Country,Rasmussen Reports,"Right Direction 26, Wrong Track 70",Wrong Track +44,2010-12-08,2010
Direction of Country,Bloomberg,"Right Direction 27, Wrong Track 66",Wrong Track +39,2010-12-08,2010
Direction of Country,ABC News/Wash Post,"Right Direction 31, Wrong Track 67",Wrong Track +36,2010-12-14,2010
Direction of Country,Rasmussen Reports,"Right Direction 23, Wrong Track 71",Wrong Track +48,2010-12-15,2010
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 28, Wrong Track 63",Wrong Track +35,2010-12-15,2010
Direction of Country,Rasmussen Reports,"Right Direction 23, Wrong Track 71",Wrong Track +48,2010-12-22,2010
Direction of Country,Rasmussen Reports,"Right Direction 31, Wrong Track 64",Wrong Track +33,2010-12-29,2010
Direction of Country,Rasmussen Reports,"Right Direction 27, Wrong Track 67",Wrong Track +40,2011-01-05,2011
Direction of Country,Associated Press/GfK,"Right Direction 37, Wrong Track 57",Wrong Track +20,2011-01-12,2011
Direction of Country,Reuters/Ipsos,"Right Direction 36, Wrong Track 59",Wrong Track +23,2011-01-12,2011
Direction of Country,Rasmussen Reports,"Right Direction 26, Wrong Track 68",Wrong Track +42,2011-01-12,2011
Direction of Country,McClatchy/Marist,"Right Direction 41, Wrong Track 47",Wrong Track +6,2011-01-14,2011
Direction of Country,Democracy Corps (D),"Right Direction 33, Wrong Track 58",Wrong Track +25,2011-01-18,2011
Direction of Country,ABC News/Wash Post,"Right Direction 38, Wrong Track 60",Wrong Track +22,2011-01-18,2011
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 35, Wrong Track 56",Wrong Track +21,2011-01-19,2011
Direction of Country,Rasmussen Reports,"Right Direction 27, Wrong Track 66",Wrong Track +39,2011-01-19,2011
Direction of Country,CBS News/NY Times,"Right Direction 32, Wrong Track 64",Wrong Track +32,2011-01-20,2011
Direction of Country,Rasmussen Reports,"Right Direction 39, Wrong Track 55",Wrong Track +16,2011-01-22,2011
Direction of Country,Economist/YouGov,"Right Direction 37, Wrong Track 55",Wrong Track +18,2011-01-24,2011
Direction of Country,Reuters/Ipsos,"Right Direction 30, Wrong Track 58",Wrong Track +28,2011-01-24,2011
Direction of Country,Harvard-Harris,"Right Direction 35, Wrong Track 54",Wrong Track +19,2011-01-24,2011
Direction of Country,Rasmussen Reports,"Right Direction 39, Wrong Track 55",Wrong Track +16,2011-01-29,2011
Direction of Country,Economist/YouGov,"Right Direction 39, Wrong Track 51",Wrong Track +12,2011-01-31,2011
Direction of Country,Reuters/Ipsos,"Right Direction 35, Wrong Track 54",Wrong Track +19,2011-01-31,2011
Direction of Country,Monmouth,"Right Direction 39, Wrong Track 55",Wrong Track +16,2011-01-31,2011
Direction of Country,Rasmussen Reports,"Right Direction 42, Wrong Track 53",Wrong Track +11,2011-02-05,2011
Direction of Country,IBD/TIPP,"Right Direction 45, Wrong Track 54",Wrong Track +9,2011-02-06,2011
Direction of Country,Economist/YouGov,"Right Direction 39, Wrong Track 52",Wrong Track +13,2011-02-07,2011
Direction of Country,Reuters/Ipsos,"Right Direction 32, Wrong Track 55",Wrong Track +23,2011-02-07,2011
Direction of Country,Marist,"Right Direction 37, Wrong Track 57",Wrong Track +20,2011-02-09,2011
Direction of Country,Rasmussen Reports,"Right Direction 43, Wrong Track 52",Wrong Track +9,2011-02-12,2011
Direction of Country,Economist/YouGov,"Right Direction 39, Wrong Track 52",Wrong Track +13,2011-02-14,2011
Direction of Country,Reuters/Ipsos,"Right Direction 32, Wrong Track 56",Wrong Track +24,2011-02-14,2011
Direction of Country,Rasmussen Reports,"Right Direction 40, Wrong Track 55",Wrong Track +15,2011-02-19,2011
Direction of Country,Economist/YouGov,"Right Direction 35, Wrong Track 55",Wrong Track +20,2011-02-21,2011
Direction of Country,Harvard-Harris,"Right Direction 37, Wrong Track 54",Wrong Track +17,2011-02-21,2011
Direction of Country,Reuters/Ipsos,"Right Direction 31, Wrong Track 57",Wrong Track +26,2011-02-21,2011
Direction of Country,Rasmussen Reports,"Right Direction 37, Wrong Track 56",Wrong Track +19,2011-02-26,2011
Direction of Country,Economist/YouGov,"Right Direction 34, Wrong Track 58",Wrong Track +24,2011-02-28,2011
Direction of Country,Reuters/Ipsos,"Right Direction 31, Wrong Track 57",Wrong Track +26,2011-02-28,2011
Direction of Country,USA Today/Suffolk,"Right Direction 29, Wrong Track 60",Wrong Track +31,2011-03-01,2011
Direction of Country,Rasmussen Reports,"Right Direction 40, Wrong Track 53",Wrong Track +13,2011-03-05,2011
Direction of Country,Resurgent Republic (R),"Right Direction 26, Wrong Track 65",Wrong Track +39,2011-03-06,2011
Direction of Country,Monmouth,"Right Direction 33, Wrong Track 60",Wrong Track +27,2011-03-07,2011
Direction of Country,Economist/YouGov,"Right Direction 34, Wrong Track 56",Wrong Track +22,2011-03-07,2011
Direction of Country,Reuters/Ipsos,"Right Direction 31, Wrong Track 56",Wrong Track +25,2011-03-07,2011
Direction of Country,Rasmussen Reports,"Right Direction 27, Wrong Track 68",Wrong Track +41,2011-03-09,2011
Direction of Country,Reuters/Ipsos,"Right Direction 31, Wrong Track 64",Wrong Track +33,2011-03-09,2011
Direction of Country,Bloomberg,"Right Direction 28, Wrong Track 63",Wrong Track +35,2011-03-10,2011
Direction of Country,Rasmussen Reports,"Right Direction 22, Wrong Track 72",Wrong Track +50,2011-03-16,2011
Direction of Country,National Journal/FD,"Right Direction 26, Wrong Track 60",Wrong Track +34,2011-03-18,2011
Direction of Country,Rasmussen Reports,"Right Direction 23, Wrong Track 71",Wrong Track +48,2011-03-23,2011
Direction of Country,Associated Press/GfK,"Right Direction 35, Wrong Track 62",Wrong Track +27,2011-03-31,2011
Direction of Country,FDU/Public Mind,"Right Direction 27, Wrong Track 59",Wrong Track +32,2011-03-31,2011
Direction of Country,Rasmussen Reports,"Right Direction 25, Wrong Track 68",Wrong Track +43,2011-03-31,2011
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 28, Wrong Track 63",Wrong Track +35,2011-04-06,2011
Direction of Country,Rasmussen Reports,"Right Direction 24, Wrong Track 72",Wrong Track +48,2011-04-06,2011
Direction of Country,Rasmussen Reports,"Right Direction 23, Wrong Track 69",Wrong Track +46,2011-04-13,2011
Direction of Country,Reuters/Ipsos,"Right Direction 25, Wrong Track 69",Wrong Track +44,2011-04-13,2011
Direction of Country,Democracy Corps (D),"Right Direction 26, Wrong Track 65",Wrong Track +39,2011-04-15,2011
Direction of Country,McClatchy/Marist,"Right Direction 31, Wrong Track 64",Wrong Track +33,2011-04-19,2011
Direction of Country,Rasmussen Reports,"Right Direction 22, Wrong Track 70",Wrong Track +48,2011-04-20,2011
Direction of Country,CBS News/NY Times,"Right Direction 26, Wrong Track 70",Wrong Track +44,2011-04-21,2011
Direction of Country,Rasmussen Reports,"Right Direction 21, Wrong Track 71",Wrong Track +50,2011-04-27,2011
Direction of Country,Hearst/F&M;,"Right Direction 26, Wrong Track 66",Wrong Track +40,2011-04-28,2011
Direction of Country,Newsweek/Daily Beast,"Right Direction 20, Wrong Track 65",Wrong Track +45,2011-05-02,2011
Direction of Country,Newsweek/Daily Beast,"Right Direction 27, Wrong Track 60",Wrong Track +33,2011-05-03,2011
Direction of Country,Rasmussen Reports,"Right Direction 25, Wrong Track 67",Wrong Track +42,2011-05-04,2011
Direction of Country,NBC News,"Right Direction 36, Wrong Track 50",Wrong Track +14,2011-05-09,2011
Direction of Country,Reuters/Ipsos,"Right Direction 38, Wrong Track 56",Wrong Track +18,2011-05-11,2011
Direction of Country,Associated Press/GfK,"Right Direction 45, Wrong Track 52",Wrong Track +7,2011-05-11,2011
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 64",Wrong Track +35,2011-05-11,2011
Direction of Country,Politico/GWU/Battleground,"Right Direction 32, Wrong Track 60",Wrong Track +28,2011-05-16,2011
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 64",Wrong Track +35,2011-05-18,2011
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 63",Wrong Track +34,2011-05-25,2011
Direction of Country,Rasmussen Reports,"Right Direction 26, Wrong Track 66",Wrong Track +40,2011-06-01,2011
Direction of Country,Democracy Corps (D),"Right Direction 33, Wrong Track 58",Wrong Track +25,2011-06-02,2011
Direction of Country,National Journal/FD,"Right Direction 28, Wrong Track 58",Wrong Track +30,2011-06-03,2011
Direction of Country,ABC News/Wash Post,"Right Direction 32, Wrong Track 66",Wrong Track +34,2011-06-07,2011
Direction of Country,Rasmussen Reports,"Right Direction 28, Wrong Track 64",Wrong Track +36,2011-06-08,2011
Direction of Country,CBS News,"Right Direction 31, Wrong Track 60",Wrong Track +29,2011-06-09,2011
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 29, Wrong Track 62",Wrong Track +33,2011-06-15,2011
Direction of Country,Rasmussen Reports,"Right Direction 27, Wrong Track 65",Wrong Track +38,2011-06-15,2011
Direction of Country,Bloomberg,"Right Direction 26, Wrong Track 66",Wrong Track +40,2011-06-22,2011
Direction of Country,Associated Press/GfK,"Right Direction 33, Wrong Track 63",Wrong Track +30,2011-06-22,2011
Direction of Country,Rasmussen Reports,"Right Direction 26, Wrong Track 65",Wrong Track +39,2011-06-22,2011
Direction of Country,Democracy Corps (D),"Right Direction 28, Wrong Track 61",Wrong Track +33,2011-06-27,2011
Direction of Country,McClatchy/Marist,"Right Direction 32, Wrong Track 59",Wrong Track +27,2011-06-28,2011
Direction of Country,Rasmussen Reports,"Right Direction 24, Wrong Track 68",Wrong Track +44,2011-06-29,2011
Direction of Country,CBS News/NY Times,"Right Direction 28, Wrong Track 63",Wrong Track +35,2011-06-29,2011
Direction of Country,Rasmussen Reports,"Right Direction 25, Wrong Track 68",Wrong Track +43,2011-07-06,2011
Direction of Country,Rasmussen Reports,"Right Direction 25, Wrong Track 68",Wrong Track +43,2011-07-13,2011
Direction of Country,Reuters/Ipsos,"Right Direction 31, Wrong Track 63",Wrong Track +32,2011-07-13,2011
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 25, Wrong Track 67",Wrong Track +42,2011-07-19,2011
Direction of Country,Rasmussen Reports,"Right Direction 21, Wrong Track 71",Wrong Track +50,2011-07-20,2011
Direction of Country,Rasmussen Reports,"Right Direction 17, Wrong Track 75",Wrong Track +58,2011-07-27,2011
Direction of Country,Rasmussen Reports,"Right Direction 14, Wrong Track 80",Wrong Track +66,2011-08-03,2011
Direction of Country,McClatchy/Marist,"Right Direction 21, Wrong Track 70",Wrong Track +49,2011-08-09,2011
Direction of Country,Reuters/Ipsos,"Right Direction 21, Wrong Track 73",Wrong Track +52,2011-08-10,2011
Direction of Country,Rasmussen Reports,"Right Direction 16, Wrong Track 77",Wrong Track +61,2011-08-10,2011
Direction of Country,Democracy Corps (D),"Right Direction 16, Wrong Track 75",Wrong Track +59,2011-08-12,2011
Direction of Country,Rasmussen Reports,"Right Direction 15, Wrong Track 80",Wrong Track +65,2011-08-17,2011
Direction of Country,Rasmussen Reports,"Right Direction 14, Wrong Track 79",Wrong Track +65,2011-08-24,2011
Direction of Country,Associated Press/GfK,"Right Direction 21, Wrong Track 75",Wrong Track +54,2011-08-25,2011
Direction of Country,Rasmussen Reports,"Right Direction 16, Wrong Track 76",Wrong Track +60,2011-08-31,2011
Direction of Country,ABC News/Wash Post,"Right Direction 20, Wrong Track 77",Wrong Track +57,2011-09-06,2011
Direction of Country,Rasmussen Reports,"Right Direction 18, Wrong Track 76",Wrong Track +58,2011-09-07,2011
Direction of Country,Rasmussen Reports,"Right Direction 17, Wrong Track 75",Wrong Track +58,2011-09-14,2011
Direction of Country,Bloomberg,"Right Direction 20, Wrong Track 72",Wrong Track +52,2011-09-14,2011
Direction of Country,Reuters/Ipsos,"Right Direction 25, Wrong Track 68",Wrong Track +43,2011-09-14,2011
Direction of Country,CBS News/NY Times,"Right Direction 23, Wrong Track 72",Wrong Track +49,2011-09-17,2011
Direction of Country,McClatchy/Marist,"Right Direction 22, Wrong Track 73",Wrong Track +51,2011-09-20,2011
Direction of Country,Rasmussen Reports,"Right Direction 19, Wrong Track 75",Wrong Track +56,2011-09-21,2011
Direction of Country,Rasmussen Reports,"Right Direction 17, Wrong Track 75",Wrong Track +58,2011-09-28,2011
Direction of Country,CBS News,"Right Direction 19, Wrong Track 73",Wrong Track +54,2011-10-03,2011
Direction of Country,Rasmussen Reports,"Right Direction 18, Wrong Track 75",Wrong Track +57,2011-10-05,2011
Direction of Country,Reuters/Ipsos,"Right Direction 21, Wrong Track 74",Wrong Track +53,2011-10-12,2011
Direction of Country,Rasmussen Reports,"Right Direction 16, Wrong Track 77",Wrong Track +61,2011-10-12,2011
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 17, Wrong Track 74",Wrong Track +57,2011-10-13,2011
Direction of Country,Time,"Right Direction 14, Wrong Track 81",Wrong Track +67,2011-10-13,2011
Direction of Country,National Journal/FD,"Right Direction 20, Wrong Track 70",Wrong Track +50,2011-10-14,2011
Direction of Country,Rasmussen Reports,"Right Direction 15, Wrong Track 78",Wrong Track +63,2011-10-19,2011
Direction of Country,Associated Press/GfK,"Right Direction 24, Wrong Track 72",Wrong Track +48,2011-10-20,2011
Direction of Country,Democracy Corps (D),"Right Direction 15, Wrong Track 76",Wrong Track +61,2011-10-20,2011
Direction of Country,CBS News/NY Times,"Right Direction 21, Wrong Track 74",Wrong Track +53,2011-10-25,2011
Direction of Country,Rasmussen Reports,"Right Direction 16, Wrong Track 77",Wrong Track +61,2011-10-26,2011
Direction of Country,Rasmussen Reports,"Right Direction 17, Wrong Track 76",Wrong Track +59,2011-11-02,2011
Direction of Country,Reuters/Ipsos,"Right Direction 25, Wrong Track 70",Wrong Track +45,2011-11-04,2011
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 19, Wrong Track 73",Wrong Track +54,2011-11-07,2011
Direction of Country,ABC News/Wash Post,"Right Direction 22, Wrong Track 74",Wrong Track +52,2011-11-07,2011
Direction of Country,Rasmussen Reports,"Right Direction 17, Wrong Track 76",Wrong Track +59,2011-11-09,2011
Direction of Country,Politico/GWU/Battleground,"Right Direction 18, Wrong Track 75",Wrong Track +57,2011-11-14,2011
Direction of Country,Rasmussen Reports,"Right Direction 18, Wrong Track 75",Wrong Track +57,2011-11-16,2011
Direction of Country,McClatchy/Marist,"Right Direction 25, Wrong Track 70",Wrong Track +45,2011-11-16,2011
Direction of Country,Rasmussen Reports,"Right Direction 16, Wrong Track 76",Wrong Track +60,2011-11-30,2011
Direction of Country,CBS News,"Right Direction 21, Wrong Track 75",Wrong Track +54,2011-12-09,2011
Direction of Country,Rasmussen Reports,"Right Direction 19, Wrong Track 73",Wrong Track +54,2011-12-14,2011
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 22, Wrong Track 69",Wrong Track +47,2011-12-14,2011
Direction of Country,Reuters/Ipsos,"Right Direction 27, Wrong Track 69",Wrong Track +42,2011-12-14,2011
Direction of Country,National Journal/FD,"Right Direction 20, Wrong Track 70",Wrong Track +50,2011-12-15,2011
Direction of Country,Associated Press/GfK,"Right Direction 26, Wrong Track 70",Wrong Track +44,2011-12-16,2011
Direction of Country,CBS News,"Right Direction 25, Wrong Track 69",Wrong Track +44,2011-12-21,2011
Direction of Country,Rasmussen Reports,"Right Direction 22, Wrong Track 71",Wrong Track +49,2011-12-21,2011
Direction of Country,Rasmussen Reports,"Right Direction 20, Wrong Track 72",Wrong Track +52,2011-12-28,2011
Direction of Country,Rasmussen Reports,"Right Direction 33, Wrong Track 59",Wrong Track +26,2012-01-02,2012
Direction of Country,Rasmussen Reports,"Right Direction 22, Wrong Track 71",Wrong Track +49,2012-01-04,2012
Direction of Country,Reuters/Ipsos,"Right Direction 32, Wrong Track 63",Wrong Track +31,2012-01-10,2012
Direction of Country,Rasmussen Reports,"Right Direction 33, Wrong Track 58",Wrong Track +25,2012-01-10,2012
Direction of Country,CBS News,"Right Direction 29, Wrong Track 65",Wrong Track +36,2012-01-10,2012
Direction of Country,Rasmussen Reports,"Right Direction 24, Wrong Track 69",Wrong Track +45,2012-01-11,2012
Direction of Country,Democracy Corps (D),"Right Direction 28, Wrong Track 64",Wrong Track +36,2012-01-13,2012
Direction of Country,CBS News/NY Times,"Right Direction 29, Wrong Track 66",Wrong Track +37,2012-01-18,2012
Direction of Country,Rasmussen Reports,"Right Direction 24, Wrong Track 68",Wrong Track +44,2012-01-19,2012
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 30, Wrong Track 61",Wrong Track +31,2012-01-25,2012
Direction of Country,Rasmussen Reports,"Right Direction 26, Wrong Track 67",Wrong Track +41,2012-01-26,2012
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 64",Wrong Track +35,2012-02-01,2012
Direction of Country,Reuters/Ipsos,"Right Direction 32, Wrong Track 62",Wrong Track +30,2012-02-07,2012
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 63",Wrong Track +34,2012-02-08,2012
Direction of Country,CBS News/NY Times,"Right Direction 35, Wrong Track 59",Wrong Track +24,2012-02-14,2012
Direction of Country,Rasmussen Reports,"Right Direction 34, Wrong Track 59",Wrong Track +25,2012-02-15,2012
Direction of Country,Democracy Corps (D),"Right Direction 34, Wrong Track 59",Wrong Track +25,2012-02-15,2012
Direction of Country,Rasmussen Reports,"Right Direction 31, Wrong Track 61",Wrong Track +30,2012-02-22,2012
Direction of Country,Associated Press/GfK,"Right Direction 39, Wrong Track 57",Wrong Track +18,2012-02-23,2012
Direction of Country,Politico/GWU/Battleground,"Right Direction 35, Wrong Track 59",Wrong Track +24,2012-02-27,2012
Direction of Country,Rasmussen Reports,"Right Direction 32, Wrong Track 61",Wrong Track +29,2012-02-29,2012
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 33, Wrong Track 58",Wrong Track +25,2012-03-05,2012
Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 65",Wrong Track +35,2012-03-07,2012
