,Date,Poll,Race/Topic (Click to Sort),Results,Spread,Year
30,2018-10-08,Emerson*,Texas Senate - Cruz vs. O'Rourke,"Cruz 47, O'Rourke 42",Cruz +5,2018
31,2018-10-08,Emerson*,Texas Governor - Abbott vs. Valdez,"Abbott 53, Valdez 33",Abbott +20,2018
32,2018-10-08,NY Times/Siena,Michigan 11th District - Epstein vs. Stevens,"Stevens 45, Epstein 38",Stevens +7,2018
33,2018-10-08,NY Times/Siena,North Carolina 13th District - Budd vs. Manning,"Budd 47, Manning 41",Budd +6,2018
34,2018-10-08,Civitas (R)/SurveyUSA*,North Carolina 9th District - Harris vs. McCready,"McCready 45, Harris 41",McCready +4,2018
35,2018-10-08,CNN,President Trump Job Approval,"Approve 43, Disapprove 52",Disapprove +9,2018
36,2018-10-08,Gallup,President Trump Job Approval,"Approve 43, Disapprove 53",Disapprove +10,2018
37,2018-10-08,Rasmussen Reports,Direction of Country,"Right Direction 43, Wrong Track 52",Wrong Track +9,2018
38,2018-10-07,CBS News/YouGov,Arizona Senate - McSally vs. Sinema,"Sinema 47, McSally 44",Sinema +3,2018
39,2018-10-07,CBS News/YouGov,Tennessee Senate - Blackburn vs. Bredesen,"Blackburn 50, Bredesen 42",Blackburn +8,2018
40,2018-10-07,CBS News/YouGov,Texas Senate - Cruz vs. O'Rourke,"Cruz 50, O'Rourke 44",Cruz +6,2018
41,2018-10-07,CBS News/YouGov,New Jersey Senate - Hugin vs. Menendez,"Menendez 49, Hugin 39",Menendez +10,2018
42,2018-10-06,Cole Hargrave Snodgrass & Associates*,Oklahoma Governor - Stitt vs. Edmondson,"Stitt 46, Edmondson 40",Stitt +6,2018
43,2018-10-06,NY Times/Siena,North Carolina 9th District - Harris vs. McCready,"McCready 42, Harris 47",Harris +5,2018
44,2018-10-05,Berkeley IGS,California 10th District - Denham vs. Harder,"Harder 50, Denham 45",Harder +5,2018
45,2018-10-05,Berkeley IGS,California 22nd District - Nunes vs. Janz,"Nunes 53, Janz 45",Nunes +8,2018
46,2018-10-05,Berkeley IGS,California 25th District - Knight vs. Hill,"Hill 50, Knight 46",Hill +4,2018
47,2018-10-05,Berkeley IGS,California 39th District - Kim vs. Cisneros,"Cisneros 49, Kim 48",Cisneros +1,2018
48,2018-10-05,Berkeley IGS,California 45th District - Walters vs. Porter,"Porter 52, Walters 45",Porter +7,2018
49,2018-10-05,Berkeley IGS,California 48th District - Rohrabacher vs. Rouda,"Rouda 48, Rohrabacher 48",Tie,2018
50,2018-10-05,Berkeley IGS,California 49th District - Harkey vs. Levin,"Levin 55, Harkey 41",Levin +14,2018
51,2018-10-05,Berkeley IGS,California 50th District - Hunter vs. Campa-Najjar,"Hunter 49, Campa-Najjar 47",Hunter +2,2018
52,2018-10-05,Emerson,President Trump Job Approval,"Approve 43, Disapprove 50",Disapprove +7,2018
53,2018-10-05,Emerson,2018 Generic Congressional Vote,"Democrats 50, Republicans 42",Democrats +8,2018
54,2018-10-04,Mason-Dixon,Florida Senate - Scott vs. Nelson,"Nelson 47, Scott 46",Nelson +1,2018
55,2018-10-04,FOX News,Tennessee Senate - Blackburn vs. Bredesen,"Blackburn 48, Bredesen 43",Blackburn +5,2018
56,2018-10-04,FOX News,Indiana Senate - Braun vs. Donnelly vs. Brenton,"Donnelly 43, Braun 41, Brenton 6",Donnelly +2,2018
57,2018-10-04,FOX News,Missouri Senate - Hawley vs. McCaskill,"Hawley 46, McCaskill 46",Tie,2018
58,2018-10-04,FOX News,North Dakota Senate - Cramer vs. Heitkamp,"Cramer 53, Heitkamp 41",Cramer +12,2018
59,2018-10-04,FOX News,Arizona Senate - McSally vs. Sinema,"Sinema 47, McSally 45",Sinema +2,2018
60,2018-10-04,Detroit News/WDIV-TV,Michigan Senate - James vs. Stabenow,"Stabenow 53, James 35",Stabenow +18,2018
61,2018-10-04,FOX News,Tennessee Governor - Lee vs. Dean,"Lee 53, Dean 36",Lee +17,2018
62,2018-10-04,FOX News,Arizona Governor - Ducey vs. Garcia,"Ducey 55, Garcia 37",Ducey +18,2018
63,2018-10-04,Detroit News/WDIV-TV,Michigan Governor - Schuette vs. Whitmer,"Whitmer 47, Schuette 35",Whitmer +12,2018
64,2018-10-04,Trafalgar Group (R),South Carolina Governor - McMaster vs. Smith,"McMaster 51, Smith 37",McMaster +14,2018
65,2018-10-04,NY Times/Siena,Michigan 8th District - Bishop vs. Slotkin,"Bishop 47, Slotkin 44",Bishop +3,2018
66,2018-10-04,NY Times/Siena,Arizona 2nd District - Peterson vs. Kirkpatrick,"Kirkpatrick 50, Peterson 39",Kirkpatrick +11,2018
67,2018-10-04,NY Times/Siena,Minnesota 2nd District - Lewis vs. Craig,"Craig 51, Lewis 39",Craig +12,2018
68,2018-10-04,NY Times/Siena,Virginia 2nd District - Taylor vs. Luria,"Taylor 49, Luria 41",Taylor +8,2018
69,2018-10-04,Christopher Newport Univ.,Virginia 10th District - Comstock vs. Wexton,"Wexton 51, Comstock 44",Wexton +7,2018
70,2018-10-04,UNF,Florida 16th District - Buchanan vs. Shapiro,"Buchanan 49, Shapiro 40",Buchanan +9,2018
71,2018-10-04,IBD/TIPP,President Trump Job Approval,"Approve 40, Disapprove 54",Disapprove +14,2018
72,2018-10-04,IBD/TIPP,2018 Generic Congressional Vote,"Democrats 45, Republicans 43",Democrats +2,2018
73,2018-10-03,Suffolk*,Arizona Senate - McSally vs. Sinema,"Sinema 45, McSally 42",Sinema +3,2018
74,2018-10-03,Quinnipiac,New Jersey Senate - Hugin vs. Menendez,"Menendez 53, Hugin 42",Menendez +11,2018
75,2018-10-03,Fairleigh Dickinson,New Jersey Senate - Hugin vs. Menendez,"Menendez 43, Hugin 37",Menendez +6,2018
76,2018-10-03,Siena,New York Senate - Farley vs. Gillibrand,"Gillibrand 61, Farley 29",Gillibrand +32,2018
77,2018-10-03,Suffolk*,Arizona Governor - Ducey vs. Garcia,"Ducey 50, Garcia 38",Ducey +12,2018
78,2018-10-03,Mason-Dixon*,Florida Governor - DeSantis vs. Gillum,"Gillum 45, DeSantis 44",Gillum +1,2018
79,2018-10-03,Siena,New York Governor - Molinaro vs. Cuomo,"Cuomo 56, Molinaro 38",Cuomo +18,2018
80,2018-10-03,Monmouth,Pennsylvania 1st District - Fitzpatrick vs. Wallace,"Fitzpatrick 50, Wallace 46",Fitzpatrick +4,2018
81,2018-10-03,PPP (D),Pennsylvania 10th District - Perry vs. Scott,"Perry 44, Scott 43",Perry +1,2018
82,2018-10-03,KSTP/SurveyUSA,Minnesota 3rd District - Paulsen vs. Phillips,"Phillips 49, Paulsen 44",Phillips +5,2018
83,2018-10-03,Economist/YouGov,President Trump Job Approval,"Approve 44, Disapprove 53",Disapprove +9,2018
84,2018-10-03,Reuters/Ipsos,President Trump Job Approval,"Approve 43, Disapprove 55",Disapprove +12,2018
85,2018-10-03,NPR/PBS/Marist,President Trump Job Approval,"Approve 43, Disapprove 53",Disapprove +10,2018
86,2018-10-03,Rasmussen Reports,2018 Generic Congressional Vote,"Democrats 47, Republicans 42",Democrats +5,2018
87,2018-10-03,NPR/PBS/Marist,2018 Generic Congressional Vote,"Democrats 48, Republicans 42",Democrats +6,2018
88,2018-10-03,Reuters/Ipsos,2018 Generic Congressional Vote,"Democrats 50, Republicans 38",Democrats +12,2018
89,2018-10-03,Economist/YouGov,2018 Generic Congressional Vote,"Democrats 45, Republicans 40",Democrats +5,2018
90,2018-10-03,Economist/YouGov,Congressional Job Approval,"Approve 12, Disapprove 68",Disapprove +56,2018
91,2018-10-03,Reuters/Ipsos,Congressional Job Approval,"Approve 22, Disapprove 74",Disapprove +52,2018
92,2018-10-03,Reuters/Ipsos,Direction of Country,"Right Direction 39, Wrong Track 55",Wrong Track +16,2018
93,2018-10-03,Economist/YouGov,Direction of Country,"Right Direction 36, Wrong Track 57",Wrong Track +21,2018
94,2018-10-02,WCTV-TV,Florida Senate - Scott vs. Nelson,"Nelson 45, Scott 44",Nelson +1,2018
95,2018-10-02,WSAZ-TV*,West Virginia Senate - Morrisey vs. Manchin,"Manchin 46, Morrisey 38",Manchin +8,2018
96,2018-10-02,NBC Valley News,North Dakota Senate - Cramer vs. Heitkamp,"Cramer 51, Heitkamp 41",Cramer +10,2018
97,2018-10-02,WCTV-TV,Florida Governor - DeSantis vs. Gillum,"Gillum 44, DeSantis 43",Gillum +1,2018
98,2018-10-02,Landmark Communications,Georgia Governor - Kemp vs. Abrams,"Kemp 48, Abrams 46",Kemp +2,2018
99,2018-10-02,The Simon Poll/SIU*,Illinois Governor - Rauner vs. Pritzker,"Pritzker 49, Rauner 27",Pritzker +22,2018
100,2018-10-02,Keating (D)/Magellan (R)*,Colorado Governor - Stapleton vs. Polis,"Polis 47, Stapleton 40",Polis +7,2018
101,2018-10-02,NY Times/Siena,Ohio 1st District - Chabot vs. Pureval,"Chabot 50, Pureval 41",Chabot +9,2018
102,2018-10-02,Monmouth,Virginia 10th District - Comstock vs. Wexton,"Wexton 50, Comstock 44",Wexton +6,2018
103,2018-10-02,Sooner Poll,Oklahoma 5th District - Russell vs. Horn,"Russell 47, Horn 37",Russell +10,2018
104,2018-10-02,Quinnipiac,President Trump Job Approval,"Approve 41, Disapprove 53",Disapprove +12,2018
105,2018-10-02,Quinnipiac,2018 Generic Congressional Vote,"Democrats 49, Republicans 42",Democrats +7,2018
106,2018-10-01,CNN*,Nevada Senate - Heller vs. Rosen,"Rosen 47, Heller 43",Rosen +4,2018
107,2018-10-01,Stockton University*,New Jersey Senate - Hugin vs. Menendez,"Menendez 45, Hugin 43",Menendez +2,2018
108,2018-10-01,CNN*,Missouri Senate - Hawley vs. McCaskill,"Hawley 44, McCaskill 47",McCaskill +3,2018
109,2018-10-01,CNN,Nevada Governor - Laxalt vs. Sisolak vs. Lord,"Sisolak 45, Laxalt 41, Lord 5",Sisolak +4,2018
110,2018-10-01,Emerson*,Kansas Governor - Kobach vs. Kelly vs. Orman,"Kobach 37, Kelly 36, Orman 9",Kobach +1,2018
111,2018-10-01,Emerson*,Kansas 2nd Congressional District - Watkins vs. Davis,"Davis 35, Watkins 31",Davis +4,2018
112,2018-10-01,Emerson*,Kansas 3rd District - Yoder vs. Davids,"Davids 47, Yoder 41",Davids +6,2018
113,2018-10-01,NY Times/Siena,Iowa 3rd District - Young vs. Axne,"Axne 44, Young 43",Axne +1,2018
114,2018-10-01,Gallup,President Trump Job Approval,"Approve 42, Disapprove 53",Disapprove +11,2018
115,2018-10-01,Harvard-Harris,President Trump Job Approval,"Approve 45, Disapprove 55",Disapprove +10,2018
116,2018-10-01,Harvard-Harris,2018 Generic Congressional Vote,"Democrats 45, Republicans 37",Democrats +8,2018
117,2018-10-01,Harvard-Harris,Direction of Country,"Right Direction 38, Wrong Track 55",Wrong Track +17,2018
118,2018-10-01,Rasmussen Reports,Direction of Country,"Right Direction 40, Wrong Track 54",Wrong Track +14,2018
119,2018-09-30,Harvard-Harris,President Trump Job Approval,"Approve 46, Disapprove 54",Disapprove +8,2018
120,2018-09-30,Harvard-Harris,2018 Generic Congressional Vote,"Democrats 45, Republicans 36",Democrats +9,2018
121,2018-09-30,Harvard-Harris,Direction of Country,"Right Direction 38, Wrong Track 53",Wrong Track +15,2018
122,2018-09-29,Missouri Scout*,Missouri Senate - Hawley vs. McCaskill,"Hawley 48, McCaskill 46",Hawley +2,2018
123,2018-09-28,Alaska Survey Research,Alaska Governor - Dunleavy vs. Begich vs. Walker,"Dunleavy 44, Walker 23, Begich 29",Dunleavy +15,2018
124,2018-09-28,Mason-Dixon*,Maryland Governor - Hogan vs. Jealous,"Hogan 52, Jealous 37",Hogan +15,2018
125,2018-09-28,Gallup,2018 Generic Congressional Vote,"Democrats 51, Republicans 42",Democrats +9,2018
126,2018-09-28,Gallup,Congressional Job Approval,"Approve 19, Disapprove 76",Disapprove +57,2018
127,2018-09-27,Franklin & Marshall*,Pennsylvania Senate - Barletta vs. Casey,"Casey 50, Barletta 33",Casey +17,2018
128,2018-09-27,EPIC-MRA,Michigan Senate - James vs. Stabenow,"Stabenow 56, James 33",Stabenow +23,2018
129,2018-09-27,PPIC,California Senate - Feinstein vs. de Leon,"Feinstein 40, Leon 29",Feinstein +11,2018
130,2018-09-27,University of Delaware*,Delaware Senate - Arlett vs. Carper,"Carper 61, Arlett 24",Carper +37,2018
131,2018-09-27,Franklin & Marshall*,Pennsylvania Governor - Wagner vs. Wolf,"Wolf 52, Wagner 30",Wolf +22,2018
132,2018-09-27,EPIC-MRA*,Michigan Governor - Schuette vs. Whitmer,"Whitmer 45, Schuette 37",Whitmer +8,2018
133,2018-09-27,PPIC,California Governor - Cox vs. Newsom,"Newsom 51, Cox 39",Newsom +12,2018
134,2018-09-27,NY Times/Siena,New Jersey 3rd District - MacArthur vs. Kim,"Kim 49, MacArthur 39",Kim +10,2018
135,2018-09-27,NY Times/Siena,Nebraska 2nd District - Bacon vs. Eastman,"Bacon 51, Eastman 42",Bacon +9,2018
136,2018-09-27,NY Times/Siena,Washington 8th District - Rossi vs. Schrier,"Schrier 46, Rossi 45",Schrier +1,2018
137,2018-09-27,Monmouth,California 50th District - Hunter vs. Campa-Najjar,"Hunter 53, Campa-Najjar 38",Hunter +15,2018
138,2018-09-27,ABC 30/SurveyUSA,California 22nd District - Nunes vs. Janz,"Nunes 55, Janz 41",Nunes +14,2018
139,2018-09-26,NBC News/Marist,Ohio Senate - Renacci vs. Brown,"Brown 52, Renacci 39",Brown +13,2018
140,2018-09-26,NBC News/Marist,Ohio Governor - DeWine vs. Cordray,"Cordray 47, DeWine 47",Tie,2018
141,2018-09-26,Quinnipiac,Florida Governor - DeSantis vs. Gillum,"Gillum 54, DeSantis 45",Gillum +9,2018
142,2018-09-26,NY Times/Siena,California 45th District - Walters vs. Porter,"Porter 48, Walters 43",Porter +5,2018
143,2018-09-26,NY Times/Siena,Pennsylvania 7th District - Nothstein vs. Wild,"Wild 50, Nothstein 42",Wild +8,2018
144,2018-09-26,KSTP/SurveyUSA,Minnesota 2nd District - Lewis vs. Craig,"Craig 48, Lewis 45",Craig +3,2018
145,2018-09-26,ABC 30/SurveyUSA,California 21st District - Valadao vs. Cox,"Valadao 50, Cox 39",Valadao +11,2018
146,2018-09-26,NPR/PBS/Marist,President Trump Job Approval,"Approve 44, Disapprove 49",Disapprove +5,2018
147,2018-09-26,Reuters/Ipsos,President Trump Job Approval,"Approve 45, Disapprove 53",Disapprove +8,2018
148,2018-09-26,Pew Research,President Trump Job Approval,"Approve 40, Disapprove 55",Disapprove +15,2018
149,2018-09-26,Economist/YouGov,President Trump Job Approval,"Approve 44, Disapprove 53",Disapprove +9,2018
150,2018-09-26,Economist/YouGov,2018 Generic Congressional Vote,"Democrats 46, Republicans 38",Democrats +8,2018
151,2018-09-26,NPR/PBS/Marist,2018 Generic Congressional Vote,"Democrats 48, Republicans 41",Democrats +7,2018
152,2018-09-26,Pew Research,2018 Generic Congressional Vote,"Democrats 52, Republicans 42",Democrats +10,2018
153,2018-09-26,Rasmussen Reports,2018 Generic Congressional Vote,"Democrats 46, Republicans 43",Democrats +3,2018
154,2018-09-26,Reuters/Ipsos,2018 Generic Congressional Vote,"Democrats 48, Republicans 41",Democrats +7,2018
155,2018-09-26,Reuters/Ipsos,Congressional Job Approval,"Approve 22, Disapprove 74",Disapprove +52,2018
156,2018-09-26,Economist/YouGov,Congressional Job Approval,"Approve 12, Disapprove 66",Disapprove +54,2018
157,2018-09-26,Economist/YouGov,Direction of Country,"Right Direction 38, Wrong Track 53",Wrong Track +15,2018
158,2018-09-26,Reuters/Ipsos,Direction of Country,"Right Direction 40, Wrong Track 54",Wrong Track +14,2018
159,2018-09-25,NBC News/Marist,Florida Senate - Scott vs. Nelson,"Nelson 48, Scott 45",Nelson +3,2018
160,2018-09-25,Quinnipiac,Florida Senate - Scott vs. Nelson,"Nelson 53, Scott 46",Nelson +7,2018
161,2018-09-25,NBC News/Marist,Arizona Senate - McSally vs. Sinema,"Sinema 48, McSally 45",Sinema +3,2018
162,2018-09-25,Gravis,Montana Senate - Rosendale vs. Tester,"Tester 49, Rosendale 45",Tester +4,2018
163,2018-09-25,WBUR/MassINC*,Massachusetts Senate - Diehl vs. Warren,"Warren 56, Diehl 30",Warren +26,2018
164,2018-09-25,NBC News/Marist,Florida Governor - DeSantis vs. Gillum,"Gillum 48, DeSantis 43",Gillum +5,2018
165,2018-09-25,NBC News/Marist,Arizona Governor - Ducey vs. Garcia,"Ducey 51, Garcia 43",Ducey +8,2018
166,2018-09-25,Clout Research (R),Oregon Governor - Buehler vs. Brown,"Brown 42, Buehler 41",Brown +1,2018
167,2018-09-25,Gravis,Montana At-Large District - Gianforte vs. Williams,"Gianforte 51, Williams 42",Gianforte +9,2018
168,2018-09-25,NY Times/Siena,Texas 32nd District - Sessions vs. Allred,"Sessions 48, Allred 47",Sessions +1,2018
169,2018-09-25,Monmouth,Virginia 7th District - Brat vs. Spanberger,"Brat 47, Spanberger 47",Tie,2018
170,2018-09-24,UNF,Florida Senate - Scott vs. Nelson,"Nelson 45, Scott 45",Tie,2018
171,2018-09-24,Emerson*,Arizona Senate - McSally vs. Sinema,"Sinema 45, McSally 39",Sinema +6,2018
172,2018-09-24,UNF,Florida Governor - DeSantis vs. Gillum,"Gillum 47, DeSantis 43",Gillum +4,2018
173,2018-09-24,Emerson*,Arizona Governor - Ducey vs. Garcia,"Ducey 42, Garcia 38",Ducey +4,2018
174,2018-09-24,NY Times/Siena,California 49th District - Harkey vs. Levin,"Levin 51, Harkey 41",Levin +10,2018
175,2018-09-24,NY Times/Siena,Kansas 3rd District - Yoder vs. Davids,"Davids 51, Yoder 43",Davids +8,2018
176,2018-09-24,Gallup,President Trump Job Approval,"Approve 40, Disapprove 56",Disapprove +16,2018
177,2018-09-24,Rasmussen Reports,Direction of Country,"Right Direction 42, Wrong Track 52",Wrong Track +10,2018
178,2018-09-23,Des Moines Register,Iowa Governor - Reynolds vs. Hubbell,"Hubbell 43, Reynolds 41",Hubbell +2,2018
179,2018-09-23,FOX News,President Trump Job Approval,"Approve 46, Disapprove 52",Disapprove +6,2018
180,2018-09-23,NBC News/Wall St. Jrnl,President Trump Job Approval,"Approve 44, Disapprove 52",Disapprove +8,2018
181,2018-09-23,FOX News,2018 Generic Congressional Vote,"Democrats 49, Republicans 42",Democrats +7,2018
182,2018-09-23,NBC News/Wall St. Jrnl,2018 Generic Congressional Vote,"Democrats 51, Republicans 43",Democrats +8,2018
183,2018-09-21,Morning Call*,Pennsylvania Senate - Barletta vs. Casey,"Casey 53, Barletta 35",Casey +18,2018
184,2018-09-21,Mitchell Research,Michigan Senate - James vs. Stabenow,"Stabenow 54, James 41",Stabenow +13,2018
185,2018-09-21,WPRI/Roger Williams,Rhode Island Senate - Flanders vs. Whitehouse,"Whitehouse 54, Flanders 35",Whitehouse +19,2018
186,2018-09-21,Morning Call*,Pennsylvania Governor - Wagner vs. Wolf,"Wolf 55, Wagner 36",Wolf +19,2018
187,2018-09-21,Mitchell Research,Michigan Governor - Schuette vs. Whitmer,"Whitmer 48, Schuette 38",Whitmer +10,2018
188,2018-09-21,WPRI/Roger Williams*,Rhode Island Governor - Fung vs. Raimondo,"Raimondo 43, Fung 36",Raimondo +7,2018
189,2018-09-21,NY Times/Siena,Iowa 1st District - Blum vs. Finkenauer,"Finkenauer 52, Blum 37",Finkenauer +15,2018
190,2018-09-20,Rasmussen Reports,Pennsylvania Governor - Wagner vs. Wolf,"Wolf 52, Wagner 40",Wolf +12,2018
191,2018-09-20,NY Times/Siena,California 25th District - Knight vs. Hill,"Hill 45, Knight 47",Knight +2,2018
192,2018-09-20,Monmouth,New Jersey 7th District - Lance vs. Malinowski,"Malinowski 46, Lance 43",Malinowski +3,2018
193,2018-09-19,Florida Atlantic University,Florida Senate - Scott vs. Nelson,"Nelson 41, Scott 42",Scott +1,2018
194,2018-09-19,Rasmussen Reports,Pennsylvania Senate - Barletta vs. Casey,"Casey 52, Barletta 38",Casey +14,2018
195,2018-09-19,Boston Globe/Suffolk*,Massachusetts Senate - Diehl vs. Warren,"Warren 54, Diehl 24",Warren +30,2018
196,2018-09-19,Goucher College,Maryland Senate - Campbell vs. Cardin vs. Simon,"Cardin 56, Campbell 17, Simon 8",Cardin +39,2018
197,2018-09-19,Florida Atlantic University,Florida Governor - DeSantis vs. Gillum,"Gillum 41, DeSantis 39",Gillum +2,2018
198,2018-09-19,Boston Globe/Suffolk,Massachusetts Governor - Baker vs. Gonzalez,"Baker 55, Gonzalez 28",Baker +27,2018
199,2018-09-19,Goucher College,Maryland Governor - Hogan vs. Jealous,"Hogan 54, Jealous 32",Hogan +22,2018
200,2018-09-19,NY Times/Siena,Texas 7th District - Culberson vs. Fletcher,"Culberson 48, Fletcher 45",Culberson +3,2018
201,2018-09-19,NY Times/Siena,New Mexico 2nd District - Herrell vs. Small,"Small 46, Herrell 45",Small +1,2018
202,2018-09-19,Stockton University,New Jersey 2nd District - Grossman vs. Van Drew,"Van Drew 55, Grossman 32",Van Drew +23,2018
203,2018-09-19,Economist/YouGov,President Trump Job Approval,"Approve 44, Disapprove 53",Disapprove +9,2018
204,2018-09-19,Reuters/Ipsos,President Trump Job Approval,"Approve 47, Disapprove 52",Disapprove +5,2018
205,2018-09-19,Rasmussen Reports,2018 Generic Congressional Vote,"Democrats 47, Republicans 42",Democrats +5,2018
206,2018-09-19,Reuters/Ipsos,2018 Generic Congressional Vote,"Democrats 48, Republicans 41",Democrats +7,2018
207,2018-09-19,Economist/YouGov,2018 Generic Congressional Vote,"Democrats 45, Republicans 41",Democrats +4,2018
208,2018-09-19,Economist/YouGov,Congressional Job Approval,"Approve 15, Disapprove 65",Disapprove +50,2018
209,2018-09-19,Reuters/Ipsos,Congressional Job Approval,"Approve 22, Disapprove 74",Disapprove +52,2018
210,2018-09-19,Reuters/Ipsos,Direction of Country,"Right Direction 41, Wrong Track 53",Wrong Track +12,2018
211,2018-09-19,Economist/YouGov,Direction of Country,"Right Direction 42, Wrong Track 50",Wrong Track +8,2018
212,2018-09-18,Quinnipiac,Texas Senate - Cruz vs. O'Rourke,"Cruz 54, O'Rourke 45",Cruz +9,2018
213,2018-09-18,Marquette,Wisconsin Senate - Vukmir vs. Baldwin,"Baldwin 53, Vukmir 42",Baldwin +11,2018
214,2018-09-18,Target-Insyght/MIRS,Michigan Senate - James vs. Stabenow,"Stabenow 55, James 40",Stabenow +15,2018
215,2018-09-18,Univ. of Mary Washington,Virginia Senate - Stewart vs. Kaine,"Kaine 52, Stewart 36",Kaine +16,2018
216,2018-09-18,Marquette*,Wisconsin Governor - Walker vs. Evers,"Evers 49, Walker 44",Evers +5,2018
217,2018-09-18,Target-Insyght/MIRS,Michigan Governor - Schuette vs. Whitmer,"Whitmer 50, Schuette 41",Whitmer +9,2018
218,2018-09-18,Quinnipiac,Texas Governor - Abbott vs. Valdez,"Abbott 58, Valdez 39",Abbott +19,2018
219,2018-09-18,NY Times/Siena,Florida 26th District - Curbelo vs. Mucarsel-Powell,"Curbelo 47, Mucarsel-Powell 44",Curbelo +3,2018
220,2018-09-18,Monmouth,California 39th District - Kim vs. Cisneros,"Cisneros 41, Kim 51",Kim +10,2018
221,2018-09-17,CNN,Arizona Senate - McSally vs. Sinema,"Sinema 50, McSally 43",Sinema +7,2018
222,2018-09-17,Trafalgar Group (R),Missouri Senate - Hawley vs. McCaskill,"Hawley 47, McCaskill 44",Hawley +3,2018
223,2018-09-17,CNN,Tennessee Senate - Blackburn vs. Bredesen,"Blackburn 45, Bredesen 50",Bredesen +5,2018
224,2018-09-17,Gravis,Nevada Senate - Heller vs. Rosen,"Rosen 47, Heller 45",Rosen +2,2018
225,2018-09-17,Emerson,West Virginia Senate - Morrisey vs. Manchin,"Manchin 45, Morrisey 33",Manchin +12,2018
226,2018-09-17,Star Tribune/Mason-Dixon,Minnesota Senate Special Election - Housley vs. Smith,"Smith 44, Housley 37",Smith +7,2018
