,Race/Topic (Click to Sort),Poll,Results,Spread,Date,Year
47,2018 Generic Congressional Vote,USA Today/Suffolk,"Democrats 50, Republicans 39",Democrats +11,2018-09-04,2018.0
48,2018 Generic Congressional Vote,Emerson,"Democrats 52, Republicans 39",Democrats +13,2018-09-03,2018.0
49,2018 Generic Congressional Vote,IBD/TIPP,"Democrats 50, Republicans 39",Democrats +11,2018-09-01,2018.0
50,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 45, Republicans 39",Democrats +6,2018-08-29,2018.0
51,2018 Generic Congressional Vote,Rasmussen Reports,"Democrats 46, Republicans 41",Democrats +5,2018-08-29,2018.0
52,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 47, Republicans 34",Democrats +13,2018-08-29,2018.0
53,2018 Generic Congressional Vote,Harvard-Harris,"Democrats 45, Republicans 37",Democrats +8,2018-08-28,2018.0
54,2018 Generic Congressional Vote,NBC News/Wall St. Jrnl,"Democrats 50, Republicans 42",Democrats +8,2018-08-26,2018.0
55,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 41, Republicans 37",Democrats +4,2018-08-23,2018.0
56,2018 Generic Congressional Vote,Monmouth,"Democrats 48, Republicans 43",Democrats +5,2018-08-22,2018.0
57,2018 Generic Congressional Vote,FOX News,"Democrats 49, Republicans 38",Democrats +11,2018-08-22,2018.0
58,2018 Generic Congressional Vote,Rasmussen Reports,"Democrats 44, Republicans 44",Tie,2018-08-22,2018.0
59,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 44, Republicans 38",Democrats +6,2018-08-22,2018.0
60,2018 Generic Congressional Vote,Pew Research,"Democrats 46, Republicans 39",Democrats +7,2018-08-16,2018.0
61,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 45, Republicans 36",Democrats +9,2018-08-16,2018.0
62,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 44, Republicans 40",Democrats +4,2018-08-15,2018.0
63,2018 Generic Congressional Vote,CNN,"Democrats 52, Republicans 41",Democrats +11,2018-08-15,2018.0
64,2018 Generic Congressional Vote,Quinnipiac,"Democrats 51, Republicans 42",Democrats +9,2018-08-15,2018.0
65,2018 Generic Congressional Vote,Rasmussen Reports,"Democrats 48, Republicans 41",Democrats +7,2018-08-14,2018.0
66,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 41, Republicans 39",Democrats +2,2018-08-09,2018.0
67,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 44, Republicans 41",Democrats +3,2018-08-08,2018.0
68,2018 Generic Congressional Vote,IBD/TIPP,"Democrats 45, Republicans 45",Tie,2018-08-08,2018.0
69,2018 Generic Congressional Vote,Rasmussen Reports,"Democrats 45, Republicans 41",Democrats +4,2018-08-08,2018.0
70,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 44, Republicans 40",Democrats +4,2018-08-01,2018.0
71,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 42, Republicans 36",Democrats +6,2018-08-01,2018.0
72,2018 Generic Congressional Vote,Rasmussen Reports,"Democrats 46, Republicans 40",Democrats +6,2018-08-01,2018.0
73,2018 Generic Congressional Vote,Harvard-Harris,"Democrats 43, Republicans 36",Democrats +7,2018-07-26,2018.0
74,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 44, Republicans 38",Democrats +6,2018-07-25,2018.0
75,2018 Generic Congressional Vote,Rasmussen Reports,"Democrats 47, Republicans 40",Democrats +7,2018-07-25,2018.0
76,2018 Generic Congressional Vote,Quinnipiac,"Democrats 51, Republicans 39",Democrats +12,2018-07-25,2018.0
77,2018 Generic Congressional Vote,NPR/PBS/Marist,"Democrats 47, Republicans 40",Democrats +7,2018-07-25,2018.0
78,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 42, Republicans 37",Democrats +5,2018-07-25,2018.0
79,2018 Generic Congressional Vote,NBC News/Wall St. Jrnl,"Democrats 49, Republicans 43",Democrats +6,2018-07-22,2018.0
80,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 45, Republicans 37",Democrats +8,2018-07-18,2018.0
81,2018 Generic Congressional Vote,Rasmussen Reports,"Democrats 46, Republicans 41",Democrats +5,2018-07-18,2018.0
82,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 44, Republicans 35",Democrats +9,2018-07-18,2018.0
83,2018 Generic Congressional Vote,FOX News,"Democrats 48, Republicans 40",Democrats +8,2018-07-13,2018.0
84,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 42, Republicans 38",Democrats +4,2018-07-11,2018.0
85,2018 Generic Congressional Vote,Rasmussen Reports,"Democrats 48, Republicans 40",Democrats +8,2018-07-11,2018.0
86,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 47, Republicans 34",Democrats +13,2018-07-11,2018.0
87,2018 Generic Congressional Vote,Emerson,"Democrats 49, Republicans 42",Democrats +7,2018-07-09,2018.0
88,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 42, Republicans 38",Democrats +4,2018-07-05,2018.0
89,2018 Generic Congressional Vote,Rasmussen Reports,"Democrats 46, Republicans 40",Democrats +6,2018-07-05,2018.0
90,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 44, Republicans 34",Democrats +10,2018-07-04,2018.0
91,2018 Generic Congressional Vote,IBD/TIPP,"Democrats 48, Republicans 40",Democrats +8,2018-07-02,2018.0
92,2018 Generic Congressional Vote,Quinnipiac,"Democrats 50, Republicans 41",Democrats +9,2018-07-02,2018.0
93,2018 Generic Congressional Vote,Rasmussen Reports,"Democrats 45, Republicans 41",Democrats +4,2018-06-27,2018.0
94,2018 Generic Congressional Vote,Harvard-Harris,"Democrats 45, Republicans 36",Democrats +9,2018-06-27,2018.0
95,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 41, Republicans 38",Democrats +3,2018-06-27,2018.0
96,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 43, Republicans 38",Democrats +5,2018-06-27,2018.0
97,2018 Generic Congressional Vote,Gallup,"Democrats 48, Republicans 43",Democrats +5,2018-06-22,2018.0
98,2018 Generic Congressional Vote,CNN,"Democrats 50, Republicans 42",Democrats +8,2018-06-21,2018.0
99,2018 Generic Congressional Vote,USA Today/Suffolk,"Democrats 45, Republicans 39",Democrats +6,2018-06-21,2018.0
100,2018 Generic Congressional Vote,Quinnipiac,"Democrats 49, Republicans 43",Democrats +6,2018-06-20,2018.0
101,2018 Generic Congressional Vote,Rasmussen Reports,"Democrats 45, Republicans 41",Democrats +4,2018-06-20,2018.0
102,2018 Generic Congressional Vote,Pew Research,"Democrats 48, Republicans 43",Democrats +5,2018-06-20,2018.0
103,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 44, Republicans 37",Democrats +7,2018-06-20,2018.0
104,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 42, Republicans 36",Democrats +6,2018-06-20,2018.0
105,2018 Generic Congressional Vote,Monmouth,"Democrats 48, Republicans 41",Democrats +7,2018-06-18,2018.0
106,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 43, Republicans 37",Democrats +6,2018-06-13,2018.0
107,2018 Generic Congressional Vote,Rasmussen Reports,"Democrats 44, Republicans 40",Democrats +4,2018-06-13,2018.0
108,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 45, Republicans 35",Democrats +10,2018-06-13,2018.0
109,2018 Generic Congressional Vote,PPP (D),"Democrats 46, Republicans 40",Democrats +6,2018-06-13,2018.0
110,2018 Generic Congressional Vote,FOX News,"Democrats 48, Republicans 39",Democrats +9,2018-06-08,2018.0
111,2018 Generic Congressional Vote,NBC News/Wall St. Jrnl,"Democrats 50, Republicans 40",Democrats +10,2018-06-07,2018.0
112,2018 Generic Congressional Vote,Quinnipiac,"Democrats 47, Republicans 40",Democrats +7,2018-06-06,2018.0
113,2018 Generic Congressional Vote,Rasmussen Reports,"Democrats 45, Republicans 41",Democrats +4,2018-06-06,2018.0
114,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 44, Republicans 38",Democrats +6,2018-06-06,2018.0
115,2018 Generic Congressional Vote,IBD/TIPP,"Democrats 47, Republicans 40",Democrats +7,2018-06-06,2018.0
116,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 43, Republicans 32",Democrats +11,2018-06-06,2018.0
117,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 39, Republicans 37",Democrats +2,2018-05-31,2018.0
118,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 42, Republicans 39",Democrats +3,2018-05-30,2018.0
119,2018 Generic Congressional Vote,Rasmussen Reports,"Democrats 43, Republicans 42",Democrats +1,2018-05-30,2018.0
120,2018 Generic Congressional Vote,Harvard-Harris,"Democrats 44, Republicans 37",Democrats +7,2018-05-24,2018.0
121,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 43, Republicans 38",Democrats +5,2018-05-23,2018.0
122,2018 Generic Congressional Vote,Rasmussen Reports,"Democrats 43, Republicans 42",Democrats +1,2018-05-23,2018.0
123,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 40, Republicans 37",Democrats +3,2018-05-23,2018.0
124,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 42, Republicans 37",Democrats +5,2018-05-16,2018.0
125,2018 Generic Congressional Vote,Rasmussen Reports,"Democrats 46, Republicans 40",Democrats +6,2018-05-16,2018.0
126,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 38, Republicans 37",Democrats +1,2018-05-16,2018.0
127,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 44, Republicans 35",Democrats +9,2018-05-09,2018.0
128,2018 Generic Congressional Vote,CNN,"Democrats 47, Republicans 44",Democrats +3,2018-05-09,2018.0
129,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 39, Republicans 38",Democrats +1,2018-05-09,2018.0
130,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 43, Republicans 37",Democrats +6,2018-05-05,2018.0
131,2018 Generic Congressional Vote,Pew Research,"Democrats 48, Republicans 43",Democrats +5,2018-05-04,2018.0
132,2018 Generic Congressional Vote,Monmouth,"Democrats 49, Republicans 41",Democrats +8,2018-05-03,2018.0
133,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 42, Republicans 39",Democrats +3,2018-05-02,2018.0
134,2018 Generic Congressional Vote,Harvard-Harris,"Democrats 43, Republicans 34",Democrats +9,2018-04-26,2018.0
135,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 43, Republicans 38",Democrats +5,2018-04-25,2018.0
136,2018 Generic Congressional Vote,Quinnipiac,"Democrats 48, Republicans 40",Democrats +8,2018-04-25,2018.0
137,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 45, Republicans 34",Democrats +11,2018-04-25,2018.0
138,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 43, Republicans 38",Democrats +5,2018-04-18,2018.0
139,2018 Generic Congressional Vote,NPR/PBS/Marist,"Democrats 44, Republicans 39",Democrats +5,2018-04-18,2018.0
140,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 44, Republicans 34",Democrats +10,2018-04-18,2018.0
141,2018 Generic Congressional Vote,ABC News/Wash Post,"Democrats 47, Republicans 43",Democrats +4,2018-04-16,2018.0
142,2018 Generic Congressional Vote,NBC News/Wall St. Jrnl,"Democrats 47, Republicans 40",Democrats +7,2018-04-15,2018.0
143,2018 Generic Congressional Vote,Rasmussen Reports,"Democrats 45, Republicans 40",Democrats +5,2018-04-11,2018.0
144,2018 Generic Congressional Vote,Quinnipiac,"Democrats 46, Republicans 43",Democrats +3,2018-04-11,2018.0
145,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 44, Republicans 34",Democrats +10,2018-04-11,2018.0
146,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 44, Republicans 36",Democrats +8,2018-04-11,2018.0
147,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 43, Republicans 36",Democrats +7,2018-04-04,2018.0
148,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 43, Republicans 34",Democrats +9,2018-04-04,2018.0
149,2018 Generic Congressional Vote,Harvard-Harris,"Democrats 45, Republicans 34",Democrats +11,2018-04-02,2018.0
150,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 42, Republicans 35",Democrats +7,2018-03-29,2018.0
151,2018 Generic Congressional Vote,CNN,"Democrats 50, Republicans 44",Democrats +6,2018-03-29,2018.0
152,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 42, Republicans 35",Democrats +7,2018-03-28,2018.0
153,2018 Generic Congressional Vote,PPP (D),"Democrats 50, Republicans 39",Democrats +11,2018-03-27,2018.0
154,2018 Generic Congressional Vote,FOX News,"Democrats 46, Republicans 41",Democrats +5,2018-03-25,2018.0
155,2018 Generic Congressional Vote,Marist,"Democrats 44, Republicans 39",Democrats +5,2018-03-23,2018.0
156,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 40, Republicans 37",Democrats +3,2018-03-22,2018.0
157,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 44, Republicans 38",Democrats +6,2018-03-21,2018.0
158,2018 Generic Congressional Vote,Quinnipiac,"Democrats 49, Republicans 43",Democrats +6,2018-03-21,2018.0
159,2018 Generic Congressional Vote,NBC News/Wall St. Jrnl,"Democrats 50, Republicans 40",Democrats +10,2018-03-18,2018.0
160,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 43, Republicans 38",Democrats +5,2018-03-14,2018.0
161,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 38, Republicans 30",Democrats +8,2018-03-14,2018.0
162,2018 Generic Congressional Vote,GWU/Battleground,"Democrats 49, Republicans 40",Democrats +9,2018-03-13,2018.0
163,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 38, Republicans 31",Democrats +7,2018-03-08,2018.0
164,2018 Generic Congressional Vote,Rasmussen Reports,"Democrats 46, Republicans 40",Democrats +6,2018-03-08,2018.0
165,2018 Generic Congressional Vote,Monmouth,"Democrats 50, Republicans 41",Democrats +9,2018-03-07,2018.0
166,2018 Generic Congressional Vote,Quinnipiac,"Democrats 48, Republicans 38",Democrats +10,2018-03-07,2018.0
167,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 43, Republicans 37",Democrats +6,2018-03-07,2018.0
168,2018 Generic Congressional Vote,USA Today/Suffolk,"Democrats 47, Republicans 32",Democrats +15,2018-03-01,2018.0
169,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 37, Republicans 31",Democrats +6,2018-02-28,2018.0
170,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 40, Republicans 38",Democrats +2,2018-02-28,2018.0
171,2018 Generic Congressional Vote,CNN,"Democrats 54, Republicans 38",Democrats +16,2018-02-26,2018.0
172,2018 Generic Congressional Vote,Marist,"Democrats 46, Republicans 39",Democrats +7,2018-02-23,2018.0
173,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 43, Republicans 35",Democrats +8,2018-02-21,2018.0
174,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 38, Republicans 30",Democrats +8,2018-02-21,2018.0
175,2018 Generic Congressional Vote,Harvard-Harris,"Democrats 41, Republicans 36",Democrats +5,2018-02-21,2018.0
176,2018 Generic Congressional Vote,Quinnipiac,"Democrats 53, Republicans 38",Democrats +15,2018-02-20,2018.0
177,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 42, Republicans 38",Democrats +4,2018-02-14,2018.0
178,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 39, Republicans 30",Democrats +9,2018-02-14,2018.0
179,2018 Generic Congressional Vote,PPP (D),"Democrats 49, Republicans 41",Democrats +8,2018-02-14,2018.0
180,2018 Generic Congressional Vote,Marist,"Democrats 49, Republicans 38",Democrats +11,2018-02-09,2018.0
181,2018 Generic Congressional Vote,Quinnipiac,"Democrats 49, Republicans 40",Democrats +9,2018-02-07,2018.0
182,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 38, Republicans 31",Democrats +7,2018-02-07,2018.0
183,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 43, Republicans 37",Democrats +6,2018-02-07,2018.0
184,2018 Generic Congressional Vote,IBD/TIPP,"Democrats 46, Republicans 41",Democrats +5,2018-02-06,2018.0
185,2018 Generic Congressional Vote,Monmouth,"Democrats 47, Republicans 45",Democrats +2,2018-01-31,2018.0
186,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 37, Republicans 31",Democrats +6,2018-01-31,2018.0
187,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 42, Republicans 37",Democrats +5,2018-01-31,2018.0
188,2018 Generic Congressional Vote,Rasmussen Reports,"Democrats 45, Republicans 37",Democrats +8,2018-01-29,2018.0
189,2018 Generic Congressional Vote,FOX News,"Democrats 44, Republicans 38",Democrats +6,2018-01-24,2018.0
190,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 38, Republicans 30",Democrats +8,2018-01-24,2018.0
191,2018 Generic Congressional Vote,Quinnipiac,"Democrats 51, Republicans 38",Democrats +13,2018-01-24,2018.0
192,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 41, Republicans 37",Democrats +4,2018-01-24,2018.0
193,2018 Generic Congressional Vote,ABC News/Wash Post,"Democrats 51, Republicans 39",Democrats +12,2018-01-22,2018.0
194,2018 Generic Congressional Vote,CNN,"Democrats 49, Republicans 44",Democrats +5,2018-01-21,2018.0
195,2018 Generic Congressional Vote,NBC News/Wall St. Jrnl,"Democrats 49, Republicans 43",Democrats +6,2018-01-19,2018.0
196,2018 Generic Congressional Vote,Pew Research,"Democrats 53, Republicans 39",Democrats +14,2018-01-19,2018.0
197,2018 Generic Congressional Vote,Quinnipiac,"Democrats 50, Republicans 39",Democrats +11,2018-01-18,2018.0
198,2018 Generic Congressional Vote,NPR/PBS/Marist,"Democrats 46, Republicans 40",Democrats +6,2018-01-18,2018.0
199,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 37, Republicans 32",Democrats +5,2018-01-17,2018.0
200,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 42, Republicans 36",Democrats +6,2018-01-17,2018.0
201,2018 Generic Congressional Vote,Emerson,"Democrats 45, Republicans 40",Democrats +5,2018-01-12,2018.0
202,2018 Generic Congressional Vote,Quinnipiac,"Democrats 52, Republicans 35",Democrats +17,2018-01-11,2018.0
203,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 40, Republicans 31",Democrats +9,2018-01-10,2018.0
204,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 44, Republicans 37",Democrats +7,2018-01-10,2018.0
205,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 38, Republicans 31",Democrats +7,2018-01-03,2018.0
206,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 42, Republicans 36",Democrats +6,2018-01-03,2018.0
207,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 44, Republicans 36",Democrats +8,2017-12-27,2017.0
208,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 39, Republicans 27",Democrats +12,2017-12-20,2017.0
209,2018 Generic Congressional Vote,CNN,"Democrats 56, Republicans 38",Democrats +18,2017-12-20,2017.0
210,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 44, Republicans 35",Democrats +9,2017-12-20,2017.0
211,2018 Generic Congressional Vote,Quinnipiac,"Democrats 52, Republicans 37",Democrats +15,2017-12-19,2017.0
212,2018 Generic Congressional Vote,NBC News/Wall St. Jrnl,"Democrats 50, Republicans 39",Democrats +11,2017-12-17,2017.0
213,2018 Generic Congressional Vote,PPP (D),"Democrats 51, Republicans 40",Democrats +11,2017-12-14,2017.0
214,2018 Generic Congressional Vote,Monmouth,"Democrats 51, Republicans 36",Democrats +15,2017-12-13,2017.0
215,2018 Generic Congressional Vote,Quinnipiac,"Democrats 49, Republicans 37",Democrats +12,2017-12-13,2017.0
216,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 37, Republicans 29",Democrats +8,2017-12-13,2017.0
217,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 44, Republicans 36",Democrats +8,2017-12-13,2017.0
218,2018 Generic Congressional Vote,Marist,"Democrats 50, Republicans 37",Democrats +13,2017-12-12,2017.0
219,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 37, Republicans 31",Democrats +6,2017-12-06,2017.0
220,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 42, Republicans 36",Democrats +6,2017-12-06,2017.0
221,2018 Generic Congressional Vote,Quinnipiac,"Democrats 50, Republicans 36",Democrats +14,2017-12-05,2017.0
222,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 36, Republicans 30",Democrats +6,2017-11-29,2017.0
223,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 41, Republicans 35",Democrats +6,2017-11-29,2017.0
224,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 37, Republicans 28",Democrats +9,2017-11-22,2017.0
225,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 42, Republicans 33",Democrats +9,2017-11-22,2017.0
226,2018 Generic Congressional Vote,NPR/PBS/Marist,"Democrats 43, Republicans 40",Democrats +3,2017-11-21,2017.0
227,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 38, Republicans 31",Democrats +7,2017-11-15,2017.0
228,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 42, Republicans 34",Democrats +8,2017-11-15,2017.0
229,2018 Generic Congressional Vote,Marist,"Democrats 51, Republicans 36",Democrats +15,2017-11-15,2017.0
230,2018 Generic Congressional Vote,Quinnipiac,"Democrats 51, Republicans 38",Democrats +13,2017-11-14,2017.0
231,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 40, Republicans 33",Democrats +7,2017-11-08,2017.0
232,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 38, Republicans 30",Democrats +8,2017-11-08,2017.0
233,2018 Generic Congressional Vote,ABC News/Wash Post,"Democrats 51, Republicans 40",Democrats +11,2017-11-06,2017.0
234,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 40, Republicans 31",Democrats +9,2017-11-01,2017.0
